rcs_m2,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,sensing_allocated_w,communication_allocated_w,rho_mean,rho_std,rho_vector,power_search_seconds,table_builds,accepted_power_moves,predicted_objective_gain
0.2,47,uniform_power_joint,0.5,0.043333333333333335,0,34,10,1.0,0.0,0.0,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.2,47,node_power_fixed_set,0.7,0.056666666666666664,0,34,10,1.0,0.0,0.0,6.300000000000001,8.7,0.42000000000000004,0.32802438933713446,"[0.5, 0.2, 0.95, 0.95, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0,0,0.0
0.2,47,power_joint,0.7,0.043333333333333335,8,32,10,1.0,5120.0,8.533333333333335,5.250000000000001,9.750000000000002,0.35000000000000003,0.2999999999999999,"[0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",28.45338870002888,188,13,1.2454226439964708
0.2,47,balanced_fixed_power,0.4,0.05333333333333334,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,51,v1,0.6,0.03333333333333333,2,28,10,1.0,1280.0,2.1333333333333333,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,51,joint_fixed_power,0.6,0.03333333333333333,2,28,10,1.0,1280.0,2.1333333333333333,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,51,uniform_power_joint,0.6,0.04,0,28,10,1.0,0.0,0.0,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.2,51,node_power_fixed_set,0.8,0.04,0,28,10,1.0,0.0,0.0,7.050000000000001,7.949999999999999,0.47000000000000003,0.34727510708370674,"[0.95, 0.2, 0.2, 0.5, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.2]",0.0,0,0,0.0
0.2,51,power_joint,0.9,0.05,3,26,10,1.0,1920.0,3.2,6.000000000000001,9.0,0.4000000000000001,0.3316624790355399,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.2]",26.488665799959563,188,12,0.7317160370180857
0.2,51,balanced_fixed_power,0.8,0.043333333333333335,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,49,v1,0.8,0.05,8,32,10,0.96875,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,49,joint_fixed_power,0.7,0.06,6,34,10,0.9705882352941176,3840.0,6.400000000000001,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
