trial,arm,p_d,p_fa,n_selected,n_captured,belief_capture_rate,kappa_db
12,robust_model,0.6666666666666666,0.06666666666666667,12,8,0.6666666666666666,64.85908919336211
12,robust_delta3e3,1.0,0.05555555555555555,18,13,0.7222222222222222,45.21457214024757
13,baseline,0.0,0.1,17,16,0.9411764705882353,38.523214678312485
13,links12_measured,0.3333333333333333,0.06666666666666667,20,19,0.95,38.523214678312485
13,links12_model,1.0,0.03333333333333333,25,23,0.92,73.54843202118764
13,links12_delta3e3,0.3333333333333333,0.044444444444444446,23,21,0.9130434782608695,46.0626851583249
13,robust_model,0.6666666666666666,0.08888888888888889,18,17,0.9444444444444444,73.54843202118764
13,robust_delta3e3,0.3333333333333333,0.08888888888888889,18,17,0.9444444444444444,46.0626851583249
14,baseline,0.3333333333333333,0.08333333333333333,13,12,0.9230769230769231,37.660511722558034
14,links12_measured,0.3333333333333333,0.08333333333333333,21,20,0.9523809523809523,37.660511722558034
14,links12_model,0.3333333333333333,0.06666666666666667,21,21,1.0,68.74997695668091
14,links12_delta3e3,0.6666666666666666,0.06666666666666667,23,23,1.0,47.594293636450956
14,robust_model,0.3333333333333333,0.03333333333333333,18,16,0.8888888888888888,68.74997695668091
14,robust_delta3e3,0.6666666666666666,0.06666666666666667,18,16,0.8888888888888888,47.594293636450956
15,baseline,1.0,0.044444444444444446,18,18,1.0,32.412780371356185
15,links12_measured,1.0,0.03333333333333333,22,22,1.0,32.412780371356185
15,links12_model,1.0,0.044444444444444446,25,25,1.0,64.578032961825
15,links12_delta3e3,1.0,0.03333333333333333,25,25,1.0,46.714528725973594
15,robust_model,1.0,0.03333333333333333,18,18,1.0,64.578032961825
15,robust_delta3e3,1.0,0.06666666666666667,18,18,1.0,46.714528725973594
16,baseline,0.3333333333333333,0.05555555555555555,18,18,1.0,35.43369236643265
16,links12_measured,0.3333333333333333,0.05555555555555555,19,19,1.0,35.43369236643265
16,links12_model,0.6666666666666666,0.05555555555555555,10,10,1.0,65.20485140810142
16,links12_delta3e3,0.3333333333333333,0.05555555555555555,7,7,1.0,46.23284604090625
16,robust_model,0.6666666666666666,0.05555555555555555,17,17,1.0,65.20485140810142
16,robust_delta3e3,0.3333333333333333,0.044444444444444446,16,16,1.0,46.23284604090625
17,baseline,0.6666666666666666,0.044444444444444446,17,17,1.0,35.80377424004314
17,links12_measured,0.6666666666666666,0.044444444444444446,25,25,1.0,35.80377424004314
17,links12_model,0.6666666666666666,0.011111111111111112,14,14,1.0,66.12463339723803
17,links12_delta3e3,1.0,0.022222222222222223,14,14,1.0,47.881707451382105
17,robust_model,0.6666666666666666,0.044444444444444446,18,18,1.0,66.12463339723803
17,robust_delta3e3,0.6666666666666666,0.022222222222222223,18,18,1.0,47.881707451382105
18,baseline,0.3333333333333333,0.05555555555555555,15,15,1.0,40.207231961266814
18,links12_measured,0.3333333333333333,0.044444444444444446,20,20,1.0,40.207231961266814
18,links12_model,0.6666666666666666,0.06666666666666667,22,18,0.8181818181818182,77.32581343154857
18,links12_delta3e3,0.6666666666666666,0.08888888888888889,25,22,0.88,45.200488704513546
18,robust_model,1.0,0.044444444444444446,18,18,1.0,77.32581343154857
18,robust_delta3e3,1.0,0.1,17,17,1.0,45.200488704513546
19,baseline,1.0,0.07777777777777778,13,11,0.8461538461538461,38.00990360261969
19,links12_measured,1.0,0.05555555555555555,25,23,0.92,38.00990360261969
19,links12_model,0.6666666666666666,0.1,14,13,0.9285714285714286,70.87615051676966
19,links12_delta3e3,0.3333333333333333,0.1111111111111111,15,14,0.9333333333333333,48.11005768745987
19,robust_model,1.0,0.07777777777777778,18,16,0.8888888888888888,70.87615051676966
19,robust_delta3e3,1.0,0.1,18,16,0.8888888888888888,48.11005768745987
