trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,gate_targets,supported_targets,n_candidates,t_h0,thr_h0,det_h0,dof_h0
5,protected_ls,7,6,3.4505034993416354e-13,17.447762882024996,20.66856907571369,0,28,5.932359566096167,0.6588463176696878,0.005716393549092328,3.202275801747215e-08,6.022251005038801e-10,0.02732772074302187,0.026729664446806866,1.999999999999939,0,0,0,14.570033259760542,20.66856907571369,0,28
5,tp_uic_stage1,7,6,3.4505034993416354e-13,17.141840435790098,20.66856907571369,0,28,5.932446443587832,0.6589048465234951,0.005718081553317746,3.2254874242205795e-08,6.029872885679674e-10,0.02733592661681837,0.026737229060869512,1.8559973714841822,0,0,0,14.427390185747612,20.66856907571369,0,28
5,tp_uic_full,7,6,3.4505034993416354e-13,30.647156194605465,20.66856907571369,1,28,31.059853827804712,0.7719582340127619,0.009111222479761018,1.0163882815081378e-07,7.826227581297223e-10,0.04591464844319664,0.0446587658241744,1.000001136640655,9,9,378,23.483191005038623,20.66856907571369,1,28
5,perfect_channel,7,6,3.4505034993416354e-13,35.37573469308022,20.66856907571369,1,28,inf,1.0,0.015730405548170387,1.5128045676370794e-07,1.9687507423839703e-09,0.07997988556150178,0.07809287058487271,1.0,0,0,0,30.94024201017914,20.66856907571369,1,28
6,no_ic,14,6,3.622438742827052e-13,53.12056087728757,20.66856907571369,1,28,0.0,1.0,0.06041047816964999,8.254128101830873e-11,3.735508155086157e-12,0.6977323219369475,0.6468825725702645,282.2333808105772,0,0,0,67.43030099362682,20.66856907571369,1,28
6,fixed_kappa,14,6,3.622438742827052e-13,45.452403449848376,20.66856907571369,1,28,39.999999999999986,1.0,0.06308845658513189,9.173422171593216e-11,5.8680835376262385e-12,0.7336075759550593,0.6607027308891332,1.0281233380810573,0,0,0,53.701925819670095,20.66856907571369,1,28
6,plain_ls,14,6,3.622438742827052e-13,40.935107838602605,20.66856907571369,1,28,39.310449102532104,0.9415969269771866,0.058374571762763144,7.641160862240273e-11,2.2395731774529004e-12,0.6742098812594328,0.630106781489835,0.9999999999999976,0,0,0,48.434865042522034,20.66856907571369,1,28
6,ridge_ls,14,6,3.622438742827052e-13,44.61594303253476,20.66856907571369,1,28,39.312074139798476,0.9415969396913704,0.05842246096748727,7.683604108308996e-11,2.3526908440871367e-12,0.674762999548127,0.6304583194920319,0.9999999999999987,0,0,0,56.50651575175851,20.66856907571369,1,28
6,protected_ls,14,6,3.622438742827052e-13,59.427150180239984,20.66856907571369,1,28,11.144999799007163,0.9441271626156335,0.05050851495286235,1.8166585464334848e-11,2.3194458027136643e-12,0.5497404618677182,0.5293833924162081,1.395756905397225,0,0,0,80.60589596994936,20.66856907571369,1,28
6,tp_uic_stage1,14,6,3.622438742827052e-13,59.36461336564815,20.66856907571369,1,28,11.145001579447179,0.9441271721113724,0.050509600991976406,1.817347323940925e-11,2.320463927393146e-12,0.5497538431075408,0.5293925501016391,1.395248482074859,0,0,0,80.47888238509552,20.66856907571369,1,28
6,tp_uic_full,14,6,3.622438742827052e-13,80.37262808642414,20.66856907571369,1,28,29.27730363925103,2.120353057800138,0.0597189158612532,7.527562675416479e-11,2.9549744524882098e-12,0.6866403418227621,0.643888967356202,1.0000000018383584,9,9,378,97.76548205574217,20.66856907571369,1,28
6,perfect_channel,14,6,3.622438742827052e-13,41.51349157704355,20.66856907571369,1,28,inf,1.0,0.06335419491275905,9.326494855862919e-11,6.09502355933708e-12,0.7378685221165576,0.6628505060436365,1.0,0,0,0,51.11745651378759,20.66856907571369,1,28
7,no_ic,10,8,6.906033718222599e-13,17.780744535080714,20.66856907571369,0,28,0.0,1.0,0.004020796586865066,3.0029326463783613e-06,6.907454082358917e-08,0.03165027729291087,0.02172699968889806,2.983030196520534,0,0,0,18.10605069518699,20.66856907571369,0,28
7,fixed_kappa,10,8,6.906033718222599e-13,17.275968181732075,20.66856907571369,0,28,39.99999999999999,1.0,0.004599552324837221,3.7928703405679734e-06,1.1910727297685631e-07,0.03648900961260611,0.023114129192144603,1.0001983030196522,0,0,0,19.54463505203024,20.66856907571369,0,28
7,plain_ls,10,8,6.906033718222599e-13,18.4091784407887,20.66856907571369,0,28,35.27509991235698,0.9787883478850401,0.003850315443003366,2.8485670544874995e-06,6.077863973587207e-08,0.030272397507879627,0.021326391198759464,0.9999999999999987,0,0,0,18.41862089989919,20.66856907571369,0,28
7,ridge_ls,10,8,6.906033718222599e-13,17.971480423833157,20.66856907571369,0,28,35.376931937143546,0.9791174232256201,0.0038590273690238663,2.890336698144304e-06,6.324750687486139e-08,0.030347240749672377,0.021365057019578068,0.9999999999999972,0,0,0,18.401066778622994,20.66856907571369,0,28
