split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
test,3,3,0,1,40.0,no_ic,0.005358961544683041,40.25510994049167,1,3,852.9458770647295,849.8641624296389,10,0.9972213359312919,0.0,0.0,6.65628888257353e-06,6.65628888257353e-06,6.65628888257353e-06,0.0,1.0,1.0,1.0,1.0,0.9372043856123374,0,5,0.0
test,3,3,0,1,40.0,plain_ls,0.005358961544683041,40.25510994049167,1,3,852.6931974641575,849.5977524366123,10,0.9972211912563901,10.637690794944245,10.637692865878313,6.65628888257353e-06,5.747289616113152e-07,5.747286875517654e-07,2.740595498352985e-13,0.9991531311597657,0.9874219026260923,0.9994452126544686,0.9989242713125716,0.9372043856123374,0,5,64.77191867506446
test,3,3,0,1,40.0,protected_ls,0.005358961544683041,40.25510994049167,1,3,1153.6108642734027,1136.2127947646213,10,0.9954197468551806,8.95034689012009,8.950348278536783,6.65628888257353e-06,8.476127347452448e-07,8.476124637679398e-07,2.7097730497252323e-13,0.9999881964759301,0.9997051383624478,1.0,0.9999406755430603,0.9372043856123374,45,5,5.438741093639368
test,3,3,0,1,40.0,tp_uic_full,0.005358961544683041,40.25510994049167,1,3,851.4676136481685,848.4840792067599,10,0.9972379750864101,10.6365279415271,10.63652980872201,6.65628888257353e-06,5.748828698572554e-07,5.748826226935953e-07,2.471636600964914e-13,0.9994664477651738,0.9940101871155601,0.9996602743743511,0.99934918564926,0.9372043856123374,45,5,64.67339431182285
test,3,3,0,1,40.0,perfect_channel,0.005358961544683041,40.25510994049167,1,3,4.68445608820004,4.526866584585852,10,0.9973186939179097,inf,inf,6.65628888257353e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9372043856123374,0,5,nan
test,3,3,0,2,40.0,no_ic,0.006273012755515227,41.36172124746814,1,3,4794.626324798421,4559.350458949674,10,0.99730588196935,0.0,0.0,8.588024856351049e-06,8.588024856351049e-06,8.588024856351049e-06,0.0,1.0,1.0,1.0,1.0,0.9255408007451171,0,5,0.0
test,3,3,0,2,40.0,plain_ls,0.006273012755515227,41.36172124746814,1,3,4794.443603766784,4559.171657759308,10,0.9973058303955702,12.078074494938587,12.078077118831011,8.588024856351049e-06,5.322134469219476e-07,5.322131253727526e-07,3.215491951314723e-13,0.999774332760027,0.9920671339886472,0.9998174625835279,0.9989439151186476,0.9255408007451171,0,5,64.43814626943225
test,3,3,0,2,40.0,protected_ls,0.006273012755515227,41.36172124746814,1,3,2130.379234825464,1964.9622700001287,10,0.9959207883420711,10.360271113962261,10.360272763031107,8.588024856351049e-06,7.904350346511053e-07,7.904347345133882e-07,3.001377170916871e-13,0.9999979202118214,0.9997751313766114,1.0,0.9999071722237275,0.9255408007451171,45,5,3.8000156705259447
test,3,3,0,2,40.0,tp_uic_full,0.006273012755515227,41.36172124746814,1,3,4803.330375919151,4567.60994553066,10,0.9973079762958723,12.076031047731723,12.07603357019006,8.588024856351049e-06,5.324639235051563e-07,5.324636142408833e-07,3.0926427307528706e-13,0.9998755247850175,0.9969189209186903,0.9998934871458645,0.9992709310017075,0.9255408007451171,45,5,64.34073033410468
test,3,3,0,2,40.0,perfect_channel,0.006273012755515227,41.36172124746814,1,3,2.4170158162386848,4.383125242150797,10,0.9973186939179097,inf,inf,8.588024856351049e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9255408007451171,0,5,nan
test,3,5,0,0,40.0,no_ic,0.0531236782379195,44.06551994012605,1,3,4392.967690067895,4276.898947775083,10,0.9912048354099838,0.0,0.0,1.6005644331369018e-05,1.6005644331369018e-05,1.6005644331369018e-05,0.0,1.0,1.0,1.0,1.0,0.9728114667431916,0,5,0.0
test,3,5,0,0,40.0,plain_ls,0.0531236782379195,44.06551994012605,1,3,4392.901777281568,4276.83163463494,10,0.9911987102899997,13.045776062038822,13.04577766283239,1.6005644331369018e-05,7.937715988804154e-07,7.93771306299163e-07,2.925812524516133e-13,0.9935177529835486,0.9949844760168328,0.996186855726292,0.9880581748233823,0.9728114667431916,0,5,66.17424358044063
test,3,5,0,0,40.0,protected_ls,0.0531236782379195,44.06551994012605,1,3,12256.687617945,12240.536889063354,10,0.9442216774302132,12.374867791764768,12.37486937379144,1.6005644331369018e-05,9.26374054118834e-07,9.263737166638911e-07,3.3745494293555836e-13,0.9999795313281478,0.9993981558373685,1.0000000000000002,0.9991021429462291,0.9728114667431916,45,5,7.579732441255836
test,3,5,0,0,40.0,tp_uic_full,0.0531236782379195,44.06551994012605,1,3,4270.446811783778,4154.0071740304165,10,0.9912773360087923,13.045467101082291,13.045468842650491,1.6005644331369018e-05,7.938280705065443e-07,7.938277521729009e-07,3.183336434414746e-13,0.995946496011722,0.9994896333901975,0.998289697316644,0.9901914484108815,0.9728114667431916,45,5,66.06556618797566
test,3,5,0,0,40.0,perfect_channel,0.0531236782379195,44.06551994012605,1,3,2.5309103382154206,9.381418791326318,10,0.9913971227239788,inf,inf,1.6005644331369018e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9728114667431916,0,5,nan
test,3,5,0,1,40.0,no_ic,0.05136052380950012,44.04240894207948,1,3,6232.719854214689,6214.829734356894,10,0.9914660526176517,0.0,0.0,1.592069645738874e-05,1.592069645738874e-05,1.592069645738874e-05,0.0,1.0,1.0,1.0,1.0,0.9682743126688809,0,5,0.0
test,3,5,0,1,40.0,plain_ls,0.05136052380950012,44.04240894207948,1,3,6234.259654903929,6216.368791974142,10,0.9914634139029757,17.20975694497609,17.209762506176833,1.592069645738874e-05,3.026818416267432e-07,3.0268145403871813e-07,3.875880250607549e-13,0.9956506737412908,0.9970773322437483,0.9970699801116369,0.989213650835782,0.9682743126688809,0,5,61.98715169974862
test,3,5,0,1,40.0,protected_ls,0.05136052380950012,44.04240894207948,1,3,9517.141593627974,9572.428956728492,10,0.981052223469567,15.723820394642411,15.7238241940947,1.592069645738874e-05,4.26167201565761e-07,4.2616682873089683e-07,3.728348641673796e-13,0.9999930494076751,0.9996514566409278,1.0000000000000002,0.9994267503922862,0.9682743126688809,45,5,5.94605744102477
test,3,5,0,1,40.0,tp_uic_full,0.05136052380950012,44.04240894207948,1,3,6226.016178299725,6208.848948869267,10,0.9914970826483853,17.207902493882592,17.2079077924423,1.592069645738874e-05,3.0281111532303086e-07,3.0281074588204945e-07,3.694409814142466e-13,0.9969234092474094,1.000433134515221,0.9986749944621883,0.9909672247007778,0.9682743126688809,45,5,61.918751155778594
test,3,5,0,1,40.0,perfect_channel,0.05136052380950012,44.04240894207948,1,3,6.241654072712357,2.8587984335636363,10,0.9913971227239788,inf,inf,1.592069645738874e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9682743126688809,0,5,nan
test,3,5,0,2,40.0,no_ic,0.050571048825744716,44.151135793563434,1,3,19390.802450920506,19622.082813487097,10,0.9913416198361615,0.0,0.0,1.6324306763208197e-05,1.6324306763208197e-05,1.6324306763208197e-05,0.0,1.0,1.0,1.0,1.0,0.9681006471104331,0,5,0.0
