axis,value,arm,n,kappa_db,kappa_pred_db,cal_err_db,eta_protect,eta_survive,noise_enh_db,protect_dim,candidates,echo_to_direct_db,p_fa,p_d_weak
n_cpi,16,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,16,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,16,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,16,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,16,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,32,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,32,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,32,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.40960469256787563,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,32,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,32,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,32,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,32,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,32,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,64,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,64,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,64,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.40960469256787563,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,64,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,64,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,64,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,64,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,64,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
tangent_order,0,no_ic,12,0.0,0.0,0.0,0.10258649372235165,1.0,-inf,0.0,0.0,-24.94169177685945,0.08333333333333333,0.0
tangent_order,0,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.10258649372235165,1.0,-inf,0.0,0.0,-24.94169177685945,0.08333333333333333,0.08333333333333333
tangent_order,0,plain_ls,12,41.37249736460478,40.903266777020576,1.0464304861850133,0.10258649372235165,0.6526886321700185,-24.494965126440214,0.0,0.0,-24.94169177685945,0.08333333333333333,0.08333333333333333
tangent_order,0,ridge_ls,12,41.383642190212264,40.903266777020576,1.0277568546221791,0.10258649372235165,0.652690071978881,-24.49967426359496,0.0,0.0,-24.94169177685945,0.08333333333333333,0.08333333333333333
tangent_order,0,protected_ls,12,16.511952589920117,16.051803521374968,0.702030257890867,0.10258649372235165,0.6716753431696683,-24.77121478433041,42.0,0.0,-24.94169177685945,0.08333333333333333,0.0
tangent_order,0,tp_uic_stage1,12,16.512142466677787,16.051803521374968,0.7020173155584655,0.10258649372235165,0.6716899506823684,-24.939170921857965,42.0,0.0,-24.94169177685945,0.08333333333333333,0.0
tangent_order,0,tp_uic_full,12,38.978457900208696,16.051803521374968,22.05258407914078,0.10258649372235165,0.7893949166571418,-22.41294569963286,42.0,126.0,-24.94169177685945,0.08333333333333333,0.08333333333333333
tangent_order,0,perfect_channel,12,inf,inf,nan,0.10258649372235165,1.0,-inf,0.0,0.0,-24.94169177685945,0.08333333333333333,0.08333333333333333
tangent_order,1,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
tangent_order,1,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
tangent_order,1,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.40960469256787563,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
tangent_order,1,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
tangent_order,1,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
tangent_order,1,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
tangent_order,1,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
tangent_order,1,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
interference_tangent_order,0,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
interference_tangent_order,0,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
interference_tangent_order,0,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.40960469256787563,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
interference_tangent_order,0,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
interference_tangent_order,0,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
interference_tangent_order,0,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
interference_tangent_order,0,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
interference_tangent_order,0,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
interference_tangent_order,1,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.86515900506554,0.08333333333333333,0.08333333333333333
interference_tangent_order,1,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.86515900506554,0.08333333333333333,0.16666666666666666
interference_tangent_order,1,plain_ls,12,36.48015639371066,36.898417639780554,1.1774230347504453,0.40960469256787563,0.35604592317056705,-20.000954969101542,0.0,0.0,-11.86515900506554,0.08333333333333333,0.08333333333333333
interference_tangent_order,1,ridge_ls,12,37.308622506535634,36.898417639780554,0.952205636265778,0.40960469256787563,0.3791994189122,-20.94652708730358,0.0,0.0,-11.86515900506554,0.08333333333333333,0.08333333333333333
interference_tangent_order,1,protected_ls,12,8.574757242715037,-3.969253654013514,13.648565886957204,0.40960469256787563,0.609806711124142,-20.149854394967846,107.5,0.0,-11.86515900506554,0.08333333333333333,0.08333333333333333
interference_tangent_order,1,tp_uic_stage1,12,8.57713506952782,-3.969253654013514,13.649687637282076,0.40960469256787563,0.6257787407377657,-21.80935239304645,107.5,0.0,-11.86515900506554,0.08333333333333333,0.08333333333333333
interference_tangent_order,1,tp_uic_full,12,32.71106874473247,-3.969253654013514,35.4548158438415,0.40960469256787563,0.8846665695411261,-14.50767909075491,107.5,84.0,-11.86515900506554,0.08333333333333333,0.08333333333333333
interference_tangent_order,1,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.86515900506554,0.08333333333333333,0.16666666666666666
max_protected_targets,0,no_ic,12,0.0,0.0,0.0,0.9781708039774952,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
max_protected_targets,0,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.9781708039774952,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
max_protected_targets,0,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.9781708039774952,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
max_protected_targets,0,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.9781708039774952,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
max_protected_targets,0,protected_ls,12,1.4868081830416082,1.7596150850384196,0.34224539306150736,0.9781708039774952,0.9948347475518438,-24.298273769369747,217.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
max_protected_targets,0,tp_uic_stage1,12,1.486901745227601,1.7596150850384196,0.3419833507600884,0.9781708039774952,0.9975055831294559,-27.962591094254083,217.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
max_protected_targets,0,tp_uic_full,12,30.864622687159475,1.7596150850384196,29.42406608021522,0.9781708039774952,1.1209941703658384,-17.214212464438432,217.0,294.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
max_protected_targets,0,perfect_channel,12,inf,inf,nan,0.9781708039774952,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
