scene,error_radius_m,normalized_error,receiver_count,retention_mean_over_subsets,retention_sd_over_subsets,minimum_uav_separation_m
5,50.0,0.3333333333333333,1,0.8712585920347663,0.07035984065482039,77.0214219020715
5,50.0,0.3333333333333333,2,0.8563700000185333,0.0564995808535485,77.0214219020715
5,50.0,0.3333333333333333,3,0.8504062354708124,0.04383730544504955,77.0214219020715
5,50.0,0.3333333333333333,4,0.8471907509691535,0.032572923831778934,77.0214219020715
5,50.0,0.3333333333333333,5,0.8451744124198927,0.02123628547917576,77.0214219020715
5,50.0,0.3333333333333333,6,0.8437907779665547,0.0,77.0214219020715
5,150.0,1.0,1,0.32751380227523946,0.19213311361381957,77.0214219020715
5,150.0,1.0,2,0.2808608646421583,0.12998201820857327,77.0214219020715
5,150.0,1.0,3,0.2649096392490745,0.09248056300691035,77.0214219020715
5,150.0,1.0,4,0.2569924504133186,0.06544183370356592,77.0214219020715
5,150.0,1.0,5,0.2522635734798995,0.041363930024517236,77.0214219020715
5,150.0,1.0,6,0.24911821083001415,0.0,77.0214219020715
5,250.0,1.6666666666666667,1,0.08073411686329893,0.09500572785322982,77.0214219020715
5,250.0,1.6666666666666667,2,0.058141817224334424,0.04718283035005364,77.0214219020715
5,250.0,1.6666666666666667,3,0.05217436741185667,0.029289448779324646,77.0214219020715
5,250.0,1.6666666666666667,4,0.04954124805357877,0.019254370503717262,77.0214219020715
5,250.0,1.6666666666666667,5,0.04807127597634927,0.011656850654243564,77.0214219020715
5,250.0,1.6666666666666667,6,0.047134428530685175,0.0,77.0214219020715
5,400.0,2.6666666666666665,1,0.01146226164194894,0.009444660806396055,77.0214219020715
5,400.0,2.6666666666666665,2,0.012893444557254528,0.007273142268407778,77.0214219020715
5,400.0,2.6666666666666665,3,0.013521885936260466,0.00539229017744066,77.0214219020715
5,400.0,2.6666666666666665,4,0.013858611791943415,0.0038844364556192505,77.0214219020715
5,400.0,2.6666666666666665,5,0.014067325561763272,0.002484825945648053,77.0214219020715
5,400.0,2.6666666666666665,6,0.014209627747217748,0.0,77.0214219020715
6,0.0,0.0,1,0.9999999999999996,5.127900497022837e-16,150.9599809756607
6,0.0,0.0,2,0.9999999999999997,3.982385103851806e-16,150.9599809756607
6,0.0,0.0,3,0.9999999999999997,2.685271254787086e-16,150.9599809756607
6,0.0,0.0,4,0.9999999999999998,2.673771110915334e-16,150.9599809756607
6,0.0,0.0,5,0.9999999999999996,1.3597399555105182e-16,150.9599809756607
6,0.0,0.0,6,0.9999999999999996,0.0,150.9599809756607
6,50.0,0.3333333333333333,1,0.8902923210060775,0.037337480664045804,150.9599809756607
6,50.0,0.3333333333333333,2,0.886376174443802,0.02350142876932666,150.9599809756607
6,50.0,0.3333333333333333,3,0.8855408217628188,0.016486181930627754,150.9599809756607
6,50.0,0.3333333333333333,4,0.8852454379145697,0.011709842571979604,150.9599809756607
6,50.0,0.3333333333333333,5,0.8851037927512936,0.007441971728102968,150.9599809756607
