m_rx,trial,receiver,weak_target,arm,realisation,t_h1,t_h0,dT,covariance_protection
4,1,2,1,adaptive,3,10.106252807006348,4.191173143253212,5.9150796637531355,False
4,1,2,1,adaptive,4,8.67749423598711,3.965124258752822,4.712369977234288,False
4,1,2,1,adaptive,5,9.642340336540741,4.691990023233158,4.950350313307583,False
4,1,2,1,adaptive,6,5.69315881523189,4.42708524068891,1.2660735745429808,False
4,1,2,1,adaptive,7,6.204480556196305,2.2526640449798836,3.9518165112164216,False
4,2,0,1,hard,0,3.0287373395628823,5.593186984038931,-2.564449644476049,False
4,2,0,1,hard,1,1.2381731343207918,3.232213392052075,-1.9940402577312832,False
4,2,0,1,hard,2,4.066779116639458,3.37939770445191,0.6873814121875474,False
4,2,0,1,hard,3,7.815103522295711,0.6032063472298961,7.211897175065815,False
4,2,0,1,hard,4,4.882661512119552,4.723618735682243,0.15904277643730858,False
4,2,0,1,hard,5,6.663023018483077,6.2997501676746115,0.3632728508084657,False
4,2,0,1,hard,6,3.777163115678966,1.8801787820983817,1.896984333580584,False
4,2,0,1,hard,7,2.5516847993811522,7.194099840870895,-4.642415041489743,False
4,2,0,1,adaptive,0,3.0270949569820376,5.593446817823962,-2.566351860841924,False
4,2,0,1,adaptive,1,1.236693707348753,3.2292607279487573,-1.9925670206000043,False
4,2,0,1,adaptive,2,4.067337379760795,3.3798392923511997,0.6874980874095948,False
4,2,0,1,adaptive,3,7.81500529070061,0.603783761090423,7.211221529610187,False
4,2,0,1,adaptive,4,4.880952639131532,4.723539360371598,0.15741327875993427,False
4,2,0,1,adaptive,5,6.663593656196013,6.299929392908652,0.3636642632873608,False
4,2,0,1,adaptive,6,3.77723219549305,1.881980209035883,1.8952519864571669,False
4,2,0,1,adaptive,7,2.552976931881914,7.19399862124048,-4.641021689358566,False
4,2,1,1,hard,0,4.986239369424885,4.266500592841886,0.7197387765829983,False
4,2,1,1,hard,1,5.31634632656871,5.609664492424695,-0.29331816585598514,False
4,2,1,1,hard,2,11.087909543520775,6.371620781231177,4.716288762289598,False
4,2,1,1,hard,3,4.048919386507475,5.562664685589311,-1.5137452990818367,False
4,2,1,1,hard,4,2.5446123190561427,5.94574835101606,-3.401136031959917,False
4,2,1,1,hard,5,4.811669754483649,3.281004579475306,1.5306651750083429,False
4,2,1,1,hard,6,1.30859675076174,5.656311712697262,-4.347714961935521,False
4,2,1,1,hard,7,2.3063696716073365,3.1852265468855623,-0.8788568752782258,False
4,2,1,1,adaptive,0,4.988319665230816,4.267868292686963,0.7204513725438533,False
4,2,1,1,adaptive,1,5.3159552406343415,5.610099465566336,-0.2941442249319941,False
4,2,1,1,adaptive,2,11.089891769048213,6.372281505792883,4.71761026325533,False
4,2,1,1,adaptive,3,4.049730230703608,5.563407911329335,-1.5136776806257277,False
4,2,1,1,adaptive,4,2.5444151392298124,5.94707917600082,-3.4026640367710073,False
4,2,1,1,adaptive,5,4.811258276073782,3.2816948146978175,1.5295634613759646,False
4,2,1,1,adaptive,6,1.3084671846587046,5.6562400742932075,-4.347772889634503,False
4,2,1,1,adaptive,7,2.3078616948162947,3.1850162660182195,-0.8771545712019249,False
4,2,2,1,hard,0,7.647479315863611,5.07513220119159,2.572347114672022,False
4,2,2,1,hard,1,1.8209612843377476,5.209800829359546,-3.3888395450217983,False
4,2,2,1,hard,2,6.2111305719525625,5.418346040368451,0.7927845315841111,False
4,2,2,1,hard,3,6.73878922814727,8.984875179418582,-2.2460859512713123,False
4,2,2,1,hard,4,5.25662491766505,6.72468391063421,-1.4680589929691594,False
4,2,2,1,hard,5,2.5043434697016815,7.701398979067399,-5.197055509365717,False
4,2,2,1,hard,6,5.661092299925059,6.102607766090502,-0.441515466165443,False
4,2,2,1,hard,7,5.163899695013198,5.881179437234531,-0.7172797422213328,False
4,2,2,1,adaptive,0,7.648004683381922,5.075149605595371,2.572855077786551,False
4,2,2,1,adaptive,1,1.8210456657256087,5.209502125472097,-3.3884564597464886,False
4,2,2,1,adaptive,2,6.211484775570277,5.418314148169891,0.7931706274003858,False
4,2,2,1,adaptive,3,6.7386911671726235,8.98453854094209,-2.2458473737694664,False
4,2,2,1,adaptive,4,5.256736307203748,6.724529333954455,-1.4677930267507069,False
4,2,2,1,adaptive,5,2.504356019639635,7.701850891493714,-5.197494871854079,False
4,2,2,1,adaptive,6,5.661546728976122,6.103169787556581,-0.44162305858045947,False
4,2,2,1,adaptive,7,5.1637680064851414,5.8810359310508895,-0.7172679245657481,False
4,3,0,2,hard,0,2.4999283597105952,6.343584617956455,-3.8436562582458595,False
4,3,0,2,hard,1,5.214962837807248,3.5375065939673966,1.6774562438398517,False
4,3,0,2,hard,2,9.99344613383707,5.153636238247121,4.839809895589949,False
4,3,0,2,hard,3,4.913510020996824,2.4378053036398435,2.475704717356981,False
