block,area_m,rcs_m2,trial,model,gate,rho,p_default,active_frac,sense_sinr_db,echo_db,field_db,near_far_db,residual_db
A,400.0,0.05,2,orthogonal,False,0.95,2.0,1.0,-12.842972866732296,-132.10468784833725,-79.73660685817542,52.368080990161836,-119.65561911206655
B,400.0,0.05,2,active_set,False,0.8,1.0,1.0,-13.996481411392024,-135.8613239879461,-82.52414286770372,53.3371811202424,-122.44716883993549
B,400.0,0.05,2,active_set,True,0.8,1.0,1.0,-13.996481411392024,-135.8613239879461,-82.52414286770372,53.3371811202424,-122.44716883993549
B,400.0,0.05,2,active_set,True,0.8,1.0,0.5,-10.631183228227973,-135.8613239879461,-86.05621079600337,49.80511319194275,-125.88450234064653
A,400.0,0.05,3,active_set,False,0.2,1.0,1.0,-20.60181709424414,-142.0513467517299,-82.01428076300856,60.03706598872136,-121.94576631525601
A,400.0,0.05,3,active_set,False,0.4,1.0,1.0,-17.591517137604328,-139.0410467950901,-82.01428076300856,57.02676603208155,-121.94576631525601
A,400.0,0.05,3,active_set,False,0.6,1.0,1.0,-15.830604547047518,-137.28013420453328,-82.01428076300856,55.26585344152474,-121.94576631525601
A,400.0,0.05,3,active_set,False,0.8,1.0,1.0,-14.581217180964517,-136.03074683845028,-82.01428076300856,54.016466075441734,-121.94576631525601
A,400.0,0.05,3,active_set,False,0.95,1.0,1.0,-13.834880997995477,-135.28441065548125,-82.01428076300856,53.270129892472696,-121.94576631525601
A,400.0,0.05,3,active_set,False,0.2,2.0,1.0,-20.45236622396366,-139.0410467950901,-79.00398080636873,60.03706598872136,-118.9354663586162
A,400.0,0.05,3,active_set,False,0.4,2.0,1.0,-17.44206626732385,-136.03074683845028,-79.00398080636873,57.02676603208155,-118.9354663586162
A,400.0,0.05,3,active_set,False,0.6,2.0,1.0,-15.681153676767037,-134.26983424789347,-79.00398080636873,55.26585344152474,-118.9354663586162
A,400.0,0.05,3,active_set,False,0.8,2.0,1.0,-14.431766310684036,-133.02044688181047,-79.00398080636873,54.016466075441734,-118.9354663586162
A,400.0,0.05,3,active_set,False,0.95,2.0,1.0,-13.685430127714994,-132.27411069884144,-79.00398080636873,53.270129892472696,-118.9354663586162
A,400.0,0.05,3,orthogonal,False,0.2,1.0,1.0,-14.693345387567476,-142.0513467517299,-89.00398080636874,53.04736594536117,-128.671731544264
