trial,m_rx,arm,t_h1,t_h0,thr,dof,det_h1,det_h0,rho_weighted,rho_min
3,4,perfect_channel,14.921331654987483,13.780056976233432,20.66856907571369,28,0.0,0.0,0.8464610820414395,0.3635017347069837
3,4,tp_uic_full,16.77040930755919,13.788944480826956,20.66856907571369,28,0.0,0.0,0.8421798065543488,0.3566396478014263
4,4,perfect_channel,23.806983147366722,14.69735137182455,20.66856907571369,28,1.0,0.0,0.688225937370033,0.022318279155984333
4,4,tp_uic_full,20.29296657424516,13.63005192627412,20.66856907571369,28,0.0,0.0,0.6811006009008213,0.018907803665036797
5,4,perfect_channel,12.789048713293973,8.39476876302231,20.66856907571369,28,0.0,0.0,0.6167453797872398,0.21433572590030509
5,4,tp_uic_full,12.172982882699092,9.213292164497098,20.66856907571369,28,0.0,0.0,0.6135923761691219,0.20336628060333797
6,4,perfect_channel,17.83622653088997,11.57072218551561,20.66856907571369,28,0.0,0.0,0.9095523511235173,0.8053923609927423
6,4,tp_uic_full,17.540199504236366,12.390927044385922,20.66856907571369,28,0.0,0.0,0.9091194152517074,0.805212316832662
7,4,perfect_channel,9.813123292104727,16.969477877811862,20.66856907571369,28,0.0,0.0,0.9013627984028526,0.4919451925647921
7,4,tp_uic_full,9.669117537870353,17.484442638718047,20.66856907571369,28,0.0,0.0,0.9003173740037627,0.4889828306409972
8,4,perfect_channel,11.380498042869856,11.942395812025328,20.66856907571369,28,0.0,0.0,0.9738683883967443,0.9320020872316068
8,4,tp_uic_full,11.541634957592692,11.915460213459069,20.66856907571369,28,0.0,0.0,0.9736671087931701,0.9314469397702203
9,4,perfect_channel,28.286985687678094,32.770117653896506,20.66856907571369,28,1.0,1.0,0.5554305730760297,0.3620276419014159
9,4,tp_uic_full,31.556356143768774,32.01208033353288,20.66856907571369,28,1.0,1.0,0.5457639719198059,0.3444571920350724
10,4,perfect_channel,15.378188398193018,14.414154827933451,20.66856907571369,28,0.0,0.0,0.44343879701996775,0.19806661154436353
10,4,tp_uic_full,16.56623634205428,13.415598455473422,20.66856907571369,28,0.0,0.0,0.4399401411827078,0.18929360122808386
11,4,perfect_channel,15.062726896864062,15.552889304626188,20.66856907571369,28,0.0,0.0,0.4717354501315519,0.2526364897268933
11,4,tp_uic_full,15.618468656047652,15.998163131019579,20.66856907571369,28,0.0,0.0,0.4716189615433389,0.2525800644287792
12,4,perfect_channel,23.95848722609786,10.673014247315766,20.66856907571369,28,1.0,0.0,0.966841668008592,0.9054084772316809
12,4,tp_uic_full,23.965024242931882,10.784628766711789,20.66856907571369,28,1.0,0.0,0.9667711060786794,0.9053112030994963
13,4,perfect_channel,13.31680851045288,17.3785382328971,20.66856907571369,28,0.0,0.0,0.7855957366375987,0.08517228694865493
13,4,tp_uic_full,13.443392386058274,17.09546019355477,20.66856907571369,28,0.0,0.0,0.7849429716615639,0.08513735028820327
14,4,perfect_channel,23.47845937851119,11.95850669849826,20.66856907571369,28,1.0,0.0,0.8072140204229011,0.5108437601412185
14,4,tp_uic_full,23.081044872238373,15.925524157842537,20.66856907571369,28,1.0,0.0,0.8062811642031333,0.5084089530885436
15,4,perfect_channel,23.299612937152475,19.09554056404824,20.66856907571369,28,1.0,0.0,0.23680411032431137,0.0006553236994102686
15,4,tp_uic_full,24.44402294718216,18.43094439201243,20.66856907571369,28,1.0,0.0,0.23191531870212317,0.0004891802542326728
16,4,perfect_channel,20.050147759919174,15.632769859239051,20.66856907571369,28,0.0,0.0,0.36626037488880064,0.014150363533081094
16,4,tp_uic_full,20.934604051633755,17.892919953878415,20.66856907571369,28,1.0,0.0,0.36489256785638896,0.011702577626381737
17,4,perfect_channel,13.246385246518926,6.751937681647519,20.66856907571369,28,0.0,0.0,0.6558054637812558,0.24773000056155875
17,4,tp_uic_full,13.647100538241919,6.802847865161629,20.66856907571369,28,0.0,0.0,0.6510427003488596,0.24310734286553637
18,4,perfect_channel,8.029720250598304,13.16263411560519,20.66856907571369,28,0.0,0.0,0.9726611530279491,0.937874659480377
18,4,tp_uic_full,8.031374327700968,13.360139473820821,20.66856907571369,28,0.0,0.0,0.9723712263203957,0.9366385796791017
19,4,perfect_channel,27.331399889480977,21.307824237620814,20.66856907571369,28,1.0,1.0,0.9584847562638571,0.8291130684397972
19,4,tp_uic_full,27.396241081182918,21.336250697330364,20.66856907571369,28,1.0,1.0,0.9583603222044914,0.8290133007592384
