split,scene_id,boost_db,receiver,target,two_cpi_h1,two_cpi_h0,perfect_two_cpi_h1,perfect_two_cpi_h0,crossfit_map_h1,crossfit_map_h0
train,0,50.0,3,1,24.472182938864123,13.883591483069761,18.338160842210137,16.65957422367854,15.971787998171058,8.670862230593098
train,0,50.0,3,2,21.940449777953898,22.670653950386857,18.945763194004442,16.726840307702062,21.289931389211002,17.49138546058869
calibration,1,10.0,0,0,15.503664275727505,11.84699482994777,15.643684233855158,12.672858120219228,15.689709350973828,12.02287457059632
calibration,1,10.0,0,1,24.848136039534474,17.009621334934188,24.51819267969384,17.366197071266594,24.700695820762007,17.134547197748816
calibration,1,10.0,0,2,8.759376010298435,9.526173146111415,32.33398387271788,12.20248635187666,9.22280486829099,10.253116762599763
calibration,1,10.0,1,0,20.04167000965468,17.919247992165197,24.82686197830803,22.522562672498353,20.281894642469876,18.23795293637608
calibration,1,10.0,1,1,19.269426780894396,14.727814956259195,18.959631056377987,14.696246400703018,19.29810880257218,14.757004006306024
calibration,1,10.0,1,2,15.952101392611231,16.08756267057838,18.24092388712083,16.26172927408358,16.747191049019023,16.24759345113262
calibration,1,10.0,2,0,15.760212024095157,12.233626066765467,16.065279559678935,12.511126304469242,16.089039980285918,12.188265376976089
calibration,1,10.0,2,1,35.17856301522498,9.874304754532545,34.190391581386244,10.641129950802057,34.01053485117783,9.870138672604718
calibration,1,10.0,2,2,62.721036766081625,11.415144353721214,63.81862618065205,12.711822078222614,62.983960142825616,11.657820120164898
calibration,1,10.0,3,0,16.076454607710975,16.468272986116858,17.551861407472263,17.00905859251909,16.204904642208074,16.68145393075195
calibration,1,10.0,3,1,14.67022693956591,16.824401632054098,14.645823041085306,16.898512006403497,14.314442821159709,16.851299501335852
calibration,1,10.0,3,2,48.0788066705821,15.476104620373956,50.795419453564236,20.47328989683441,47.88318107375173,15.302161196652342
calibration,1,30.0,0,0,17.459686709268173,17.165041008843723,13.949299905763107,16.56486861583035,16.983435012678502,16.240728041857956
calibration,1,30.0,0,1,38.565004604439416,9.587840049156927,38.95923401498525,9.582961638011238,39.165471458978885,10.056465940163186
calibration,1,30.0,0,2,15.511981889447572,11.70457381261103,28.27425914793477,14.508425483035085,16.47738800183909,11.141524606468302
calibration,1,30.0,1,0,27.344230032672073,16.79790483819975,23.91529212983761,16.081492087908625,26.56204834677297,16.080456081855537
calibration,1,30.0,1,1,14.997311598500012,13.95380694596436,14.867672978627192,13.272263305492336,14.928398121491051,13.9408969329948
calibration,1,30.0,1,2,20.47556546735912,14.742349540600017,13.611432559666945,15.520821494898675,19.36087574704005,13.244298294523471
calibration,1,30.0,2,0,17.845802825812925,18.818753778603053,16.973782520943683,18.3391361241488,17.699120777828412,18.738247926881975
calibration,1,30.0,2,1,25.3312056098935,8.98047730178138,32.47818042321305,6.633920927110514,25.950102345432313,8.66654085648137
calibration,1,30.0,2,2,44.52326295610003,10.587866168485913,46.67859089312456,12.888858899249982,44.35167217044213,10.476512137912874
calibration,1,30.0,3,0,15.150482387785546,15.006221934496867,15.627109366629519,15.717026880261486,15.248597525699013,14.846597525263487
calibration,1,30.0,3,1,20.749841343768637,14.10948745446698,21.41389444108212,14.140815125646625,20.864196508122014,14.315671932115926
calibration,1,30.0,3,2,40.098762077059995,13.365615832193878,43.328834701846915,13.194707503226573,39.785762994823926,13.001937415333554
calibration,1,50.0,0,0,17.87339186557935,21.221825912525524,17.203090242425787,15.736052841601945,13.973933744482121,17.135423053895735
calibration,1,50.0,0,1,26.00507984307651,11.11957864761304,24.265548379598556,10.205462813203532,24.652173138296313,10.073701229189481
calibration,1,50.0,0,2,79.3374682799848,61.074822800643155,37.553198018165865,11.978620015933116,13.567158418805466,12.345181635929556
calibration,1,50.0,1,0,216.20670764774528,182.01285097545787,12.958172351826832,6.37659091503213,14.409864053256921,10.261806139554619
calibration,1,50.0,1,1,19.85203037066696,14.44923541042927,19.278029855485286,12.588648485179633,19.270511321282292,13.276158662194344
calibration,1,50.0,1,2,49.503649509743326,28.34073424290438,20.196701348446293,11.308121121039868,24.85547815150755,11.471728203842915
calibration,1,50.0,2,0,33.204763139500486,17.075186042069937,24.827279342942013,14.67197818612145,25.680421497596527,14.013615044159515
calibration,1,50.0,2,1,78.49639801237068,57.81349538690076,22.48992266424293,10.685425079689129,23.439672250389965,7.571543762321069
calibration,1,50.0,2,2,70.0321974232188,24.692036603328795,59.89514433098712,14.656415407827595,62.94039372836762,13.508462471648844
calibration,1,50.0,3,0,46.74579475916673,80.94310233522386,12.721818363623418,13.638370126539838,13.617505660089053,13.503751286028908
