split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,1,0,1,1,0.0,perfect_channel,perfect_channel,0.10756979832679961,-5.009040440290012,1,3,4.346449672085003,3.3381128113963467,10,0.9221110620572073,0.4036246670311068,inf,inf,1.9806928049584279e-10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9975730659370808,0,5,nan
calibration,1,0,1,0,30.0,no_ic,no_ic,0.12324760436083289,27.002313720225196,1,3,5.113368516606907,4.424883413903317,10,0.9156190251723045,0.376571938856463,0.0,0.0,3.1474043449512687e-07,3.1474043449512687e-07,3.1474043449512687e-07,0.0,1.0,1.0,1.0,1.0,0.9971005101992372,0,5,0.0
calibration,1,0,1,0,30.0,plain_ls,plain_ls,0.12324760436083289,27.002313720225196,1,3,5.215621431026973,4.406962593924662,10,0.9153202886257533,0.37660692691762954,17.32958223874253,17.329707867029292,3.1474043449512687e-07,5.820955995134787e-09,5.820787614880662e-09,1.6838025412477084e-13,0.9811399490966846,0.8846210481244432,0.9946056512271187,0.9255916222669485,0.9971005101992372,0,5,44.82724664067253
calibration,1,0,1,0,30.0,protected_ls,protected_ls,0.12324760436083289,27.002313720225196,1,3,5.511613803981486,3.770789069732363,10,0.9005291425569854,0.34503767344979697,3.4200478342045453,3.4200536847105663,3.1474043449512687e-07,1.4320156247771262e-07,1.4320136956689427e-07,1.9291081835189146e-13,0.9994688192608736,0.9993085426848856,1.0,0.9801469414938275,0.9971005101992372,45,5,1.6950227437394565
calibration,1,0,1,0,30.0,tp_uic_full,tp_uic_full,0.12324760436083289,27.002313720225196,1,3,5.143835396041322,4.427229114933827,10,0.9156462791061276,0.3770320624045226,16.99739276578258,16.99764012262277,3.1474043449512687e-07,6.283668471452747e-09,6.2833105889145395e-09,3.5788253820735033e-13,0.9873440250824117,1.0685488006862833,0.9982639166716958,0.9287866464482402,0.9971005101992372,45,5,42.55987762779146
calibration,1,0,1,0,30.0,detection_aware_tpuic,tp_uic_full,0.12324760436083289,27.002313720225196,1,3,5.143835396041322,4.427229114933827,10,0.9156462791061276,0.3770320624045226,16.99739276578258,16.99764012262277,3.1474043449512687e-07,6.283668471452747e-09,6.2833105889145395e-09,3.5788253820735033e-13,0.9873440250824117,1.0685488006862833,0.9982639166716958,0.9287866464482402,0.9971005101992372,45,5,42.55987762779146
calibration,1,0,1,0,30.0,perfect_channel,perfect_channel,0.12324760436083289,27.002313720225196,1,3,4.6162767622620855,4.659342240410164,10,0.9221110620572073,0.4036246670311068,inf,inf,3.1474043449512687e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9971005101992372,0,5,nan
calibration,1,0,1,1,30.0,no_ic,no_ic,0.10756979832679961,24.99095955970999,1,3,4.077591680606963,3.646020595497978,10,0.9167184674834874,0.3807331057339593,0.0,0.0,1.9806928049584288e-07,1.9806928049584288e-07,1.9806928049584288e-07,0.0,1.0,1.0,1.0,1.0,0.9975730659370808,0,5,0.0
calibration,1,0,1,1,30.0,plain_ls,plain_ls,0.10756979832679961,24.99095955970999,1,3,4.012863190236182,3.5486438791080324,10,0.9166239793763222,0.3808264378571726,13.62019972374287,13.620294593346589,1.9806928049584288e-07,8.605916968179276e-09,8.605728977990791e-09,1.8799018848486939e-13,0.9841867281892682,0.9461759475605989,0.9938763456958144,0.939446169777682,0.9975730659370808,0,5,46.5252666418646
calibration,1,0,1,1,30.0,protected_ls,protected_ls,0.10756979832679961,24.99095955970999,1,3,6.045412425763005,4.85828898153175,10,0.9076466382853754,0.34842211271587425,5.421048025792885,5.421061539044318,1.9806928049584288e-07,5.684762448888939e-08,5.6847447605442785e-08,1.7688344660277637e-13,0.9980477534657822,0.9996889928497333,1.0,0.9812768285581953,0.9975730659370808,45,5,2.239108689284546
calibration,1,0,1,1,30.0,tp_uic_full,tp_uic_full,0.10756979832679961,24.99095955970999,1,3,4.083766917667819,3.637307399069994,10,0.9167467531743096,0.3812065458063716,13.434971383303075,13.435093956710544,1.9806928049584288e-07,8.980902584511354e-09,8.980649114954775e-09,2.5346955657890837e-13,0.9863178383942627,1.3305940965780447,0.9970157999899644,0.9422550221198632,0.9975730659370808,45,5,44.044378903191216
calibration,1,0,1,1,30.0,detection_aware_tpuic,tp_uic_full,0.10756979832679961,24.99095955970999,1,3,4.083766917667819,3.637307399069994,10,0.9167467531743096,0.3812065458063716,13.434971383303075,13.435093956710544,1.9806928049584288e-07,8.980902584511354e-09,8.980649114954775e-09,2.5346955657890837e-13,0.9863178383942627,1.3305940965780447,0.9970157999899644,0.9422550221198632,0.9975730659370808,45,5,44.044378903191216
calibration,1,0,1,1,30.0,perfect_channel,perfect_channel,0.10756979832679961,24.99095955970999,1,3,4.346449672085001,3.338112811396349,10,0.9221110620572073,0.4036246670311068,inf,inf,1.9806928049584288e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9975730659370808,0,5,nan
calibration,2,0,1,0,0.0,no_ic,no_ic,0.011701796165200269,-3.611471874819867,1,3,4.335748818202427,6.650863968772848,10,0.963559273471876,1.2709475686770042,0.0,0.0,2.732586890672491e-10,2.732586890672491e-10,2.732586890672491e-10,0.0,1.0,1.0,1.0,1.0,0.9951099963298644,0,5,0.0
calibration,2,0,1,0,0.0,plain_ls,plain_ls,0.011701796165200269,-3.611471874819867,1,3,4.318793284092877,6.645133285502966,10,0.9635250602732586,1.2708191723331799,15.016503979666231,15.048202688413486,2.732586890672491e-10,8.608422670496473e-12,8.545819421723843e-12,6.260324877262982e-14,0.9996017949976997,0.9998560018107319,0.9997691608533137,0.993328477033546,0.9951099963298644,0,5,16.531605023176404
calibration,2,0,1,0,0.0,protected_ls,protected_ls,0.011701796165200269,-3.611471874819867,1,3,4.375592461439161,6.889557621729464,10,0.9614407752097172,1.2619907849094667,14.445357610128918,14.472852322640176,2.732586890672491e-10,9.818343442350174e-12,9.756380921101037e-12,6.196252124913737e-14,0.9999910551672324,0.9999934905502638,0.9999999999999999,0.9996657615191222,0.9951099963298644,45,5,3.5668779496551695
calibration,2,0,1,0,0.0,tp_uic_full,tp_uic_full,0.011701796165200269,-3.611471874819867,1,3,4.318311872940417,6.645073227283482,10,0.9637020783931293,1.2714593888978194,15.0155146639474,15.048041436706024,2.732586890672491e-10,8.610383878457262e-12,8.546136730281504e-12,6.4247148175759e-14,1.0005372795797507,1.0001146429757817,1.0004651354449337,0.9943890200274377,0.9951099963298644,45,5,16.518305950937343
calibration,2,0,1,0,0.0,detection_aware_tpuic,tp_uic_full,0.011701796165200269,-3.611471874819867,1,3,4.318311872940417,6.645073227283482,10,0.9637020783931293,1.2714593888978194,15.0155146639474,15.048041436706024,2.732586890672491e-10,8.610383878457262e-12,8.546136730281504e-12,6.4247148175759e-14,1.0005372795797507,1.0001146429757817,1.0004651354449337,0.9943890200274377,0.9951099963298644,45,5,16.518305950937343
