frac_l,frac_k,eta_c_analytic,eta_c_psf,eta_loc_analytic,eta_loc_psf
0.4102205490183597,-0.039954447844566254,0.5525431103070002,0.5529841001396089,0.8696772636660846,0.8696772636660837
0.4049160185819817,-0.18479292262021374,0.5038219089810676,0.5036451478072279,0.8380983797767361,0.8380983797767368
-0.2710095069945323,-0.12542276651602902,0.7409858148957403,0.7413128959964289,0.9063019055415589,0.9063019055415594
-0.3325931163504079,-0.10056074598199893,0.6626266879605708,0.6618588478159554,0.8865106852198563,0.8865106852198559
-0.04855556719123144,-0.041026575715608526,0.986785222681616,0.9866545769538574,0.9947832744957351,0.9947832744957346
-0.29080778126417206,-0.1460202209578464,0.6997411052639686,0.6995414668882822,0.8918173664126965,0.8918173664126953
0.17506434104031554,-0.43319246144862456,0.46647350052114217,0.46688493265748415,0.83445081473049,0.8344508147304893
-0.08067519352457353,0.3239121835317641,0.6842772679799278,0.684081965083088,0.8941101470520703,0.8941101470520707
0.45378773499567304,-0.4463659209098171,0.23808827063451327,0.23828651932809147,0.7432596486100777,0.7432596486100779
0.32208904387936166,0.47367233373753825,0.31487045218319426,0.3146354152179903,0.7745285785692018,0.7745285785692027
0.06380859619414114,-0.3743290774466731,0.6079083571611694,0.608474658804979,0.8780815255390929,0.8780815255390921
0.18426978026349938,-0.287625849735201,0.6750512440215494,0.6748337546500663,0.8805381530794362,0.8805381530794341
0.06951437183152731,-0.1868659601743129,0.8762089449617698,0.8758932385308686,0.9534148253091516,0.9534148253091502
0.2688466658301817,-0.08045600175182177,0.767165185937867,0.7671803974093394,0.9174492014471903,0.9174492014471899
0.39370043180173486,-0.0004696355895900117,0.5834539300585847,0.5830201318861247,0.8761548803767352,0.8761548803767354
-0.2588909432757347,-0.36703709009523133,0.5014438986051972,0.5014770784364181,0.8225217587703336,0.8225217587703327
0.18677132413515107,0.4059881164664437,0.5009574342885101,0.5008756763801371,0.8371462758291165,0.8371462758291158
-0.4978760819202086,-0.3070293639745286,0.29669485174628124,0.29664903770191714,0.7777519323954222,0.7777519323954243
0.058273046964181896,0.263268490517124,0.7829837850769445,0.7834932403054202,0.9235583994799768,0.9235583994799772
-0.160203995127008,0.37644691485970616,0.5625534725165576,0.5634418887624726,0.8550307387249293,0.8550307387249285
0.21184055018762937,-0.33828803356345905,0.5817847405208352,0.5821301706430677,0.8505813131010095,0.8505813131010097
0.38411147096972387,0.37726147174421276,0.36650321737583935,0.366967151785106,0.7752698326678481,0.7752698326678489
