trial,arm,belief_term,t_h1,thr_h1,det_h1,t_h0,thr_h0,det_h0
26,tp_uic_stage1,1,15.143439272099034,20.66856907571369,0.0,10.0283528238449,20.66856907571369,0.0
26,tp_uic_full,1,11.087333678076003,20.66856907571369,0.0,10.067584801043806,20.66856907571369,0.0
27,perfect_channel,0,10.556916151169899,20.66856907571369,0.0,17.79307783956944,20.66856907571369,0.0
27,tp_uic_stage1,0,10.654273437115286,20.66856907571369,0.0,15.28771937918492,20.66856907571369,0.0
27,tp_uic_full,0,11.982738610995149,20.66856907571369,0.0,16.624039446942614,20.66856907571369,0.0
27,perfect_channel,1,9.465717339550665,20.66856907571369,0.0,16.05751672391534,20.66856907571369,0.0
27,tp_uic_stage1,1,8.758939059964991,20.66856907571369,0.0,15.535041506611499,20.66856907571369,0.0
27,tp_uic_full,1,10.172455005543288,20.66856907571369,0.0,16.25603680665279,20.66856907571369,0.0
28,perfect_channel,0,31.10365073243002,20.66856907571369,1.0,48.61510564471267,20.66856907571369,1.0
28,tp_uic_stage1,0,20.18435405072804,20.66856907571369,0.0,29.800290681038582,20.66856907571369,1.0
28,tp_uic_full,0,16.357635679309457,20.66856907571369,0.0,26.91283678012642,20.66856907571369,1.0
28,perfect_channel,1,11.504515329221507,20.66856907571369,0.0,29.604259948184108,20.66856907571369,1.0
28,tp_uic_stage1,1,18.33444019607731,20.66856907571369,0.0,23.257256118295818,20.66856907571369,1.0
28,tp_uic_full,1,17.154137567635885,20.66856907571369,0.0,24.374151659578338,20.66856907571369,1.0
29,perfect_channel,0,20.501115020059537,20.66856907571369,0.0,10.22671175531924,20.66856907571369,0.0
29,tp_uic_stage1,0,18.56226881767335,20.66856907571369,0.0,7.96081116859949,20.66856907571369,0.0
29,tp_uic_full,0,20.63373573737827,20.66856907571369,0.0,8.955877046999888,20.66856907571369,0.0
29,perfect_channel,1,18.77088055264064,20.66856907571369,0.0,9.333629187849692,20.66856907571369,0.0
29,tp_uic_stage1,1,17.96898814597535,20.66856907571369,0.0,7.8587681548943955,20.66856907571369,0.0
29,tp_uic_full,1,19.98906052821418,20.66856907571369,0.0,8.881656006563775,20.66856907571369,0.0
30,perfect_channel,0,15.15273955126662,20.66856907571369,0.0,18.554110278605982,20.66856907571369,0.0
30,tp_uic_stage1,0,15.705095933028103,20.66856907571369,0.0,16.771578828294846,20.66856907571369,0.0
30,tp_uic_full,0,11.91429707827797,20.66856907571369,0.0,18.43828810149314,20.66856907571369,0.0
30,perfect_channel,1,13.934672399124914,20.66856907571369,0.0,16.92898268314635,20.66856907571369,0.0
30,tp_uic_stage1,1,14.94799924089783,20.66856907571369,0.0,16.04968078752031,20.66856907571369,0.0
30,tp_uic_full,1,11.561845051262738,20.66856907571369,0.0,17.31828989611529,20.66856907571369,0.0
31,perfect_channel,0,21.0984467628715,20.66856907571369,1.0,13.878887174619564,20.66856907571369,0.0
31,tp_uic_stage1,0,25.31187691021622,20.66856907571369,1.0,22.421680014649052,20.66856907571369,1.0
31,tp_uic_full,0,22.899368015902105,20.66856907571369,1.0,20.482954947038753,20.66856907571369,0.0
31,perfect_channel,1,30.924563754931512,20.66856907571369,1.0,24.825824132409828,20.66856907571369,1.0
31,tp_uic_stage1,1,34.387229900688936,20.66856907571369,1.0,32.90868832779309,20.66856907571369,1.0
31,tp_uic_full,1,32.22836408526297,20.66856907571369,1.0,26.677192154143157,20.66856907571369,1.0
32,perfect_channel,0,37.73521356312992,20.66856907571369,1.0,25.04325398293414,20.66856907571369,1.0
32,tp_uic_stage1,0,12.441225869280574,20.66856907571369,0.0,16.261633648253436,20.66856907571369,0.0
32,tp_uic_full,0,10.498324125513063,20.66856907571369,0.0,10.469380475501026,20.66856907571369,0.0
32,perfect_channel,1,10.514534677916473,20.66856907571369,0.0,9.746165492506266,20.66856907571369,0.0
32,tp_uic_stage1,1,11.07185205603895,20.66856907571369,0.0,15.45176896900275,20.66856907571369,0.0
32,tp_uic_full,1,11.059809181031635,20.66856907571369,0.0,11.078388681295154,20.66856907571369,0.0
33,perfect_channel,0,19.02038789813225,20.66856907571369,0.0,28.3811418950458,20.66856907571369,1.0
33,tp_uic_stage1,0,13.481495419487185,20.66856907571369,0.0,10.921351983358829,20.66856907571369,0.0
33,tp_uic_full,0,14.386894036050812,20.66856907571369,0.0,16.621665247036002,20.66856907571369,0.0
33,perfect_channel,1,22.579348531164406,20.66856907571369,1.0,29.41735599833207,20.66856907571369,1.0
33,tp_uic_stage1,1,15.447361591352163,20.66856907571369,0.0,10.914434108097193,20.66856907571369,0.0
33,tp_uic_full,1,16.243718674949996,20.66856907571369,0.0,16.014898890106448,20.66856907571369,0.0
34,perfect_channel,0,13.746946602402833,20.66856907571369,0.0,10.831493602404954,20.66856907571369,0.0
34,tp_uic_stage1,0,8.683874647832228,20.66856907571369,0.0,7.757764730478003,20.66856907571369,0.0
34,tp_uic_full,0,11.558663840080309,20.66856907571369,0.0,9.992160927679384,20.66856907571369,0.0
34,perfect_channel,1,12.4498923836185,20.66856907571369,0.0,10.269498579875656,20.66856907571369,0.0
34,tp_uic_stage1,1,8.296910528443293,20.66856907571369,0.0,7.98341385647268,20.66856907571369,0.0
34,tp_uic_full,1,11.702558963185897,20.66856907571369,0.0,9.942141550888199,20.66856907571369,0.0
35,perfect_channel,0,13.348559189627533,20.66856907571369,0.0,18.094844064906408,20.66856907571369,0.0
35,tp_uic_stage1,0,16.72303087503328,20.66856907571369,0.0,15.959946382718599,20.66856907571369,0.0
35,tp_uic_full,0,13.619792711884518,20.66856907571369,0.0,15.138645002174409,20.66856907571369,0.0
