split,scene_id,max_h0,max_h1,logmeanexp_h0,logmeanexp_h1
calibration,31,4.559849905462332,20.013498170108825,3.7409035539557207,18.06639910783143
calibration,32,9.886682921181675,13.227623472861477,8.384547405727638,12.090331499648203
calibration,33,4.69688986076053,4.437861670225496,3.619165478475324,3.44799770434142
calibration,34,2.709474349995883,12.235294851101862,2.3715086922825246,10.862146963576855
calibration,35,4.061779396826562,19.09409986174174,3.34724125088136,16.953824813750234
calibration,36,12.330894801561877,13.193424188892706,10.481840791337397,11.72697168460377
calibration,37,7.560450549756792,12.300011360250044,6.543719606460128,10.98867987983396
calibration,38,4.805207021899869,5.368889512885662,4.214055773403633,3.944989017849408
calibration,39,4.675239668603144,6.28790236612336,4.135438936532149,4.747698661731526
test,40,4.963383215207201,5.5694223780938446,3.717535292657103,4.556200478806973
test,41,7.093217033860458,5.539021076262067,5.500244941909061,4.473515668892048
test,42,9.113101742892656,8.58192909632547,7.955424012397928,7.744479889977535
test,43,6.587490352491102,51.72540549275127,6.062582361828316,49.99136022422937
test,44,3.0075182633231154,12.715476669282317,2.481495362817043,10.934893996303568
test,45,2.451518119139405,5.55437826640814,1.9503847702829191,4.436291140739388
test,46,5.913530415740874,11.693226360640184,5.403473934460259,10.111939835430924
test,47,3.871414916940113,10.234849580986886,3.4545694489546634,8.864936926067692
test,48,5.533408114937444,12.319740597037363,4.95357199469521,10.808627453981769
test,49,7.6118380533959895,44.405995888120266,6.476414879526476,42.417469869263726
test,50,5.093007458553277,3.94413412854198,4.2827478147336215,3.3490787732577227
test,51,8.333548504758676,19.662358192432478,6.843386739612245,18.044742275430863
test,52,14.448884416705976,10.774736289219744,13.331970825253556,9.95204719922265
test,53,7.239144835352795,13.849061272427926,5.5660157026459425,12.41598947345141
test,54,8.530708199388469,17.443828997706877,7.548144039694646,15.972839160998019
test,55,3.740876146247388,11.002144514696244,2.376931323366988,9.590724369704391
test,56,4.818838905619171,6.039155084025035,4.091509730476123,5.163366667374213
test,57,2.9551803247376105,8.76621163131242,2.502676337835573,7.715613257545338
test,58,8.128459335357492,10.692231260407265,6.270231379804676,9.371137570531586
test,59,6.198140588962124,26.355972402703024,5.111304870204089,24.621650789572687
test,60,8.277087607536446,7.590068506190739,6.79497319901917,6.322963537614479
test,61,8.373160049756036,4.44909541512338,6.4905418968164525,3.659995318234864
test,62,8.712614466803036,7.096819363029144,7.5498221518789235,5.252742372898014
test,63,7.365119470907324,13.880147807127711,6.246025687098992,12.328439988478161
test,64,5.197385514132975,9.525309976745001,4.174777069479795,8.28892760748078
test,65,6.314629129420117,16.815511252121482,4.80871801834376,15.671124249033134
test,66,5.418120976147287,15.334970783393816,4.30050294389882,13.502284960636317
test,67,4.345719754909762,17.90749476218396,3.6894477621044297,15.960308390567212
test,68,6.903826388540744,3.521238154310925,6.477042989524748,2.8811515847855182
test,69,3.388630843636993,7.314404150380334,2.3462774336291714,6.444962691399766
test,70,3.3850847154818515,6.651054167876026,2.9237181694923984,5.642997354121355
test,71,4.89942454860823,5.797358519920211,3.6997979008858195,5.081586432322976
test,72,2.798638123639644,10.319240941034243,2.185267507326455,9.379673139408327
test,73,5.4792722780890415,9.010514733794949,3.8224340426600123,7.15195082266061
test,74,3.472486785523259,23.217786233089697,2.521579722074611,21.909441900581232
test,75,9.31065552330326,11.229134682662433,8.006190201521502,10.143051659403449
test,76,4.545266690199567,14.047580763564067,3.4511648857487733,12.54571369155034
test,77,5.4002108974202,7.983870217186727,4.4382554410637844,6.013522511699092
test,78,7.910305053896465,37.203536352526406,5.9691907148811945,35.10223246956684
test,79,8.864855794699352,9.984252590493803,7.900954056706937,8.02616962778075
