trial,budget,method,pd,pfa,pfa_active,active_targets,reports,observations,selected,detected_per_target
12,0,proposed_c2f_adaptive_pd,1.0,0.04,0.04,10,0,11,"{""0"": [[0, 5]], ""1"": [[0, 4]], ""2"": [[2, 11]], ""3"": [[0, 14]], ""4"": [[11, 13], [1, 13]], ""5"": [[0, 10]], ""6"": [[0, 6]], ""7"": [[4, 6]], ""8"": [[2, 10]], ""9"": [[0, 14]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12,0,sense_sinr_budgeted,0.5,0.04,0.08,5,0,12,"{""0"": [], ""1"": [], ""2"": [], ""3"": [[0, 14], [3, 14]], ""4"": [], ""5"": [[8, 10], [7, 10]], ""6"": [[10, 6], [4, 6], [5, 6]], ""7"": [], ""8"": [[8, 10]], ""9"": [[2, 14], [11, 14], [0, 14], [3, 14]]}","[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]"
12,0,balanced_sinr,0.9,0.06,0.06,10,0,12,"{""0"": [[4, 5]], ""1"": [[5, 4]], ""2"": [[2, 11]], ""3"": [[0, 14], [3, 14]], ""4"": [[1, 13]], ""5"": [[8, 10]], ""6"": [[10, 6]], ""7"": [[5, 6]], ""8"": [[8, 10]], ""9"": [[2, 14], [11, 14]]}","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
13,0,proposed_c2f_adaptive_pd,1.0,0.056666666666666664,0.056666666666666664,10,0,10,"{""0"": [[1, 10]], ""1"": [[1, 6]], ""2"": [[0, 13]], ""3"": [[1, 11]], ""4"": [[8, 14]], ""5"": [[0, 5]], ""6"": [[0, 11]], ""7"": [[5, 0]], ""8"": [[9, 8]], ""9"": [[5, 8]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
13,0,sense_sinr_budgeted,0.4,0.013333333333333334,0.03333333333333333,4,0,12,"{""0"": [[6, 10]], ""1"": [], ""2"": [[12, 13], [11, 13], [10, 13], [2, 13], [1, 13], [5, 13]], ""3"": [[12, 11]], ""4"": [], ""5"": [], ""6"": [[12, 11], [13, 11], [10, 11], [2, 11]], ""7"": [], ""8"": [], ""9"": []}","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
13,0,balanced_sinr,1.0,0.04666666666666667,0.04666666666666667,10,0,12,"{""0"": [[6, 10]], ""1"": [[9, 6]], ""2"": [[12, 13], [11, 13]], ""3"": [[12, 11]], ""4"": [[9, 14]], ""5"": [[11, 5]], ""6"": [[12, 11], [13, 11]], ""7"": [[5, 0]], ""8"": [[14, 8]], ""9"": [[9, 8]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0.043333333333333335,10,0,10,"{""0"": [[0, 3]], ""1"": [[0, 5]], ""2"": [[0, 3]], ""3"": [[0, 7]], ""4"": [[0, 7]], ""5"": [[0, 3]], ""6"": [[0, 5]], ""7"": [[1, 8]], ""8"": [[0, 3]], ""9"": [[2, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14,0,sense_sinr_budgeted,0.6,0.02666666666666667,0.044444444444444446,6,0,12,"{""0"": [], ""1"": [[14, 5], [0, 5]], ""2"": [], ""3"": [[0, 7], [14, 7]], ""4"": [[0, 7], [9, 7]], ""5"": [[12, 3], [1, 3], [5, 3], [10, 3]], ""6"": [], ""7"": [[2, 8]], ""8"": [], ""9"": [[12, 1]]}","[0, 1, 0, 1, 1, 1, 0, 1, 0, 1]"
14,0,balanced_sinr,1.0,0.043333333333333335,0.043333333333333335,10,0,12,"{""0"": [[0, 3]], ""1"": [[14, 5]], ""2"": [[0, 3]], ""3"": [[0, 7], [14, 7]], ""4"": [[0, 7], [9, 7]], ""5"": [[12, 3]], ""6"": [[14, 5]], ""7"": [[2, 8]], ""8"": [[7, 3]], ""9"": [[12, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
15,0,proposed_c2f_adaptive_pd,1.0,0.06,0.06,10,0,10,"{""0"": [[1, 9]], ""1"": [[0, 14]], ""2"": [[0, 5]], ""3"": [[1, 9]], ""4"": [[0, 5]], ""5"": [[2, 8]], ""6"": [[0, 13]], ""7"": [[0, 14]], ""8"": [[2, 3]], ""9"": [[3, 11]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
