split,scene_id,scale,stat_h0,stat_h1,h0_inflation
train,16,1.5,6.715224631645842,9.193262541720875,1.3430449263291684
train,16,2.0,6.702689647088856,9.182593570745055,1.340537929417771
train,17,0.5,7.481523847440215,11.564024108179918,1.496304769488043
train,17,0.75,7.876842326886344,11.188826350053056,1.5753684653772688
train,17,1.0,8.167431147330843,10.95870054635305,1.6334862294661687
train,17,1.5,8.573932926436248,10.696261717528234,1.7147865852872495
train,17,2.0,8.852348445764587,10.55756244884289,1.7704696891529175
train,18,0.5,4.057366115204713,9.687413894373169,0.8114732230409427
train,18,0.75,4.045786616510434,9.687492885350997,0.8091573233020869
train,18,1.0,4.036850385367923,9.689608981581403,0.8073700770735845
train,18,1.5,4.024169904991313,9.695830319096844,0.8048339809982625
train,18,2.0,4.01559065374069,9.702786918652563,0.8031181307481379
train,19,0.5,4.590784198015823,10.331709270144682,0.9181568396031645
train,19,0.75,4.5874549103369135,10.308007181427921,0.9174909820673827
train,19,1.0,4.586506761504156,10.279987742262902,0.9173013523008311
train,19,1.5,4.587215942487487,10.228215160188483,0.9174431884974974
train,19,2.0,4.589622683585332,10.185584525368718,0.9179245367170663
calibration,20,0.5,4.555323075512727,11.478617519273064,0.9110646151025454
calibration,20,0.75,4.324273446496451,11.71626992185251,0.8648546892992902
calibration,20,1.0,4.2214874014282975,11.857461860288065,0.8442974802856595
calibration,20,1.5,4.13298913521879,12.013718696273616,0.8265978270437581
calibration,20,2.0,4.096576199257225,12.095555356946967,0.8193152398514449
calibration,21,0.5,5.981161383367148,5.963068937278834,1.1962322766734297
calibration,21,0.75,6.040214115724066,5.966131483929281,1.208042823144813
calibration,21,1.0,6.080343243775201,5.964514449327989,1.2160686487550403
calibration,21,1.5,6.132945998557703,5.957188807032703,1.2265891997115406
calibration,21,2.0,6.166350447486325,5.949138106807162,1.233270089497265
calibration,22,0.5,5.522719836793981,6.874027033215133,1.1045439673587962
calibration,22,0.75,5.520817235952448,6.8685026740996316,1.1041634471904895
calibration,22,1.0,5.521317352990419,6.8630423561632465,1.1042634705980838
calibration,22,1.5,5.524434065884913,6.853558974439111,1.1048868131769827
calibration,22,2.0,5.528173609670166,6.845895150950072,1.1056347219340332
calibration,23,0.5,8.953785167708848,13.539369447681509,1.7907570335417695
