scene,boost_db,held_index,dimension,exceptional_rank,mean,std,cv,effective_shape,skewness,probability_above_mean,mean_positive_excess,positive_excess_over_mean,q90_over_mean,q95_over_mean,q99_over_mean
3,50.0,1,16384,60,6.25416828150896e-10,4.894713273166189e-12,0.007826321667163755,16326.181208532798,0.015653016141409324,0.49947,1.959165396525538e-12,0.003132575441434788,1.010021935757387,1.0129603466291328,1.0183689173485653
4,10.0,0,16384,60,6.255897822102067e-10,4.895262408550287e-12,0.007825035746676265,16331.54754719443,0.015650964616770634,0.49991,1.9567063738541153e-12,0.0031277786650240323,1.0100628674009622,1.012866130149753,1.0181737171754695
4,10.0,1,16384,60,6.25591430066909e-10,4.895270596952461e-12,0.007825028223978223,16331.578948323297,0.015650942380597624,0.50241,1.9644623217430317e-12,0.0031401682109566723,1.0100585077292197,1.0129175506270554,1.0181712223471202
4,30.0,0,16384,60,6.255906677260234e-10,4.895266033961099e-12,0.007825030465615857,16331.569591304968,0.015650949862898136,0.4959,1.93826775092709e-12,0.003098300295898838,1.0100031226547144,1.01291589612951,1.0183446019819515
4,30.0,1,16384,60,6.255908524480675e-10,4.895267190117311e-12,0.007825030003173975,16331.571521623953,0.01565094844232758,0.50082,1.968675409712608e-12,0.0031469056844561755,1.0100843275327995,1.01306029612904,1.0184394379032466
4,50.0,0,16384,60,6.255907682395722e-10,4.89526646244047e-12,0.0078250298932893,16331.571980303213,0.015650948239775822,0.49831,1.9471575237428973e-12,0.0031125100027007213,1.01000944941696,1.012925116417263,1.0183503323369842
4,50.0,1,16384,60,6.255907990473765e-10,4.8952668719179244e-12,0.007825030162483579,16331.570856635804,0.015650948996826907,0.49559,1.943409695368625e-12,0.003106518987056664,1.0100613581981814,1.0128701425879398,1.0182748062122797
5,10.0,0,16384,60,6.255070748710116e-10,4.895014168190831e-12,0.007825673545259664,16328.885587590761,0.015651967498510312,0.50006,1.9489062188242666e-12,0.0031157221031051625,1.0099858652165057,1.012859948190709,1.0182250392864112
5,10.0,1,16384,60,6.255069372904007e-10,4.895013179381055e-12,0.00782567368570762,16328.885001479288,0.01565196909811765,0.49867,1.959128234759254e-12,0.0031320647589391966,1.0100385171383601,1.012952986172363,1.0183541537910925
5,30.0,0,16384,60,6.255070844108218e-10,4.89501394409501e-12,0.007825673067645152,16328.887580751705,0.01565196697406754,0.49937,1.9603977979783948e-12,0.003134093676692622,1.0100774886464652,1.012880938756932,1.0182472630198307
5,30.0,1,16384,60,6.255069615900082e-10,4.895013435971886e-12,0.007825673791909528,16328.884558281989,0.01565196923335433,0.49912,1.9359656767142545e-12,0.0030950345808991864,1.009966314849491,1.0128300950638185,1.0180943278024304
5,50.0,0,16384,60,6.255070859088456e-10,4.895013923122627e-12,0.007825673015374875,16328.887798883861,0.015651966916691656,0.49822,1.960474468948568e-12,0.0031342162432901133,1.0100591839304296,1.0129822182241266,1.0185096554707327
5,50.0,1,16384,60,6.255069641690629e-10,4.8950134613816225e-12,0.00782567380026578,16328.884523410023,0.01565196924482684,0.49492,1.9410552405450206e-12,0.003103171270240869,1.0100118217419205,1.0128924101005907,1.0183476462102379
