experiment,case,raw_gamma,interference_gamma,num_interferers,clutter_gamma,multipath_ratio,sync_error_k,sync_error_l,report_success,target_k,target_l,interferer_k,interferer_l,captured_energy,local_window_energy,leakage_projection,clutter_projection,multipath_projection,gamma_effective,predicted_pd,exact_success_pd,exact_success_pfa,exact_mixture_pd,exact_mixture_pfa,empirical_pd,empirical_pfa,threshold,calibrated_threshold,calibrated_exact_pd,calibrated_exact_pfa,calibrated_empirical_pd,calibrated_empirical_pfa,n_trials
waveform_detection_grid,10,0.5,0.5,2.0,0.5,0.0,-0.04746495745911988,0.02056861263091047,0.99,-0.1417687814086186,0.23006457781908352,-0.4761401452164298,0.35075414287509166,0.9129373776960501,0.9187678935980058,0.7141159864998281,0.12870900980989017,0.47331158029465115,0.32113738231552685,0.33746065364853806,0.31238389825745366,0.04494252597935673,0.31195864046984473,0.04719168191452873,0.3046,0.0472,1.7887766806911434,1.7528789581110749,0.3212252188208701,0.050000000000000065,0.3124,0.0506,5000.0
waveform_detection_grid,11,1.0,0.5,3.0,1.0,0.0,-0.04663757527814301,0.08959811083131033,0.99,0.3883954263166767,0.1209354652000495,-0.22311081088079776,0.9256472151610424,0.8399510026375577,0.8620735702821815,0.1588358064511939,0.14508333050235003,0.5208608309599931,0.6859535780787734,0.6942569759407473,0.6836248210913233,0.044942525979356655,0.6794871540753756,0.04719168191452865,0.6728,0.0472,2.994072803474115,2.93398682625637,0.6879797619970328,0.049999999999999996,0.6796,0.0498,5000.0
waveform_detection_grid,12,0.25,1.0,1.0,0.0,0.15,-0.014190676752230392,0.12219395826173986,0.99,-0.2183865068994042,0.1718259817227047,-0.2411329879688836,-0.5609746305138903,0.87792731861584,0.9136775972218849,0.07433952717555083,0.1357338945472493,0.5580639593778911,0.22377397652180694,0.2240788794885684,0.20914859921003287,0.04494252597935673,0.2097556944128981,0.04719168191452873,0.2056,0.0502,1.3456174445853992,1.3186131783480044,0.21752278356781074,0.049999999999999996,0.2162,0.053,5000.0
waveform_detection_grid,13,0.5,1.0,2.0,0.5,0.15,0.029852813842254685,-0.09870412094790912,0.99,0.10138212134040114,0.06402386386553449,0.8042085162798253,0.8171382080326086,0.9610751741676004,0.9820101015367008,0.0025630892237690998,0.11669220450001079,0.4328984778081789,0.4835521994175267,0.5197324098874583,0.49220614103336735,0.044942525979356655,0.48998266081799924,0.04719168191452865,0.4888,0.0474,2.398577603475373,2.350442207746122,0.4999616287739588,0.050000000000000065,0.4968,0.052,5000.0
waveform_detection_grid,14,1.0,1.0,3.0,1.0,0.15,0.047041534508703846,-0.15656675633426073,0.99,0.28772662632278356,0.13902625222296638,0.5750197078064924,0.22193466604412293,0.8452394189477435,0.8952656671206454,0.27977032697841775,0.1417635083401565,0.34619584457291,0.6311272889488551,0.6536017003281194,0.6373095944830978,0.044942525979356655,0.6336350797332324,0.04719168191452865,0.6288,0.0532,2.847359792885332,2.790218097650829,0.6426928500686205,0.049999999999999996,0.638,0.0554,5000.0
waveform_detection_grid,15,0.25,2.0,1.0,0.0,0.3,0.020052043990637914,-0.08504893639356975,0.99,0.3142430618716505,-0.36523854837887004,0.5221579557176111,-0.5401382924256369,0.7808070334414843,0.8021286011824863,0.623777789295748,0.16168856967184264,0.4525646142759693,0.10195258645157483,0.10339113870135573,0.10348177988601966,0.04494252597935673,0.10514554328212503,0.04719168191452873,0.1064,0.0468,0.6808455171009788,0.6671820991033053,0.11023381381218333,0.049999999999999996,0.1112,0.0502,5000.0
waveform_detection_grid,16,0.5,2.0,2.0,0.5,0.3,-0.028537145634329738,0.11171624693169947,0.99,0.10681438103420338,0.3570786899866468,0.33784053328776653,0.03548654180298416,0.8364013118714011,0.8760833839005505,0.22983545372896302,0.1470969649662755,0.5546950701303912,0.32702750809493275,0.3444185880405161,0.31891012799435303,0.04494252597935673,0.31841960790937507,0.04719168191452873,0.3244,0.0488,1.8135001780185431,1.7771062966625646,0.32775149484480753,0.049999999999999996,0.333,0.0514,5000.0
waveform_detection_grid,17,1.0,2.0,3.0,1.0,0.3,-0.06415634115520566,-0.18304393270695926,0.99,-0.3716555985579465,-0.22000825580410732,-1.2127625178034989,-0.9689713556712638,0.7430101300964834,0.835776199271133,0.04094536949576869,0.16571883204459203,0.38157941276859,0.6873015195089657,0.695196816133709,0.6847070885533418,0.04494252597935673,0.680558598862774,0.04719168191452873,0.6716,0.055,2.997559755360146,2.9374038009156145,0.6890363984991105,0.050000000000000065,0.6808,0.058,5000.0
waveform_detection_grid,18,0.25,0.5,1.0,0.0,0.0,-0.08822734440738923,0.06118378693238117,0.9,0.01608258763773185,0.15956953307284105,0.7022177104668741,-0.10132064066778934,0.9455103084107915,0.9692543022316475,0.06813005331405407,0.12064481463631507,0.5180504542895057,0.22859063115872913,0.170435707474385,0.13504236830605132,0.021212171508028278,0.14392143253485268,0.04147425541663194,0.1528,0.039,1.6953238047067043,1.5667651268646776,0.17080637752573932,0.050000000000000044,0.1832,0.048,5000.0
waveform_detection_grid,19,0.5,0.5,2.0,0.5,0.0,0.0831186238848923,0.05762400174862825,0.9,0.16318336465726446,0.31965458143721037,0.11459211421064419,0.42458989594459573,0.8505267493967771,0.8747156117806764,0.6597256191183264,0.1439711471522272,0.4957622604510017,0.3033590364082555,0.22936158554332106,0.19791784011761313,0.021212171508028278,0.2005093571652583,0.04147425541663194,0.1962,0.0416,2.120773565352228,1.9599524615565604,0.2332911371169469,0.05,0.2344,0.0494,5000.0
waveform_detection_grid,20,1.0,0.5,3.0,1.0,0.0,-0.08482633249325357,-0.16296713580131367,0.9,0.24503488664765183,0.3894983573045284,-0.2665420764009342,0.6597972622817716,0.7434886550976172,0.8208053337742323,0.36407746534000984,0.15839217458159635,0.2867268467776858,0.5546639152196623,0.4404267909237069,0.4516873754047454,0.021212171508028278,0.4289019389236774,0.04147425541663194,0.428,0.0408,3.2508342526471443,3.004319131321286,0.47049691445526903,0.05,0.468,0.0536,5000.0
waveform_detection_grid,21,0.25,1.0,1.0,0.0,0.15,0.06774367539856653,0.14327876457185704,0.9,0.18879470571304768,0.1044006058026058,0.025644566593845286,-0.6125650314495003,0.8898466865842123,0.9456493819865929,0.057578372782282825,0.13249956640557192,0.5748170864148552,0.23073213169502335,0.17203574695315743,0.13669005101861256,0.021212171508028278,0.1454043469761578,0.04147425541663194,0.1412,0.0374,1.7082285334959755,1.5786912727623195,0.17247084011823569,0.05,0.167,0.0458,5000.0
waveform_detection_grid,22,0.5,1.0,2.0,0.5,0.15,0.007273883142591493,0.017367458532237923,0.9,-0.28347649838720146,-0.3863620064118244,-0.5216535338605874,-1.1045965806210565,0.8061492194950678,0.8071000179623042,0.06408509437499142,0.15437837465460585,0.5745035724153384,0.3909335247730286,0.30339365291081255,0.282438539691354,0.021212171508028278,0.27657798678162515,0.04147425541663194,0.2818,0.041,2.5609315648844073,2.366732689653956,0.3145836994096919,0.050000000000000044,0.3174,0.0492,5000.0
waveform_detection_grid,23,1.0,1.0,3.0,1.0,0.15,0.015314946634831473,-0.08767264096582383,0.9,0.08588951454682581,-0.26125522044504845,0.38825337846413444,-0.9314737226482599,0.8981370756068479,0.9196654406273138,0.34926998695967143,0.13225763318670136,0.5012806967006478,0.6569767359556763,0.5174007306136177,0.5522001741331255,0.021212171508028278,0.5193634577792194,0.04147425541663195,0.5188,0.044,3.6127259016410345,3.338768051210825,0.559544098505813,0.050000000000000044,0.5582,0.054,5000.0
