method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
raw_sense_sinr,0.886,0.879622102806666,0.8920814395604981,0.0062296683769160754,0.8798000000000001,0.8921025,0.0061512499999999415,0.9,0.881,0.918,0.04959222627103939,0.04880551410318597,0.050390947902268,0.0007927168995410169,0.048780673280423285,0.05038137797619048,0.0008003523478835976,0.04763333333333333,0.04687693677257641,0.04840131515764822,0.0007621891925359073,4868.48,1782.207644916832,8.114133333333335,2.9703460748613875,7.607,2.7846994451825497,14.819,4.1869128245044696,1.0,1.0,1060.738,0.4435757955184455,2.2813656284799553,0.751378005056011,0.9742958438417433,0.9165568685531001,0.5737286709902016,0.7606313125151125,-0.02878849777722837,0.9946,0.9222230075480076,770740.5321756813,478.4700727528615,3.107926902741236,45073.40931169378,0.0,0.0,0.9462959208128569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.201,305710.5477466751,0.829,0.8859999999999999,0.865,0.901,-0.018900000000000004,-0.026230184285927997,-0.01156981571407201,proposed_c2f,-0.018900000000000004,-0.026230184285927997,-0.01156981571407201,0.18198698567109242,0.10919219140265543,158312.35461081925,94987.41276649153
sense_sinr,0.9026,0.8966330232798142,0.9082577698730879,0.0058123732966368635,0.8965000000000001,0.9086000000000002,0.006050000000000055,0.916,0.899,0.933,0.04975191700496166,0.048964075621078795,0.05055176109507149,0.0007938427369963488,0.04896231812169312,0.05064579067460317,0.0008417362764550247,0.04779666666666667,0.047039027931170874,0.04856588648269844,0.0007634292757637828,4250.88,1893.9930373684058,7.084800000000001,3.156655062280678,6.642,2.959364120888134,14.819,4.1869128245044696,1.0,1.0,1060.738,0.4435757955184455,2.2705641462656247,0.9458538827792092,1.1016183360058767,0.9849351822283197,0.9190714536504486,0.9617216772390865,0.026406618721232494,1.0,1.0,739220.1426527217,449.7427261639775,5.4143184747659046,39039.20512952277,0.0,0.0,0.9479802911177362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.258,238284.7169839774,0.852,0.9026,0.888,0.918,-0.0355,-0.042750260538620515,-0.02824973946137948,proposed_c2f,-0.0355,-0.042750260538620515,-0.02824973946137948,0.2123325052694971,0.12739950316169826,173898.14406728058,104338.88644036834
sense_sinr_budgeted,0.9818,0.9789889481024409,0.9842410174739832,0.0026260346857711614,0.9791000000000001,0.9843,0.0025999999999999357,0.96,0.947,0.972,0.05027985703688718,0.049499199651245725,0.051072164719401784,0.0007864825340780299,0.04945531018518519,0.05108337268518518,0.0008140312499999962,0.04970666666666667,0.048934681422653996,0.05049018407546837,0.0007777513264071861,20309.76,1735.2433669085153,33.84960000000001,2.8920722781808594,31.734,2.711317760794555,60.0,0.0,1.0,1.0,1060.738,0.4435757955184455,1.9587410645678196,0.6541231656029767,0.8005847459042859,0.9832505901810635,0.7454676584703321,0.9792224470163492,-0.7308177087230981,1.0,1.0,2735862.465264497,3770.161324330139,67.94559577554654,205582.01734469045,0.0,0.0,0.9609333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.737,705666.0003572163,0.961,0.9818,0.972,0.987,-0.1147,-0.12117833663076422,-0.10822166336923578,proposed_c2f,-0.1147,-0.12117833663076422,-0.10822166336923578,0.048341290098947505,0.029004774059368493,134706.78458359416,80824.07075015646
single_best,0.8891,0.8827953867271283,0.8951057747626736,0.006155194017772647,0.8828,0.8953000000000001,0.006250000000000033,0.819,0.795,0.843,0.04948712581117856,0.04869913276399694,0.05028719524564061,0.0007940312408218353,0.048755877976190486,0.050380322751322745,0.0008122223875661298,0.04728,0.04652629905936096,0.04804529525318336,0.0007594980969111986,2282.24,1015.0900365977395,3.8037333333333345,1.6918167276628995,3.566,1.5860781821839676,10.0,0.0,1.0,1.0,1060.738,0.4435757955184455,2.5336107307581197,1.3605804343771792,1.518462981708822,0.9999003720658307,0.9997467593246818,0.9998044148142772,0.7918469379243308,1.0,1.0,709525.5980791022,348.71177524890237,3.742657522662666,31630.78331249434,0.0,0.0,0.9554000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.21,228033.53575911451,0.831,0.8891,0.869,0.905,-0.022,-0.02941447827484093,-0.01458552172515907,proposed_c2f,-0.022,-0.02941447827484093,-0.01458552172515907,0.389573401570387,0.2337440409422321,310890.0019625904,186534.00117755416
topk_deflection,0.9062,0.9003285971510492,0.9117594311120133,0.005715416980482058,0.9003000000000001,0.9120000000000001,0.005850000000000022,0.919,0.902,0.935,0.049649597557590894,0.0488625721642076,0.05044862713532325,0.0007930274855578248,0.04885499900793651,0.0505286703042328,0.0008368356481481473,0.047703333333333334,0.04694640411024828,0.048471846027252644,0.0007627209585021819,4095.36,1871.1436263419223,6.825600000000001,3.118572710569872,6.399,2.923661916159254,14.819,4.1869128245044696,1.0,1.0,1060.738,0.4435757955184455,2.3978455621267716,1.091234125990759,1.2486390938277316,0.9997096431279534,0.9985620539283782,0.9992691421562934,0.45502942464234974,1.0,1.0,743202.0693385133,460.48242274612124,5.640310769842915,39510.39936798184,0.0,0.0,0.9478040137115675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.267,238478.8469238142,0.857,0.9061999999999999,0.89,0.923,-0.0391,-0.04626796534807691,-0.0319320346519231,proposed_c2f,-0.0391,-0.04626796534807691,-0.0319320346519231,0.22127480856383808,0.13276488513830284,181474.17304913688,108884.50382948211
global_topk_deflection,0.3475,0.3382271172798632,0.35689000652585545,0.009331444622996121,0.3412974999999999,0.3537,0.006201250000000047,0.0,0.0,0.0,0.04948210922787194,0.04819396535960925,0.05080284531696423,0.0013044399786774907,0.04841488888888889,0.051059069444444445,0.001322090277777778,0.017516666666666666,0.017053363320486986,0.01799232657443868,0.000469481626975847,4685.44,1523.9472452811483,7.809066666666668,2.539912075468581,7.321,2.381167570751794,14.819,4.1869128245044696,0.3574,1.0,1060.738,0.4435757955184455,2.3003163391100543,1.0058307419906447,1.1603767751176637,0.9994779164507895,0.9968057785504265,0.9986580596155419,0.35257675896605334,1.0,1.0,1757464.7654243459,0.0,0.0,28123.025117630896,0.0,0.0,0.967002354281712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,584106.3486482268,0.317,0.34750000000000003,0.326,0.369,0.5196,0.5107961268110491,0.5284038731889508,proposed_c2f,0.5196,0.5107961268110491,0.5284038731889508,0.0741659267859582,0.04449955607157491,375090.65646435466,225054.39387861275
cost_aware_greedy,0.8722,0.8655129732821074,0.878601167829443,0.006544097273667782,0.8654000000000001,0.8790000000000001,0.006800000000000028,0.913,0.895,0.93,0.04922528451940217,0.04844613781649074,0.050016303382898704,0.0007850827832039803,0.04847140972222222,0.04997067691798941,0.0007496335978835963,0.04786666666666667,0.047108496323658974,0.04863641629748662,0.000763959986913823,0.0,0.0,0.0,0.0,0.0,0.0,14.335,4.148346055960134,1.0,1.0,1060.738,0.4435757955184455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,133369.9697367038,129.84620228595153,3.0174664661749104,8209.817607469471,0.0,0.0,0.9562062795954271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.132,11264.698252315553,0.784,0.8722,0.859,0.888,-0.0050999999999999995,-0.0067218033882780704,-0.0034781966117219286,proposed_c2f,-0.0050999999999999995,-0.0067218033882780704,-0.0034781966117219286,872200000000.0,872200000000.0,1.3336996973670379e+17,1.3336996973670379e+17
exact_marginal_greedy,0.8442,0.836959712454434,0.8511759333558714,0.007108110450718685,0.8368000000000002,0.8517,0.007449999999999901,0.904,0.885,0.9210249999999996,0.04905453172723841,0.04827624264969521,0.0498447109126947,0.0007842341314997434,0.04826913888888888,0.04984175925925925,0.000786310185185185,0.047646666666666664,0.04689016861147306,0.04841474964394704,0.0007622905162369895,4947.84,1805.961498592924,8.246400000000001,3.009935830988208,7.731,2.821814841551444,14.109,4.055258191533555,1.0,1.0,1060.738,0.4435757955184455,2.1316846637345224,0.8878604819546727,1.0193400489467657,0.9955003656816037,0.9731943740786291,0.9878344501387039,-0.293786502824269,1.0,1.0,80065.48466509924,81.81657486837126,2.2893910455993844,6275.362475210276,0.0,0.0,0.9563698389024042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.08,16602.22291627531,0.742,0.8442000000000001,0.828,0.862,0.0229,0.016918015489598565,0.028881984510401436,proposed_c2f,0.0229,0.016918015489598565,0.028881984510401436,0.17061990686845166,0.10237194412107099,16181.906582488366,9709.143949493018
