split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,self_fit_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,self_fit_state_error_m,nominal_h0,self_fit_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s
calibration,3,400.0,2.8758163257793203,385.95555305190385,-105.06336691920274,86.65268419923731,632.1771673992956,600.2188048254382,632.1771673992956,633.1974591889104,384.375,-103.125,384.375,-103.125,2.501082618255957,2.501082618255957,317.80278241431176,297.49354557267884,2.501082618255957,84.70739751429382,108.67095812773218,87.90063930268812,75.73387366607353,53.85333902083207,823.9161340000574
calibration,11,400.0,3.925659368165558,283.21905225408216,282.4658712841243,79.53391463848098,654.8485346453631,646.2978979996344,649.3127439552895,654.3196977106447,290.625,290.625,281.25,281.25,11.019049115849004,2.3141974329914348,330.74946774156626,309.2105827379679,6.666623274420219,83.21712084408396,108.17504747001132,85.66986911732339,90.2266117542601,75.89319096638616,823.9295780998655
calibration,19,400.0,0.026899452053499504,-399.85529262178,-10.758483273709672,75.0875372989207,13335.57225693536,13176.617442767456,13335.57225693536,13554.201767176255,-403.125,-9.375,-403.125,-9.375,3.550353828538892,3.550353828538892,5903.829565645943,7293.9797011000355,3.550353828538892,79.46325254539366,113.62818097834277,88.43061511930685,86.88057658985377,96.15321141505025,818.4610859998502
test,27,400.0,3.253052296094374,397.51792084004694,44.49160157834513,100.48324824596124,5992.344848266394,5864.065414904316,5992.344848266394,6077.168465418784,393.75,46.875,393.75,46.875,4.458454383887645,4.458454383887645,3087.996337001001,2819.3291275070014,4.458454383887645,76.75390194634902,112.59142894244386,70.10485309064853,72.53909857246197,77.03492137217229,823.4000290001277
test,35,400.0,4.019981545621667,255.35682411760203,307.88454390659507,72.81353111684047,240.62572036216847,183.42018955356951,239.29213811950424,240.1205488977438,253.125,318.75,243.75,300.0,11.092302511634832,14.031550117929722,138.44820326727142,92.58568795040563,12.561926314782276,78.3408011685464,114.97809157429496,78.44800533092467,70.39729617157437,94.60048006299235,825.6070348999929
calibration,3,550.0,2.8758163257793203,530.6888854463679,-144.46212951390376,70.81596672907924,340.07383617986966,260.3249168403146,340.07383617986966,633.1974591889104,450.0,-131.25,450.0,-131.25,81.76341847592505,81.76341847592505,135.85061765251055,123.95505978015711,81.76341847592505,73.50531497715498,101.6444867959073,106.22559592289336,76.3512990439823,53.85333902083207,818.1157583999448
calibration,11,550.0,3.925659368165558,389.42619684936295,388.39057301567095,75.02531845772211,646.5549372691976,651.0502690368169,647.5304666426358,654.3196977106272,393.75,384.375,384.375,384.375,5.900855898057803,6.452861090648002,323.32074831691415,303.08814865115954,6.176858494352903,70.22259142888163,109.7295654742378,99.66801215090166,90.17780013009153,75.89319096640372,821.9479647001717
calibration,19,550.0,0.026899452053499504,-549.8010273549475,-14.792914501350793,82.5631234090041,150.08650502511483,92.99872915634394,131.63247841505526,13554.201767176255,-450.0,0.0,-450.0,-46.875,100.89140389818769,104.83084122072859,42.92560719695348,63.88758851845783,102.86112255945814,102.78017212168109,113.41132676110212,94.10355501097486,82.45947188665514,96.15321141505025,815.8410875000991
test,27,550.0,3.253052296094374,546.5871411550645,61.17595217022456,84.46832230615729,331.9226099010094,204.627790982207,195.152204322099,6077.168465418784,412.5,37.5,431.25,103.125,136.16134596244615,122.72888308645224,166.28124089151794,122.2560976257099,129.4451145244492,81.41095733378665,102.27277908070926,72.97734906391945,76.77067050721553,77.03492137217229,820.8683227999136
test,35,550.0,4.019981545621667,351.1156331617028,423.3412478715682,85.74389587231511,242.18986092580752,170.47686327040606,237.2678762334529,240.1205488977438,356.25,440.625,346.875,421.875,18.03024709945141,4.486964723843052,135.7209261892692,89.37965570429022,11.258605911647232,101.10869906531534,110.17934281986163,80.94123721203911,76.30309408084833,94.60048006299235,817.937437399989
