trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,cov_rank_h1,min_ratio_h1,t_h0,thr_h0,det_h0,dof_h0,cov_rank_h0,min_ratio_h0
65,perfect_channel,7,9,5.000771464253888e-13,10.29602658730572,20.66856907571369,0,28,0,1.0,14.860467777657686,20.66856907571369,0,28,0,1.0
65,no_ic,7,9,5.000771464253888e-13,8.858188158884193,20.66856907571369,0,28,14,2.207985489100431,13.766740482838054,20.66856907571369,0,28,14,2.207985489100431
65,tp_uic_stage1,7,9,5.000771464253888e-13,8.583292333967968,20.66856907571369,0,28,28,1.0153867224446442,14.742327664861866,20.66856907571369,0,28,28,1.0153867224446442
66,perfect_channel,7,0,2.8434847273085963e-13,16.160320469917053,20.66856907571369,0,28,0,1.0,16.178052446107827,20.66856907571369,0,28,0,1.0
66,no_ic,7,0,2.8434847273085963e-13,11.114889867168326,20.66856907571369,0,28,14,4.309110841497807,14.869623074837147,20.66856907571369,0,28,14,4.309110841497807
66,tp_uic_stage1,7,0,2.8434847273085963e-13,12.63508451806195,20.66856907571369,0,28,28,1.104703931350265,18.827150644018026,20.66856907571369,0,28,28,1.104703931350265
67,perfect_channel,12,3,4.561949831733033e-13,13.283780090234796,20.66856907571369,0,28,0,1.0,8.356360332080529,20.66856907571369,0,28,0,1.0
67,no_ic,12,3,4.561949831733033e-13,13.427103889187258,20.66856907571369,0,28,14,17.364690966807014,11.305941799249728,20.66856907571369,0,28,14,17.364690966807014
67,tp_uic_stage1,12,3,4.561949831733033e-13,10.176424664120741,20.66856907571369,0,28,28,1.4322008864239564,11.498806961030148,20.66856907571369,0,28,28,1.4322008864239564
68,perfect_channel,12,4,3.720606696944096e-13,24.254103119943665,20.66856907571369,1,28,0,1.0,17.06237889255877,20.66856907571369,0,28,0,1.0
68,no_ic,12,4,3.720606696944096e-13,20.400022326923523,20.66856907571369,0,28,14,1.979207380074496,16.351059273166626,20.66856907571369,0,28,14,1.979207380074496
68,tp_uic_stage1,12,4,3.720606696944096e-13,21.646013003170484,20.66856907571369,1,28,28,1.0737456402887897,18.23725818008701,20.66856907571369,0,28,28,1.0737456402887897
69,perfect_channel,5,2,2.285238262320322e-13,13.920498943282585,20.66856907571369,0,28,0,1.0,10.940111688821734,20.66856907571369,0,28,0,1.0
69,no_ic,5,2,2.285238262320322e-13,14.500727954529232,20.66856907571369,0,28,14,38.41704755567852,10.653146072916611,20.66856907571369,0,28,14,38.41704755567852
69,tp_uic_stage1,5,2,2.285238262320322e-13,14.60783235701984,20.66856907571369,0,28,28,1.6516693967194758,10.36059227078913,20.66856907571369,0,28,28,1.6516693967194758
70,perfect_channel,3,3,3.581498061817073e-13,16.908012517885243,20.66856907571369,0,28,0,1.0,13.024802174598046,20.66856907571369,0,28,0,1.0
70,no_ic,3,3,3.581498061817073e-13,16.46451709986188,20.66856907571369,0,28,14,5.083417400092386,10.132602988966083,20.66856907571369,0,28,14,5.083417400092386
70,tp_uic_stage1,3,3,3.581498061817073e-13,16.592102369416843,20.66856907571369,0,28,28,1.443764802978685,13.223919397072937,20.66856907571369,0,28,28,1.443764802978685
71,perfect_channel,0,7,3.585341753844489e-13,27.076248124263195,20.66856907571369,1,28,0,1.0,10.772428682783753,20.66856907571369,0,28,0,1.0
71,no_ic,0,7,3.585341753844489e-13,22.089542850815935,20.66856907571369,1,28,14,28.621980971321033,10.605134840221677,20.66856907571369,0,28,14,28.621980971321033
71,tp_uic_stage1,0,7,3.585341753844489e-13,16.17812266589645,20.66856907571369,0,28,28,1.4510399298680476,11.319275391735957,20.66856907571369,0,28,28,1.4510399298680476
72,perfect_channel,1,7,6.161165807776937e-13,14.336131617209425,20.66856907571369,0,28,0,1.0,12.836226831324794,20.66856907571369,0,28,0,1.0
72,no_ic,1,7,6.161165807776937e-13,14.256983599548096,20.66856907571369,0,28,14,44.43741208481105,10.442032470699726,20.66856907571369,0,28,14,44.43741208481105
72,tp_uic_stage1,1,7,6.161165807776937e-13,8.569888961527662,20.66856907571369,0,28,28,1.9359150262412368,13.143884074049891,20.66856907571369,0,28,28,1.9359150262412368
73,perfect_channel,7,4,5.452876024740129e-13,6.152101123395916,20.66856907571369,0,28,0,1.0,16.88920294242234,20.66856907571369,0,28,0,1.0
73,no_ic,7,4,5.452876024740129e-13,5.115475494036324,20.66856907571369,0,28,14,3.491578185860874,15.315577591524978,20.66856907571369,0,28,14,3.491578185860874
