trial,arm,t_h1,threshold,detected,dof,rho_weighted,ncp_unit,ncp_best,kappa_db,eta_survive
17,fixed_kappa,12.98563327719335,20.66856907571369,0,28,1.0,4.450686581782146,1.0710026370512433,40.00000000000001,1.0
17,plain_ls,12.380532989987811,20.66856907571369,0,28,1.0,4.372391998804965,1.0391257132828193,29.440024431496795,0.9954911704799877
17,ridge_ls,12.380479171250819,20.66856907571369,0,28,1.0,4.372404149164225,1.0391300983978828,29.488540279213176,0.9954918004565265
17,protected_ls,12.633381040159678,20.66856907571369,0,28,1.0,4.166147497253226,0.9907125612466302,9.73088478730686,0.9951252490366215
17,tp_uic_stage1,12.635271268693646,20.66856907571369,0,28,1.0,4.166485472234919,0.9907880983081966,9.731705303885592,0.9951260343417689
17,tp_uic_full,12.609322454157164,20.66856907571369,0,28,1.0,4.416901691750493,1.0594363159307059,29.068484402882646,0.9996529113607724
17,perfect_channel,12.797702629992553,20.66856907571369,0,28,1.0,4.456598952158671,1.0736122069238365,inf,1.0
18,no_ic,16.11205137076891,20.66856907571369,0,28,1.0,10.957322983300925,3.4323740196638024,0.0,1.0
18,fixed_kappa,16.345907574981478,20.66856907571369,0,28,1.0,10.971540448503793,3.4333822360223127,40.00000000000003,1.0
18,plain_ls,16.132387614986,20.66856907571369,0,28,1.0,10.954252631214143,3.4318064488363635,41.9195875160409,0.9979456038833483
18,ridge_ls,16.12622371837236,20.66856907571369,0,28,1.0,10.955036302510639,3.431953196828048,42.16437529704497,0.998202121115096
18,protected_ls,16.85979156329274,20.66856907571369,0,28,1.0,10.73155784635513,3.4113457655896076,19.350675795151915,0.9998594718481119
18,tp_uic_stage1,16.8516871712857,20.66856907571369,0,28,1.0,10.731803384744069,3.411385553410385,19.351038673769267,0.9998600541155993
18,tp_uic_full,16.110623135497068,20.66856907571369,0,28,1.0,10.965900247292838,3.433207545725815,42.11239772047813,0.9994234182233025
18,perfect_channel,16.488389205929494,20.66856907571369,0,28,1.0,10.973244725653718,3.4334868309025035,inf,1.0
19,no_ic,9.83705787436671,20.66856907571369,0,28,1.0,3.606183065083479,1.1046522195926385,0.0,1.0
19,fixed_kappa,11.62738471350359,20.66856907571369,0,28,1.0,3.678463388361908,1.1082159748895442,40.000000000000014,1.0
19,plain_ls,9.953350280172728,20.66856907571369,0,28,1.0,3.604369610865103,1.104074599650533,35.504593747678754,0.9853075905295119
19,ridge_ls,9.953655594877375,20.66856907571369,0,28,1.0,3.604605160529469,1.1041784075850494,35.541961903214315,0.985475633213421
19,protected_ls,9.82128783378463,20.66856907571369,0,28,1.0,3.276675434047562,1.0794679215589793,12.010912824964215,0.9801103206092348
19,tp_uic_stage1,9.836939117196135,20.66856907571369,0,28,1.0,3.2775205020399314,1.0797452322656351,12.011263365977577,0.9814939645939282
19,tp_uic_full,10.132832441091475,20.66856907571369,0,28,1.0,3.672555413174783,1.1087191140411619,35.58507083188126,0.9881612387972559
19,perfect_channel,11.98244463036509,20.66856907571369,0,28,1.0,3.6885132218081074,1.1085676845352568,inf,1.0
20,no_ic,16.571691068875896,20.66856907571369,0,28,1.0,10.85756624207031,6.225786561640735,0.0,1.0
20,fixed_kappa,16.78453427046912,20.66856907571369,0,28,1.0,14.257696801236085,7.221345925971819,40.00000000000001,1.0
20,plain_ls,18.327082547096566,20.66856907571369,0,28,1.0,10.84371013374584,6.22446665005681,35.47224241626158,0.7389413230635353
20,ridge_ls,18.323418063792758,20.66856907571369,0,28,1.0,10.843800235822993,6.224469973864837,35.50341485999651,0.7389491065724023
20,protected_ls,16.454683787124456,20.66856907571369,0,28,1.0,9.252325107428007,5.2379814337194155,6.043254889622281,0.9578035598230089
20,tp_uic_stage1,16.445909599076288,20.66856907571369,0,28,1.0,9.257226887574115,5.239452875326142,6.044135101246971,0.9784689981752621
20,tp_uic_full,21.171508628662345,20.66856907571369,1,28,1.0,12.03891561908121,6.920452933529337,33.441381959520086,0.8521526856126853
20,perfect_channel,16.56826683194639,20.66856907571369,0,28,1.0,14.651774239713701,7.3649483090346015,inf,1.0
21,no_ic,11.929620668692488,20.66856907571369,0,28,1.0,15.622663967493589,6.832162104113789,0.0,1.0
21,fixed_kappa,12.090031242038988,20.66856907571369,0,28,1.0,15.823822231951583,7.020522529746582,39.99999999999999,1.0
21,plain_ls,11.92781480901584,20.66856907571369,0,28,1.0,15.62235084708325,6.831870027939735,40.19580503435404,0.964583706047218
21,ridge_ls,11.927817104475979,20.66856907571369,0,28,1.0,15.622351145457936,6.831870304504685,40.198604474468326,0.9645837509915852
21,protected_ls,10.770599724941748,20.66856907571369,0,28,1.0,11.095546396821748,3.2755401739659717,14.458756542275214,0.9301944795088543
21,tp_uic_stage1,10.77032720138699,20.66856907571369,0,28,1.0,11.09590197874253,3.275658728773535,14.458765048098046,0.9301945933063882
21,tp_uic_full,11.947818104514552,20.66856907571369,0,28,1.0,15.824401824705555,7.0205078717201115,40.17457356045612,0.9731156594745507
21,perfect_channel,12.140284024658458,20.66856907571369,0,28,1.0,15.85199097588223,7.046211469519677,inf,1.0
22,no_ic,20.18028240009334,20.66856907571369,0,28,1.0,9.207949664003586,3.4217599652605943,0.0,1.0
22,fixed_kappa,24.07051334238154,20.66856907571369,1,28,1.0,11.742208649717233,4.731617801381277,39.99999999999997,1.0
22,plain_ls,20.156305307989637,20.66856907571369,0,28,1.0,9.043166718507273,3.2665834071114794,39.84084266615005,0.995327597461131
22,ridge_ls,20.122126701188378,20.66856907571369,0,28,1.0,9.063481336475222,3.2858163768794473,39.74523872012454,0.995335091556562
22,protected_ls,22.344423107532492,20.66856907571369,1,28,1.0,7.247215964011344,2.1078440076135796,5.2367798552250715,0.9920550145509583
22,tp_uic_stage1,22.36803854161562,20.66856907571369,1,28,1.0,7.272000535241723,2.120072889307677,5.2370382800887825,0.9936284585134998
22,tp_uic_full,22.99100662350302,20.66856907571369,1,28,1.0,10.8138708869232,4.628063234190673,40.16688506962767,1.0108986759443457
22,perfect_channel,23.993705227057703,20.66856907571369,1,28,1.0,12.049447544169173,4.910392298987022,inf,1.0
23,no_ic,11.390722465554521,20.66856907571369,0,28,1.0,9.887217654455412,2.4067811534671013,0.0,1.0
23,fixed_kappa,10.10121480608825,20.66856907571369,0,28,1.0,10.38809704556894,2.493660677966637,39.99999999999998,1.0
23,plain_ls,11.431932785198725,20.66856907571369,0,28,1.0,9.884395588977922,2.4065877351254525,35.18028270839938,0.806717751561044
23,ridge_ls,11.43276391800892,20.66856907571369,0,28,1.0,9.884426800693278,2.406588859730607,35.221117419676574,0.8067222842050314
23,protected_ls,8.118012530607647,20.66856907571369,0,28,1.0,8.662667622791828,2.2906966689999226,7.743811510589948,0.8994532668471221
23,tp_uic_stage1,8.121083511199462,20.66856907571369,0,28,1.0,8.66435458783344,2.290707250583321,7.74398269617789,0.8994723345692341
23,tp_uic_full,12.28095778787242,20.66856907571369,0,28,1.0,10.325301412728578,2.497963864410751,34.5388277677521,0.8408752765118874
23,perfect_channel,10.139412336828654,20.66856907571369,0,28,1.0,10.442488506871753,2.51281966677229,inf,1.0
24,no_ic,21.045928909350017,20.66856907571369,1,28,1.0,8.867329965537184,2.4798901858869753,0.0,1.0
24,fixed_kappa,20.71278613305442,20.66856907571369,1,28,1.0,8.985792706185865,2.4885671537499787,40.000000000000014,1.0
24,plain_ls,21.56986421202151,20.66856907571369,1,28,1.0,8.858486391768523,2.478543733439707,43.015230739437264,0.9594295200991686
24,ridge_ls,21.51599318255159,20.66856907571369,1,28,1.0,8.859307135314621,2.4786697594339007,43.06274216360072,0.9599479754273508
24,protected_ls,19.663021515240168,20.66856907571369,0,28,1.0,8.346289566463735,2.450340600415824,12.374566339536388,0.9914165961646387
24,tp_uic_stage1,19.638905867133335,20.66856907571369,0,28,1.0,8.348389971822614,2.4506061389911014,12.375195887488967,0.9923312278748746
24,tp_uic_full,21.501293672627288,20.66856907571369,1,28,1.0,8.946443557391614,2.484980336941695,42.798370606677345,0.9685149225679923
24,perfect_channel,20.78155755196931,20.66856907571369,1,28,1.0,9.004415873749547,2.489078294313657,inf,1.0
25,no_ic,12.911923378513695,20.66856907571369,0,28,1.0,9.437751655738186,2.938945907770237,0.0,1.0
25,fixed_kappa,13.161781100571897,20.66856907571369,0,28,1.0,9.467177651836304,2.9448376539704473,40.00000000000001,1.0
25,plain_ls,12.922015084940785,20.66856907571369,0,28,1.0,9.43771130567495,2.938928861319604,40.798832359614565,0.9776672608886403
25,ridge_ls,12.921996612564634,20.66856907571369,0,28,1.0,9.437711381180092,2.938928904949179,40.799262409393336,0.9776673019540005
25,protected_ls,11.386639793610104,20.66856907571369,0,28,1.0,8.67492042653993,2.694527348666139,13.759060227837471,0.9870597256863957
25,tp_uic_stage1,11.386707684294038,20.66856907571369,0,28,1.0,8.675040344938244,2.694594123651284,13.759061264120582,0.9870597878240098
25,tp_uic_full,12.96808151903521,20.66856907571369,0,28,1.0,9.468441323826967,2.9460606493303594,41.00794478036497,0.9780591262776187
25,perfect_channel,13.409922817939343,20.66856907571369,0,28,1.0,9.478884595458672,2.946047495304678,inf,1.0
26,no_ic,13.085963811494793,20.66856907571369,0,28,1.0,5.931523464915525,1.7667858936005758,0.0,1.0
26,fixed_kappa,11.846605918263714,20.66856907571369,0,28,1.0,5.9578902660546325,1.7709185009967257,39.999999999999986,1.0
26,plain_ls,13.06845814020744,20.66856907571369,0,28,1.0,5.931469876287965,1.7667726027376063,35.225016222844346,0.9841786892626528
26,ridge_ls,13.068521954438323,20.66856907571369,0,28,1.0,5.931470045807082,1.7667726693419938,35.22854304891038,0.9841792730329486
26,protected_ls,12.965127162856007,20.66856907571369,0,28,1.0,5.545317184875835,1.692255670688644,15.689535754367315,0.9517439523534971
26,tp_uic_stage1,12.964020939473802,20.66856907571369,0,28,1.0,5.545362894117262,1.69228265003708,15.68960921216304,0.9517453001338431
26,tp_uic_full,13.264215175223825,20.66856907571369,0,28,1.0,5.949105959318978,1.7702764540960256,34.92391692531718,0.9922837002102357
26,perfect_channel,11.779765879689208,20.66856907571369,0,28,1.0,5.96259168589592,1.7714505393944515,inf,1.0
