model,method,P_D,P_D_ci95_low,P_D_ci95_high,D_mean,selected_links_mean,B_mean_bits,T_mean_ms,selected_chi_mean,selected_rate_mean_mbps,worst_target_satisfied_prob,actual_worst_target_P_D
coupled + guard fix,proposed_lagrangian,0.9481,,,25.10187907102537,14.899,9535.36,6.940672989058459,0.9103376927297658,2.9125515592399513,0.973,0.935
coupled + guard fix,topk_deflection,0.947,,,25.093096899694782,14.899,9535.36,7.415679031371132,0.9078465171491358,2.8875188920868933,0.972,0.937
coupled + guard fix,sense_sinr,0.8705,,,12.243545990802897,14.899,9535.36,15.429049646243858,0.8064790497680105,1.3390495938254323,0.756,0.858
coupled + guard fix,single_best,0.9385,,,26.783273614321846,10.0,6400.0,2.539048836050247,0.9466854307123626,3.5587064337823304,0.941,0.931
coupled + guard fix,nearest,0.3358,,,11.09758173728229,14.899,9535.36,2.372474204620645,0.9776244855601185,6.3441853190293305,0.25,0.318
coupled + guard fix,shortest_bistatic,0.8148,,,11.983355758471077,14.899,9535.36,13.424132007091917,0.8289901050551689,1.5622008724832799,0.69,0.788
coupled + guard fix,random,0.2853,,,1.6081820899343677,14.899,9535.36,16.92259929503981,0.7848384500956113,1.1617596047637146,0.117,0.274
coupled + guard fix,all_neighbor,0.9757,,,41.57199497503818,446.84,285977.6,688.4524788409291,0.7124086829540937,0.8131130425204697,0.973,0.966
"coupled, strict",proposed_lagrangian,0.6272,,,2563028.004264115,27.262,17447.68,2.4426980677335517,0.9998201750723086,8.41564356756687,0.586,0.613
"coupled, strict",topk_deflection,0.6264,,,2563028.0045778886,27.262,17447.68,2.4552775959499504,0.9998201750723086,8.41564356756687,0.586,0.612
"coupled, strict",sense_sinr,0.5313,,,2564092.843421254,27.262,17447.68,12.520748487361088,0.827431482873714,6.8688362202603646,0.479,0.502
"coupled, strict",single_best,0.604,,,2563027.7149721496,10.0,6400.0,0.9134851775244186,0.9999715663315658,8.440495623735309,0.56,0.583
"coupled, strict",nearest,0.2963,,,2503292.41656014,27.262,17447.68,9.504298197142205,0.834721037775997,6.92045376200186,0.198,0.267
"coupled, strict",shortest_bistatic,0.4728,,,2517798.8199810474,27.262,17447.68,11.798333330941322,0.8312538966324424,6.870264419787443,0.402,0.451
"coupled, strict",random,0.2598,,,167402.70090981058,27.262,17447.68,11.47305318175134,0.8259902149992228,6.867373358644082,0.164,0.243
"coupled, strict",all_neighbor,0.6467,,,2608389.963721306,135.705,86851.2,89.17342755708052,0.8259902149992228,6.867373358644082,0.589,0.628
