condition,trial,seed,pd_before,pd_after,pfa_before,pfa_after,reports_before,reports_after,report_lower_bound,already_at_count_bound,changed_targets,candidate_pd_evaluations,min_predicted_pd_change,fine_evaluations_before,fine_evaluations_after
nominal,69,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,5,5,5,1,0,0,0.0,73.0,73.0
nominal,70,2026,1.0,1.0,0.03333333333333333,0.03333333333333333,1,1,1,1,0,0,0.0,67.0,67.0
nominal,71,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,57.0,57.0
nominal,72,2026,1.0,1.0,0.09,0.09,0,0,0,1,0,0,0.0,58.0,58.0
nominal,73,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,74,2026,0.9,0.9,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,75,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,57.0,57.0
nominal,76,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,55.0,55.0
nominal,77,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,3,3,3,1,0,0,0.0,75.0,75.0
nominal,78,2026,0.9,0.9,0.056666666666666664,0.056666666666666664,0,0,0,1,0,0,0.0,55.0,55.0
nominal,79,2026,1.0,1.0,0.043333333333333335,0.043333333333333335,1,0,0,0,1,1,0.0,56.0,56.0
nominal,80,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,81,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,56.0,56.0
nominal,82,2026,0.9,0.9,0.02666666666666667,0.02666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,83,2026,1.0,1.0,0.06333333333333334,0.06333333333333334,0,0,0,1,0,0,0.0,55.0,55.0
nominal,84,2026,1.0,1.0,0.04,0.04,0,0,0,1,0,0,0.0,59.0,59.0
nominal,85,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,66.0,66.0
