receiver,illuminator,target,rho,trial,m_rx,axis
0,6,9,0.09412229810370043,0,8,0
0,7,0,0.799823721501026,0,8,0
0,7,1,0.984199802548155,0,8,0
0,7,2,0.7477293926407957,0,8,0
0,7,3,0.5576563530482563,0,8,0
0,7,4,0.7989618866910406,0,8,0
0,7,5,0.9848306907716193,0,8,0
0,7,6,0.9812153451614058,0,8,0
0,7,7,0.8594944069307998,0,8,0
0,7,8,0.5628816896635291,0,8,0
0,7,9,0.9748461107233939,0,8,0
0,8,0,0.9648746585200605,0,8,0
0,8,1,0.9835355984871377,0,8,0
0,8,2,0.849268423872709,0,8,0
0,8,3,0.3370459395526376,0,8,0
0,8,4,0.6239519976082277,0,8,0
0,8,5,0.9958353485892526,0,8,0
0,8,6,0.9825351532760074,0,8,0
0,8,7,0.9211284615410963,0,8,0
0,8,8,0.3133975121063972,0,8,0
0,8,9,0.9273213646816605,0,8,0
0,9,0,0.8824536236385437,0,8,0
0,9,1,0.9837807732311664,0,8,0
0,9,2,0.9287378509294828,0,8,0
0,9,3,0.913082753681801,0,8,0
0,9,4,0.029101229580854593,0,8,0
0,9,5,0.9709612681357008,0,8,0
0,9,6,0.9912030871808036,0,8,0
0,9,7,0.9974772674677935,0,8,0
0,9,8,0.3065324114270631,0,8,0
0,9,9,0.7016483756377505,0,8,0
0,10,0,0.9139989140690117,0,8,0
0,10,1,0.9745461111141087,0,8,0
0,10,2,0.9111614431818081,0,8,0
0,10,3,0.5346237687150889,0,8,0
0,10,4,0.1757840520523859,0,8,0
0,10,5,0.9787413178669075,0,8,0
0,10,6,0.9827261216665563,0,8,0
0,10,7,0.9906469708128807,0,8,0
0,10,8,0.34742302597993135,0,8,0
0,10,9,0.011287266731936363,0,8,0
0,11,0,0.7934567848346492,0,8,0
0,11,1,0.9667609604034108,0,8,0
0,11,2,0.8726595910717004,0,8,0
0,11,3,0.3104066444940057,0,8,0
0,11,4,0.04588214587138084,0,8,0
0,11,5,0.9810673898112918,0,8,0
0,11,6,0.9769880905421882,0,8,0
0,11,7,0.9876927533672554,0,8,0
0,11,8,0.3645501237733251,0,8,0
0,11,9,0.9873041424494634,0,8,0
0,12,0,0.8596953323590832,0,8,0
0,12,1,0.9811572843815813,0,8,0
0,12,2,0.9391783512935512,0,8,0
0,12,3,0.3016326926705597,0,8,0
0,12,4,0.1768807178302012,0,8,0
0,12,5,0.9870924042034034,0,8,0
0,12,6,0.9694204941183947,0,8,0
0,12,7,0.9962736029170896,0,8,0
0,12,8,0.8430675238796248,0,8,0
0,12,9,0.32255406793583374,0,8,0
0,13,0,0.8487138933679022,0,8,0
0,13,1,0.9288193589301103,0,8,0
0,13,2,0.7675283662197778,0,8,0
0,13,3,0.45600825985916593,0,8,0
0,13,4,0.22589316558597528,0,8,0
0,13,5,0.9472278524950191,0,8,0
0,13,6,0.9676963322734324,0,8,0
0,13,7,0.987171035991159,0,8,0
0,13,8,0.32575132378129545,0,8,0
0,13,9,0.886729019113444,0,8,0
0,14,0,0.8053708309960119,0,8,0
0,14,1,0.9656238515571861,0,8,0
0,14,2,0.9142519696677232,0,8,0
0,14,3,0.51417056473896,0,8,0
0,14,4,0.8755669290177943,0,8,0
0,14,5,0.9861542812605899,0,8,0
0,14,6,0.9369787508877618,0,8,0
0,14,7,0.9706236468089052,0,8,0
0,14,8,0.8683396530582643,0,8,0
0,14,9,0.955407839430598,0,8,0
1,0,0,0.9607879789685921,0,8,0
1,0,1,0.8531036110602959,0,8,0
1,0,2,0.9081605462533932,0,8,0
1,0,3,0.8788776727912453,0,8,0
1,0,4,0.09174386634580967,0,8,0
1,0,5,0.9820288615684714,0,8,0
1,0,6,0.2445210909194575,0,8,0
1,0,7,0.9776078960952695,0,8,0
1,0,8,0.8851423298594758,0,8,0
1,0,9,0.07133401182991539,0,8,0
1,2,0,0.9786032350995589,0,8,0
1,2,1,0.6839199875396885,0,8,0
1,2,2,0.8101064313292117,0,8,0
1,2,3,0.9795595923671138,0,8,0
1,2,4,0.004485220182760097,0,8,0
1,2,5,0.9644878779918166,0,8,0
1,2,6,0.16082887697589732,0,8,0
1,2,7,0.9921980111364538,0,8,0
1,2,8,0.7554068207761692,0,8,0
1,2,9,0.0024842861002271066,0,8,0
1,3,0,0.9372615978050916,0,8,0
1,3,1,0.02523686775036249,0,8,0
1,3,2,0.8654209610268216,0,8,0
