trial,m_rx,axis,target,n_links,n_receivers,rho_mean,rho_p10,rho_p50,rho_p90,spread_p90_p10,rho_min,rho_max,spread_receiver_level,spearman_rho_sinr,top1,medrank1,headroom1,top2,medrank2,headroom2,top3,medrank3,headroom3,headroom_vs_mean1
0,4,1,3,210,15,0.8157055732852605,0.6016244992327278,0.8961737932325292,0.9867405077561738,0.3851160085234461,0.0,0.9987375149095602,0.2746171800756537,-0.06356153200752851,0.9987375149095602,0.8950860419841842,0.10365147292537602,0.9981516557498453,0.8961737932325292,0.10197786251731611,0.9979521474730874,0.8954968756078098,0.10245527186527759,0.1830319416242997
0,4,1,4,210,15,0.4626460255731698,0.019546227567398163,0.44838647837671386,0.9202455598572307,0.9006993322898325,0.0,1.0,0.7776031220256926,0.14646201889903562,1.0,0.42118201596643734,0.5788179840335627,1.0,0.44838647837671386,0.5516135216232861,1.0,0.4338023891002379,0.5661976108997622,0.5373539744268302
0,4,1,5,210,15,0.577783758755704,0.08320613785737963,0.6787346014808211,0.9260556276075781,0.8428494897501985,0.0,0.98727203485373,0.5922215079808598,-0.23464412863265444,0.98727203485373,0.6752216830103668,0.31205035184336327,0.9870657927549402,0.6787346014808211,0.3083311912741191,0.9851102862890763,0.677002159576654,0.30810812671242227,0.40948827609802607
0,4,1,6,210,15,0.624454726657053,0.12334325741780094,0.7340212912436547,0.940028068522723,0.8166848111049221,0.0,1.0,0.6268946337264152,-0.14133200299326515,1.0,0.7340078976668729,0.2659921023331271,1.0,0.7340212912436547,0.26597870875634533,1.0,0.7329564306822675,0.26704356931773254,0.37554527334294696
0,4,1,7,210,15,0.8249617677071864,0.483770606169379,0.9244814687843346,0.9946479321245438,0.5108773259551649,0.0,1.0,0.17360761032474425,0.00787902543951434,1.0,0.9237214093271314,0.07627859067286857,1.0,0.9244814687843346,0.07551853121566543,1.0,0.9241229795612768,0.07587702043872324,0.17503823229281357
0,4,1,8,210,15,0.6969540339154091,0.327024761028233,0.7352363038588074,0.9363830947600112,0.6093583337317783,0.0,0.9782745828365915,0.3345217973213255,-0.15844285422733914,0.9782745828365915,0.7352228282614025,0.24305175457518902,0.9747292880775091,0.7352363038588074,0.2394929842187017,0.9722932965118963,0.7349858811514736,0.23730741536042277,0.2813205489211824
0,4,1,9,210,15,0.6126910860201947,0.051692591091098965,0.7609275803591176,0.99239211126874,0.9406995201776411,0.0,1.0,0.7383697322223827,-0.11453126569115593,1.0,0.759245744006088,0.24075425599391198,1.0,0.7609275803591176,0.23907241964088244,1.0,0.7599351960912949,0.2400648039087051,0.38730891397980527
0,8,0,0,210,15,0.7749991719193439,0.306726980090823,0.8854989673592417,0.9884993405149666,0.6817723604241436,0.050606427444079616,1.0,0.3099261925391794,0.1637426180703806,1.0,0.8850115779108381,0.11498842208916193,1.0,0.8854989673592417,0.11450103264075828,1.0,0.8846268297118215,0.1153731702881785,0.22500082808065613
0,8,0,1,210,15,0.7811137962437115,0.3803648445713944,0.9179287593270689,0.9904496937200187,0.6100848491486243,0.004333338553157207,0.9992933937742524,0.4738462618869712,-0.4092992066551558,0.9992933937742524,0.9167858880749158,0.08250750569933663,0.9992262175486446,0.9179287593270689,0.08129745822157575,0.9989879178003181,0.9168022907161523,0.08218562708416588,0.21817959753054095
0,8,0,2,210,15,0.714594421636625,0.12258496235235022,0.8664725817564132,0.9797408086898596,0.8571558463375093,0.0,0.9968421693041583,0.5648162281597093,0.2580188083306068,0.9968421693041583,0.8654209610268216,0.1314212082773366,0.9968042727801084,0.8664725817564132,0.13033169102369524,0.9967609953079819,0.8651589788189407,0.13160201648904124,0.28224774766753324
