scene,boost_db,pilot_fraction,pilot_rows,sensing_rows,pilot_direct_fraction,oracle_pilot_direct_fraction,self_fit_direct_fraction,posterior_trace,coefficient_error_trace,sensing_target_energy_fraction,output_residual_power,h1_statistic,h0_statistic,oracle_h1_statistic,oracle_h0_statistic
3,10.0,0.25,4096,12288,0.0005107306110884058,1.1313367170866718e-06,0.0007623340500745092,0.06502819752602099,5.924079344780982e-12,0.538491796484664,4.793501418370477e-10,6.2205413355858425,8.928139441917747,6.164193780386327,8.994578380494628
3,10.0,0.5,8192,8192,0.00031274061170975787,4.4095382315136387e-07,0.0006573305802194722,0.026610374342168015,2.309586943363414e-12,0.459712402990446,3.1616827693899834e-10,4.3269814088776855,11.805472302006358,4.318811604331727,11.778612354941558
3,30.0,0.125,2048,14336,1.178743849426423e-05,1.3506753001939638e-06,0.0007471134897094309,0.0028079382029107835,3.083391122467141e-11,0.736878126237174,5.680536329913298e-10,6.359025776920307,9.971503663335787,6.25874095020676,9.871540478668361
3,30.0,0.25,4096,12288,5.448330892288967e-06,6.684155388141287e-07,0.0007260613052696462,0.0006605790264592583,6.017137193000121e-12,0.538491796484664,4.798916353435778e-10,6.241003377971092,8.959571128575906,6.166712787988897,8.999122341844291
3,30.0,0.5,8192,8192,3.825699287248299e-06,3.1099599886162225e-07,0.0006239114797394046,0.0002678442810055318,2.3312754189233017e-12,0.459712402990446,3.1707754636415166e-10,4.387380388385393,11.896895244202664,4.314210001190059,11.80108275445087
3,50.0,0.125,2048,14336,1.4098464343567687e-06,1.3462424755175447e-06,0.0007468596653882262,2.8098743798881794e-05,3.085401471273357e-11,0.736878126237174,7.712083426977885e-10,7.189755379121249,10.756317557626442,6.273892920632871,9.868214215213637
3,50.0,0.25,4096,12288,6.865564608173258e-07,6.727880096568185e-07,0.0007256794118103131,6.607433339476361e-06,6.020097377611322e-12,0.538491796484664,5.651655942771954e-10,6.724872911371544,9.58981420150067,6.1719114021773605,8.995392626611391
3,50.0,0.5,8192,8192,3.921187626868176e-07,3.1567683219543e-07,0.000623525878747268,2.678771558708402e-06,2.3324871945725605e-12,0.459712402990446,3.559885837803635e-10,5.496728053256467,13.334383029619561,4.31640024474197,11.827705156475867
4,10.0,0.125,2048,14336,0.003271817711889512,0.0003416642037247345,0.001154135451226607,1.83620144251508,5.0424152159854286e-11,0.9086381757335262,5.630395932743243e-10,8.40855270442189,6.752556650926597,9.059280873006289,6.137329700761692
4,10.0,0.25,4096,12288,0.002183742050717238,9.671864805297708e-05,0.0014658413333822353,0.944132355640174,2.3084848816527702e-11,0.8080114864046423,4.803835456871415e-10,7.098737129369809,6.877339508494218,8.054795820879686,4.85730981227965
4,10.0,0.5,8192,8192,0.0002764324892701812,3.5538937769815814e-06,0.0015076541856211187,0.1624789089052254,1.2254700246715187e-12,0.5702493650583282,3.168239256106729e-10,6.856558969399405,6.87277636544406,7.119877170199381,5.9228799296044325
4,30.0,0.125,2048,14336,5.81590181222016e-05,9.728371270720004e-08,0.0010681686287185564,0.03583777163154051,8.343322470264644e-11,0.9086381757335262,5.737834201706608e-10,8.467582477369138,7.099032953764974,9.1145927986966,6.314632279735035
4,30.0,0.25,4096,12288,2.4612827534432355e-05,1.382614686379212e-08,0.0013385333920082109,0.012731763787232338,2.886086034458644e-11,0.8080114864046423,4.812666905668429e-10,7.163283123606701,7.121502507144021,8.042493459566591,4.883132844890524
4,30.0,0.5,8192,8192,2.807845641195732e-06,2.5117284905971595e-09,0.0014268763417915626,0.001748180410091215,1.2820889257213974e-12,0.5702493650583282,3.1681219246353737e-10,6.928073060399851,6.934126283385993,7.104663290539509,5.939496952632124
4,50.0,0.125,2048,14336,5.626095208165807e-07,1.2408161207230023e-09,0.0010692036705587163,0.0003622425993905409,8.385609952336371e-11,0.9086381757335262,5.728278425529202e-10,8.468543562867445,7.313762981117297,9.057837272172968,6.3590936605605135
4,50.0,0.25,4096,12288,2.3195196263407574e-07,3.4372688432046903e-09,0.0013385432827906485,0.00012777488339913595,2.8878658578946556e-11,0.8080114864046423,4.808532701147084e-10,7.256863274934007,7.315711090259348,7.963840421011502,4.865762758633779
4,50.0,0.5,8192,8192,2.5018120028829496e-08,2.1632126714976412e-09,0.001430383976498389,1.750771745543471e-05,1.2833652071752749e-12,0.5702493650583282,3.1673801008081277e-10,7.072068447698097,7.0846194946194485,7.036591572030789,5.975595246550822
5,10.0,0.125,2048,14336,0.030443612313143652,0.006170830424465244,0.002844641648442802,0.7777273228405849,2.817092493342201e-10,0.8518230689219658,7.232898783659791e-10,42.34597721834529,12.893795217113471,42.69413829565659,12.168008748078428
5,10.0,0.25,4096,12288,0.0010851423552606478,5.832611614825589e-05,0.0030043595915310423,0.08745960037657155,2.530256867271921e-12,0.8083132762284182,4.776023089863281e-10,45.440844809646606,14.708279607344345,47.402178705174904,15.49889136661084
5,10.0,0.5,8192,8192,0.0006326441432863524,3.9473209310815086e-05,0.004188436277141736,0.02249239787403599,4.62744918925673e-13,0.42468111433797445,3.180992655709381e-10,34.192034214711725,11.409955043536272,35.11116762463915,8.428608863068296
5,30.0,0.125,2048,14336,0.00010238085117827109,0.0004576307534753843,0.00243818253689747,0.015464335278449957,6.517620022195064e-10,0.8518230689219658,6.097073439915593e-10,66.23179254096836,42.462224689302104,44.66476384721747,12.138251738862811
5,30.0,0.25,4096,12288,5.796715389462506e-05,5.915604337437526e-05,0.002555582621951589,0.0009144356903501697,2.606277408127876e-12,0.8083132762284182,5.022761015306322e-10,74.80531507142221,33.68406057035658,50.69973291817028,15.628823945128012
