family,area_side_m,rcs_m2,report_budget,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms
baseline_4km,4000.0,0.2,0,robust,0.17199999999999996,0.047833333333333325,0.0,60.0,10.0,0.9976666666666667,0.0,0.0
baseline_4km,4000.0,0.2,8,v1,0.20200000000000004,0.048366666666666676,7.71,52.85,10.0,0.9967919191919192,4934.4,8.223999999999998
baseline_4km,4000.0,0.2,8,joint,0.20300000000000007,0.048200000000000014,7.66,52.55,10.0,0.9968424472690429,4902.4,8.170666666666666
baseline_4km,4000.0,0.2,8,balanced,0.20900000000000002,0.048066666666666674,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
baseline_4km,4000.0,0.2,8,robust,0.19600000000000006,0.04756666666666667,7.42,50.8,10.0,0.996532270069112,4748.8,7.914666666666665
baseline_4km,4000.0,1.0,0,v1,0.43399999999999994,0.04739999999999999,0.0,51.18,10.0,0.9978439807158526,0.0,0.0
baseline_4km,4000.0,1.0,0,joint,0.43399999999999994,0.04756666666666666,0.0,50.33,10.0,0.9978265894115048,0.0,0.0
baseline_4km,4000.0,1.0,0,balanced,0.4429999999999999,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
baseline_4km,4000.0,1.0,0,robust,0.4469999999999999,0.04789999999999999,0.0,59.0,10.0,0.9976666666666667,0.0,0.0
baseline_4km,4000.0,1.0,8,v1,0.4709999999999999,0.04936666666666666,7.91,49.79,10.0,0.9978217584936304,5062.4,8.437333333333333
baseline_4km,4000.0,1.0,8,joint,0.477,0.049499999999999995,7.85,49.53,10.0,0.9978000782768283,5024.0,8.373333333333333
baseline_4km,4000.0,1.0,8,balanced,0.482,0.04806666666666667,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
baseline_4km,4000.0,1.0,8,robust,0.49499999999999994,0.04803333333333334,7.92,56.36,10.0,0.9972121212121212,5068.8,8.447999999999997
baseline_4km,4000.0,5.0,0,v1,0.7689999999999999,0.04796666666666666,0.0,33.9,10.0,0.999031746031746,0.0,0.0
baseline_4km,4000.0,5.0,0,joint,0.772,0.04789999999999999,0.0,33.41,10.0,0.999031746031746,0.0,0.0
baseline_4km,4000.0,5.0,0,balanced,0.797,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
baseline_4km,4000.0,5.0,0,robust,0.7949999999999998,0.046799999999999994,0.0,47.51,10.0,0.998464472511806,0.0,0.0
baseline_4km,4000.0,5.0,8,v1,0.801,0.05029999999999999,6.43,33.12,10.0,0.9990000000000001,4115.2,6.858666666666667
baseline_4km,4000.0,5.0,8,joint,0.801,0.04950000000000001,6.31,33.05,10.0,0.9990202517788725,4038.4,6.730666666666667
baseline_4km,4000.0,5.0,8,balanced,0.8050000000000002,0.04806666666666667,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
baseline_4km,4000.0,5.0,8,robust,0.824,0.04843333333333332,7.89,46.81,10.0,0.9988333333333332,5049.6,8.415999999999999
baseline_4km,4000.0,20.0,0,v1,0.94,0.04749999999999998,0.0,17.5,10.0,0.997211111111111,0.0,0.0
baseline_4km,4000.0,20.0,0,joint,0.9380000000000002,0.04736666666666666,0.0,17.19,10.0,0.997211111111111,0.0,0.0
baseline_4km,4000.0,20.0,0,balanced,0.9690000000000001,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
baseline_4km,4000.0,20.0,0,robust,0.966,0.04783333333333334,0.0,24.49,10.0,0.998569264069264,0.0,0.0
baseline_4km,4000.0,20.0,8,v1,0.9470000000000001,0.04813333333333333,2.49,16.78,10.0,0.9971944444444444,1593.6,2.6559999999999997
baseline_4km,4000.0,20.0,8,joint,0.9450000000000002,0.048166666666666656,2.31,16.76,10.0,0.9971944444444444,1478.4,2.464
baseline_4km,4000.0,20.0,8,balanced,0.9690000000000001,0.04806666666666667,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
baseline_4km,4000.0,20.0,8,robust,0.9730000000000001,0.048966666666666665,4.37,23.44,10.0,0.998489898989899,2796.8,4.661333333333334
baseline_4km,4000.0,50.0,0,v1,0.9810000000000001,0.04819999999999999,0.0,12.64,10.0,0.9975641025641024,0.0,0.0
baseline_4km,4000.0,50.0,0,joint,0.98,0.04816666666666666,0.0,12.51,10.0,0.9975641025641024,0.0,0.0
baseline_4km,4000.0,50.0,0,balanced,0.9930000000000001,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
baseline_4km,4000.0,50.0,0,robust,0.9840000000000001,0.0471,0.0,15.09,10.0,0.9968194444444444,0.0,0.0
baseline_4km,4000.0,50.0,8,v1,0.98,0.0483,0.85,12.42,10.0,0.9975641025641024,544.0,0.9066666666666667
baseline_4km,4000.0,50.0,8,joint,0.9810000000000001,0.04826666666666667,0.78,12.39,10.0,0.9975641025641024,499.2,0.8320000000000002
baseline_4km,4000.0,50.0,8,balanced,0.9940000000000001,0.04806666666666667,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
baseline_4km,4000.0,50.0,8,robust,0.9840000000000001,0.04776666666666667,1.64,14.51,10.0,0.9967867647058825,1049.6,1.7493333333333334
distance_axis,600.0,0.2,8,v1,0.7020000000000001,0.048866666666666676,6.75,34.36,10.0,0.9816490220330659,4320.0,7.2
distance_axis,800.0,0.2,8,v1,0.6880000000000002,0.050133333333333335,7.05,35.86,10.0,0.9844939618247718,4512.0,7.52
distance_axis,1000.0,0.2,8,v1,0.6599999999999998,0.049733333333333324,7.19,38.25,10.0,0.9882090005640124,4601.6,7.6693333333333324
distance_axis,1500.0,0.2,8,v1,0.5760000000000001,0.05083333333333333,7.75,45.2,10.0,0.9935145508296043,4960.0,8.266666666666666
distance_axis,2000.0,0.2,8,v1,0.46699999999999997,0.0501,7.9,50.12,10.0,0.9930840478203308,5056.0,8.426666666666666
distance_axis,3000.0,0.2,8,v1,0.29699999999999993,0.048933333333333336,7.89,53.47,10.0,0.9971000908081931,5049.6,8.415999999999999
distance_axis,4000.0,0.2,8,v1,0.20200000000000004,0.048366666666666676,7.71,52.85,10.0,0.9967919191919192,4934.4,8.223999999999998
