trial,area_m,rcs_m2,kappa_db,sense_sinr_db,residual_over_echo_db,residual_over_n0_db,echo_over_n0_db
4,4000.0,50.0,45.0,-7.468001701028271,1.9036168951134882,-4.238870682509709,-5.793260746175825
4,4000.0,50.0,50.0,-7.036613440524842,0.8142525249461162,-5.265635888810768,-5.793260746175825
4,4000.0,50.0,55.0,-6.876091226102715,0.3383889847603508,-5.648295746177126,-5.793260746175825
4,4000.0,50.0,60.0,-6.836706976755462,0.07888178657669691,-5.776673403200622,-5.793260746175825
4,4000.0,50.0,70.0,-6.800432540765428,-0.034133789797193295,-5.831246801782388,-5.793260746175825
4,4000.0,50.0,80.0,-6.799713884101309,-0.04367818298553906,-5.836742049331067,-5.793260746175825
5,4000.0,50.0,0.0,-37.80406248261072,37.80303703144747,33.888363179299546,-4.089466015460966
5,4000.0,50.0,10.0,-27.82264448966648,27.805457849356777,23.892524652540178,-4.089466015460966
5,4000.0,50.0,20.0,-18.059794743955,17.85351817963452,13.933921527864431,-4.089466015460965
5,4000.0,50.0,30.0,-9.900411238542032,8.303837759212199,4.327535087377471,-4.089466015460966
5,4000.0,50.0,40.0,-6.107279477566689,1.3375541148629817,-2.9622540132893436,-4.089466015460966
5,4000.0,50.0,45.0,-5.479888421474782,-0.3617409647461418,-4.708482361771301,-4.089466015460966
5,4000.0,50.0,50.0,-5.189935110234249,-1.2190367490248863,-5.447697194862791,-4.089466015460966
5,4000.0,50.0,55.0,-5.147955723181638,-1.5766643575923989,-5.710312570839457,-4.089466015460966
5,4000.0,50.0,60.0,-5.109553859434907,-1.679356792984969,-5.79677612622276,-4.089466015460966
5,4000.0,50.0,70.0,-5.0972139093289695,-1.7411565815187349,-5.833278265403832,-4.089466015460966
5,4000.0,50.0,80.0,-5.095976787700897,-1.74709830876313,-5.836945410098958,-4.089466015460966
