trial,arm,p_d,p_fa,n_selected,n_captured,belief_capture_rate
12,robust_links12,1.0,0.08888888888888889,36,31,0.8611111111111112
13,baseline,0.0,0.1,17,16,0.9411764705882353
13,links12,0.3333333333333333,0.06666666666666667,20,19,0.95
13,links9,0.3333333333333333,0.06666666666666667,20,19,0.95
13,links3,0.0,0.06666666666666667,9,8,0.8888888888888888
13,robust,0.0,0.13333333333333333,16,16,1.0
13,robust_links12,0.0,0.13333333333333333,16,16,1.0
14,baseline,0.3333333333333333,0.08333333333333333,13,12,0.9230769230769231
14,links12,0.3333333333333333,0.08333333333333333,21,20,0.9523809523809523
14,links9,0.3333333333333333,0.05,18,17,0.9444444444444444
14,links3,0.6666666666666666,0.11666666666666667,7,6,0.8571428571428571
14,robust,0.3333333333333333,0.044444444444444446,18,16,0.8888888888888888
14,robust_links12,0.3333333333333333,0.05555555555555555,26,22,0.8461538461538461
15,baseline,1.0,0.044444444444444446,18,18,1.0
15,links12,1.0,0.03333333333333333,22,22,1.0
15,links9,1.0,0.03333333333333333,22,22,1.0
15,links3,0.3333333333333333,0.05555555555555555,9,9,1.0
15,robust,0.6666666666666666,0.03333333333333333,17,17,1.0
15,robust_links12,0.6666666666666666,0.03333333333333333,19,19,1.0
16,baseline,0.3333333333333333,0.05555555555555555,18,18,1.0
16,links12,0.3333333333333333,0.05555555555555555,19,19,1.0
16,links9,0.3333333333333333,0.05555555555555555,19,19,1.0
16,links3,0.3333333333333333,0.05555555555555555,9,9,1.0
16,robust,0.3333333333333333,0.06666666666666667,17,17,1.0
16,robust_links12,0.3333333333333333,0.06666666666666667,17,17,1.0
17,baseline,0.6666666666666666,0.044444444444444446,17,17,1.0
17,links12,0.6666666666666666,0.044444444444444446,25,25,1.0
17,links9,0.6666666666666666,0.044444444444444446,22,22,1.0
17,links3,0.6666666666666666,0.044444444444444446,9,9,1.0
17,robust,0.6666666666666666,0.044444444444444446,18,18,1.0
17,robust_links12,0.6666666666666666,0.05555555555555555,26,26,1.0
18,baseline,0.3333333333333333,0.05555555555555555,15,15,1.0
18,links12,0.3333333333333333,0.044444444444444446,20,20,1.0
18,links9,0.3333333333333333,0.05555555555555555,18,18,1.0
18,links3,0.0,0.044444444444444446,9,9,1.0
18,robust,1.0,0.1,17,17,1.0
18,robust_links12,1.0,0.1,22,22,1.0
19,baseline,1.0,0.07777777777777778,13,11,0.8461538461538461
19,links12,1.0,0.05555555555555555,25,23,0.92
19,links9,1.0,0.06666666666666667,19,17,0.8947368421052632
19,links3,1.0,0.12222222222222222,7,5,0.7142857142857143
19,robust,1.0,0.07777777777777778,18,16,0.8888888888888888
19,robust_links12,1.0,0.06666666666666667,29,27,0.9310344827586207
