rcs_m2,trial,method,pd,pfa,reports,observations,seconds,objective,rho_vector,table_builds,fine_entry_updates,unique_refined_entries,full_entries,coarse_power_checks,fine_power_checks
0.05,24,cached_serial,0.6,0.03666666666666667,6,26,13.020821899990551,-1.477154551432065,"[0.8, 0.2, 0.2, 0.5, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.8, 0.95, 0.8, 0.95]",94,197931,2100,2100,0,0
0.05,24,integrated_c2f,0.4,0.05,7,30,24.11726450000424,-1.4033874347567703,"[0.8, 0.2, 0.2, 0.5, 0.95, 0.95, 0.5, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.2]",94,5440,460,2100,90,56
0.05,25,integrated_c2f,0.7,0.06666666666666667,8,37,38.498491600039415,-0.38417737064037394,"[0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2]",94,6827,461,2100,90,60
0.05,25,cached_serial,0.8,0.09,8,40,20.783434199984185,-0.43709123172688547,"[0.2, 0.8, 0.2, 0.8, 0.2, 0.95, 0.5, 0.2, 0.2, 0.2, 0.2, 0.5, 0.95, 0.2, 0.5]",94,198286,2100,2100,0,0
0.05,26,cached_serial,0.3,0.03666666666666667,8,55,24.659121899981983,-2.842007387266239,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,198423,2100,2100,0,0
0.05,26,integrated_c2f,0.3,0.03333333333333333,8,55,44.911568099982105,-2.826505820398663,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,8510,501,2100,90,59
0.05,27,integrated_c2f,0.4,0.06333333333333334,8,41,34.47378320002463,-0.29749073350304384,"[0.2, 0.5, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.8, 0.8, 0.2, 0.5, 0.2, 0.2, 0.2]",94,7090,418,2100,90,58
0.05,27,cached_serial,0.4,0.03666666666666667,8,41,19.961999999941327,-0.31939338550508506,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95, 0.2, 0.2]",94,198288,2100,2100,0,0
0.1,0,cached_serial,0.6,0.05,4,35,17.980636599939317,0.6964622649172004,"[0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2]",91,198160,2100,2100,0,0
0.1,0,integrated_c2f,0.6,0.043333333333333335,7,35,28.21362329996191,0.938284766748801,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.95, 0.2]",94,6492,451,2100,90,59
0.05,28,cached_serial,0.8,0.03333333333333333,8,43,20.919178699958138,-0.6784794778606342,"[0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95, 0.8, 0.2, 0.8, 0.2, 0.95]",94,198232,2100,2100,0,0
0.05,28,integrated_c2f,0.6,0.043333333333333335,8,40,38.260713599971496,-0.7673375858312611,"[0.2, 0.2, 0.2, 0.5, 0.8, 0.5, 0.2, 0.2, 0.2, 0.95, 0.8, 0.2, 0.8, 0.95, 0.2]",94,6954,425,2100,90,60
0.05,29,integrated_c2f,0.3,0.05333333333333334,8,41,36.504354499978945,-0.9880576475122758,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2]",91,7186,462,2100,90,60
0.05,29,cached_serial,0.5,0.04,8,41,22.71694029995706,-1.1164098677121321,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2]",91,198142,2100,2100,0,0
0.1,2,cached_serial,0.8,0.07,7,22,13.257757800049148,4.546750405161372,"[0.2, 0.2, 0.95, 0.2, 0.8, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95]",91,198000,2100,2100,0,0
0.1,2,integrated_c2f,0.8,0.06666666666666667,6,25,26.529662400018424,4.509627090295427,"[0.2, 0.2, 0.95, 0.2, 0.5, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5, 0.95, 0.2, 0.8]",94,5576,408,2100,90,60
0.1,1,integrated_c2f,0.5,0.05333333333333334,8,41,31.267575100064278,0.4766300832030283,"[0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,7078,499,2100,90,60
0.1,1,cached_serial,0.5,0.043333333333333335,8,42,19.80521779996343,0.4433527675141879,"[0.95, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198200,2100,2100,0,0
0.1,4,cached_serial,0.7,0.05,8,31,17.80439559998922,1.1580885623714465,"[0.2, 0.5, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.2, 0.2]",94,198236,2100,2100,0,0
0.1,4,integrated_c2f,0.6,0.043333333333333335,8,34,31.959229000029154,1.2452594569438373,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.5, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2]",94,6583,428,2100,90,60
