split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,wls_map_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,state_gate_accepted_a,state_gate_accepted_b,raw_delta_a_x,raw_delta_a_y,raw_delta_b_x,raw_delta_b_y,wls_state_error_a_m,wls_state_error_b_m,nominal_h0,wls_map_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s,minimum_uav_separation_m
train,10,50.0,2.4824879909892297,39.527043061573806,-30.620464836584194,547.9686965726003,573.736888998712,691.6703428482683,700.7459606095756,703.1568057730375,37.5,-28.125,37.5,-28.125,3.2150036273856193,3.2150036273856193,338.71339319051583,357.68117319574793,True,True,37.5,-28.125,37.5,-28.125,45.376512142508965,43.49958489448453,68.16386181120603,69.10357359149333,91.4715978438526,68.16386181120603,70.02460837720389,528.6827614998911,76.75046244986429
train,11,50.0,3.925659368165558,35.40238153176027,35.30823391051554,513.8814120122586,562.1950252776467,618.658199962739,648.9953303071534,654.3196977106318,37.5,37.5,37.5,28.125,3.033783418326759,7.483238112707678,338.16078198252285,308.60557313967206,True,True,37.5,37.5,37.5,28.125,41.36429932205943,42.6171978060434,82.56474218995447,80.71217717540333,112.63654707970286,82.56474218995447,75.89319096637607,526.682684399886,95.56139436068753
train,12,50.0,0.14767599154953198,-49.455785146173056,-7.356990932138501,295.10598286837734,289.40457894486156,422.82434729073657,420.3790077725287,425.23254595241576,-56.25,-9.375,-46.875,0.0,7.087574767008381,7.796522785593306,205.1528376632882,215.34780505848352,True,True,-56.25,-9.375,-46.875,0.0,50.369748636242456,51.054801783016,79.95389936394386,77.87579600740276,76.63192340150556,79.95389936394386,99.81908777361804,523.5489181999583,86.4291022921228
train,13,50.0,1.6724835679360497,5.075604285579118,-49.741715301507355,1010.4724187224333,1061.5648520063437,1381.4908486337526,1402.177293857087,1412.0826988190456,0.0,-37.5,0.0,-37.5,13.252220658702768,13.252220658702768,821.117894813911,549.1944574905605,True,True,0.0,-37.5,0.0,-37.5,42.635013617891715,44.5452996537081,80.91084608657987,79.4050349729694,79.7756358616978,80.91084608657987,74.64945930430406,523.7380451001227,137.43591396018456
train,14,50.0,2.143024080563261,27.075312809338755,-42.03483598488825,126.14087658897883,126.96805598827791,113.8184002011512,126.14087658897883,156.43357874355885,0.0,0.0,0.0,0.0,49.99999999999999,49.99999999999999,86.12515890618911,63.0847352861131,False,False,18.75,-46.875,-112.5,-393.75,46.453910371583774,51.20321841905337,84.80735366899049,84.50742587608732,96.51099853657573,84.80735366899049,68.1839453494287,521.4175831000321,105.99054795031059
train,15,50.0,3.1054299523081235,49.96731003863341,-1.8077409944694693,376.49552418672494,400.50561069555016,556.6700606639863,566.7511634398563,565.2212826082678,46.875,0.0,46.875,0.0,3.581942053986693,3.581942053986693,234.5859541939529,309.317348315359,True,True,46.875,0.0,46.875,0.0,46.32082505393979,55.19449054681813,87.68018197907264,90.04983748839841,125.0922440959499,87.68018197907264,81.25168258918174,522.3212550999597,60.40751659342287
train,8,150.0,0.5424921441191919,-128.46370772737498,-77.44078897412908,76.63618993120198,89.4362239081965,80.92348348900288,76.63618993120198,96.91775569371467,0.0,0.0,0.0,0.0,150.00000000000006,150.00000000000006,49.01962936025885,41.83213120592854,False,False,-121.875,-159.375,18.75,-159.375,87.10358625870975,126.29644746075718,61.708060248906584,59.54142212331092,70.83356353397365,61.708060248906584,70.80615219977956,519.6632721999194,112.37699855179721
train,9,150.0,4.294526694678744,60.87113993560598,137.09377930066657,470.60789328107836,467.6978227666743,3628.5847906803315,3629.0962850055457,3706.202038940276,56.25,131.25,65.625,140.625,7.450147033404878,5.921883580351879,1801.8650122210054,1811.8439667126954,True,True,56.25,131.25,65.625,140.625,152.209431521442,146.58851197485325,88.74564366310665,89.3042604441572,89.10316732587523,88.74564366310665,69.66213543036864,519.6775679001585,70.67850737418478
train,10,150.0,2.4824879909892297,118.58112918472148,-91.86139450975259,106.98982648947123,112.20857021377368,697.443801519335,702.0560314827919,703.1568057730375,121.875,-93.75,121.875,-93.75,3.7968955273402356,3.7968955273402356,334.5950438979517,358.5435840627997,True,True,121.875,-93.75,121.875,-93.75,153.11253131836298,145.48663898014354,81.06306805739274,85.78543179790503,85.74470098821807,81.06306805739274,70.02460837720389,519.6711654998362,76.75046244986429
train,11,150.0,3.925659368165558,106.2071445952808,105.92470173154662,132.79477899248542,145.09593655369093,627.1432127097685,648.5503870441015,654.3196977106417,112.5,112.5,103.125,103.125,9.101350254980288,4.163885816379185,335.6796947327439,311.4073447843513,True,True,112.5,112.5,103.125,103.125,135.7408672368243,141.8857750667972,82.5123735564384,81.03041751946013,91.26642326617974,82.5123735564384,75.89319096638704,518.5701198000461,95.56139436068753
