split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,1,0.0,protected_ls,0.001750031314283978,2.076434332008082,1.0718556169377362,3.4914471417029636,10,0.9986775080858571,11.786321266064446,11.807047769822978,1.0124290573745518e-09,6.710153801067583e-11,6.678206196540647e-11,3.1947604526935303e-13,0.9999409157870723,0.9999751333806188,1.0,0.9997552474661239,0.9105809611332915,45,5,6.974234546622321
calibration,0,0,0,1,0.0,tp_uic_stage1,0.001750031314283978,2.076434332008082,1.0718574498974256,3.491432852512861,10,0.9986775429008116,11.786344700702902,11.807034274635226,1.0124290573745518e-09,6.710117593008163e-11,6.678226948309376e-11,3.1890644698787084e-13,0.9999409159191165,0.9999751334919559,1.0,0.9997552480232493,0.9105809611332915,45,5,6.9742111119838635
calibration,0,0,0,1,0.0,tp_uic_full,0.001750031314283978,2.076434332008082,1.1952834510719006,3.424829564432408,10,0.9988420224086086,12.40583159515653,12.430019010304996,1.0124290573745518e-09,5.8181034853842933e-11,5.7857904482477035e-11,3.231303713658991e-13,0.9998771970505907,0.9996424717087077,1.0000004970496343,0.999709888936601,0.9105809611332915,45,5,24.816722606244355
calibration,0,0,0,1,0.0,perfect_channel,0.001750031314283978,2.076434332008082,1.183709054279668,3.4752782058725047,10,0.9988430977670611,inf,inf,1.0124290573745518e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9105809611332915,0,5,nan
calibration,0,0,0,2,0.0,no_ic,0.001785337231147886,2.248479942325116,3.570438206413288,9.208394698441891,10,0.9988410109001311,0.0,0.0,1.053341420421204e-09,1.053341420421204e-09,1.053341420421204e-09,0.0,1.0,1.0,1.0,1.0,0.8928574217308249,0,5,0.0
calibration,0,0,0,2,0.0,plain_ls,0.001785337231147886,2.248479942325116,3.5703643392154287,9.208176808591276,10,0.9988410247456597,20.99386049087733,21.159125690245162,1.053341420421204e-09,8.37882487066044e-12,8.065969829447026e-12,3.128550412134131e-13,0.999920341424397,0.9987544379271789,0.9999790450437175,0.9993847510200666,0.8928574217308249,0,5,16.41325511999145
calibration,0,0,0,2,0.0,ridge_ls,0.001785337231147886,2.248479942325116,3.570367094717733,9.208171950279782,10,0.9988410240470386,20.99399623077117,21.159026671658133,1.053341420421204e-09,8.378562992356184e-12,8.066153734625146e-12,3.1240925773103867e-13,0.9999203417650867,0.998754440466108,0.9999790451158878,0.9993847519491702,0.8928574217308249,0,5,16.41311938009761
calibration,0,0,0,2,0.0,protected_ls,0.001785337231147886,2.248479942325116,3.559446725701768,9.128215716149027,10,0.9985519097319638,17.10435710066018,17.171428779111178,1.053341420421204e-09,2.0517925669785783e-11,2.020348475756743e-11,3.1444091221835307e-13,0.9999365059863986,0.9999524026584422,1.0,0.9993668721280189,0.8928574217308249,45,5,1.9493964132282895
calibration,0,0,0,2,0.0,tp_uic_stage1,0.001785337231147886,2.248479942325116,3.5594541257707495,9.128233293084682,10,0.9985519808876773,17.104415335820665,17.171388407286337,1.053341420421204e-09,2.0517650543867102e-11,2.0203672569149872e-11,3.139779747172292e-13,0.9999365061992713,0.9999524028180226,1.0,0.9993668730719346,0.8928574217308249,45,5,1.9493381780678076
calibration,0,0,0,2,0.0,tp_uic_full,0.001785337231147886,2.248479942325116,3.570819111877268,9.208295666580703,10,0.9988410201158687,20.99326850610041,21.15906247237696,1.053341420421204e-09,8.379967062203487e-12,8.066087242204985e-12,3.138798199985017e-13,0.9999309097960067,0.9992061374112433,0.9999999871576956,0.9993914618226704,0.8928574217308249,45,5,16.40201706723547
calibration,0,0,0,2,0.0,perfect_channel,0.001785337231147886,2.248479942325116,3.934888246350499,8.986733669756152,10,0.9988430977670611,inf,inf,1.053341420421204e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8928574217308249,0,5,nan
calibration,0,0,0,3,0.0,no_ic,0.001824874565443671,2.146398641705109,6.858163062189283,10.633197644115551,10,0.9988415452423144,0.0,0.0,1.028871250886674e-09,1.028871250886674e-09,1.028871250886674e-09,0.0,1.0,1.0,1.0,1.0,0.9001030206767427,0,5,0.0
calibration,0,0,0,3,0.0,plain_ls,0.001824874565443671,2.146398641705109,6.858705526459813,10.633980750545469,10,0.9988415639669653,19.452513685913377,19.5389751010695,1.028871250886674e-09,1.1671042850335345e-11,1.1440987788581967e-11,2.300550617533789e-13,0.9999821221171956,0.9986278413317025,0.9999678825146447,0.9990989221350038,0.9001030206767427,0,5,17.852551953814874
calibration,0,0,0,3,0.0,ridge_ls,0.001824874565443671,2.146398641705109,6.858697453619933,10.633975130866935,10,0.9988415633426748,19.45265031251609,19.538903283337657,1.028871250886674e-09,1.167067569166323e-11,1.1441176985686944e-11,2.2949870597628646e-13,0.9999821221500422,0.9986278451459265,0.9999678825622081,0.9990989235844312,0.9001030206767427,0,5,17.85241532721216
