condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
prior250_k0,30,joint,0.9,0.05,0,12,10,1.0,0.0,0.0,0.5145156000507995,0.0,282,0
prior250_k0,30,balanced,1.0,0.043333333333333335,0,60,10,0.95,0.0,0.0,0.29424919991288334,0.0,0,0
prior250_k0,30,robust,0.9,0.04666666666666667,0,24,10,0.9583333333333334,0.0,0.0,1.0986831000773236,0.0,0,0
prior250_k0,31,v1,1.0,0.05333333333333334,0,12,10,1.0,0.0,0.0,0.4582953000208363,0.0,0,0
prior250_k0,31,joint,1.0,0.05333333333333334,0,12,10,1.0,0.0,0.0,0.5093629999319091,0.0,271,0
prior250_k0,31,balanced,1.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.28408679994754493,0.0,0,0
prior250_k0,31,robust,1.0,0.04,0,31,10,1.0,0.0,0.0,1.2594742000801489,0.0,0,0
prior250_k0,32,v1,0.9,0.056666666666666664,0,11,10,1.0,0.0,0.0,0.40939439996145666,0.0,0,0
prior250_k0,32,joint,0.9,0.056666666666666664,0,11,10,1.0,0.0,0.0,0.4608522999333218,0.0,272,0
prior250_k0,32,balanced,1.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.2880117000313476,0.0,0,0
prior250_k0,32,robust,1.0,0.056666666666666664,0,15,10,1.0,0.0,0.0,0.6318453999701887,0.0,0,0
prior250_k0,33,v1,0.9,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.3364814000669867,0.0,0,0
prior250_k0,33,joint,0.9,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.3954365000827238,0.0,266,0
prior250_k0,33,balanced,1.0,0.05,0,60,10,1.0,0.0,0.0,0.35688109998591244,0.0,0,0
prior250_k0,33,robust,1.0,0.04,0,12,10,1.0,0.0,0.0,0.5096407999517396,0.0,0,0
prior250_k0,34,v1,0.9,0.03,0,20,10,1.0,0.0,0.0,0.675053899991326,0.0,0,0
prior250_k0,34,joint,0.9,0.03,0,20,10,1.0,0.0,0.0,0.7326596000930294,0.0,291,0
prior250_k0,34,balanced,0.9,0.043333333333333335,0,60,10,1.0,0.0,0.0,0.42690249998122454,0.0,0,0
prior250_k0,34,robust,0.9,0.03,0,20,10,1.0,0.0,0.0,0.7504818999441341,0.0,0,0
prior250_k0,35,v1,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.29530440003145486,0.0,0,0
prior250_k0,35,joint,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.34186890011187643,0.0,260,0
prior250_k0,35,balanced,1.0,0.03,0,60,10,1.0,0.0,0.0,0.2499553000088781,0.0,0,0
prior250_k0,35,robust,1.0,0.04,0,18,10,1.0,0.0,0.0,0.776401299983263,0.0,0,0
prior250_k0,36,v1,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.3155609000241384,0.0,0,0
prior250_k0,36,joint,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.3601945999544114,0.0,262,0
prior250_k0,36,balanced,1.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.3060760000953451,0.0,0,0
prior250_k0,36,robust,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.4049545999150723,0.0,0,0
prior250_k0,37,v1,1.0,0.05,0,10,10,1.0,0.0,0.0,0.29600079997908324,0.0,0,0
prior250_k0,37,joint,1.0,0.05,0,10,10,1.0,0.0,0.0,0.34625039994716644,0.0,262,0
prior250_k0,37,balanced,1.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.2506584000075236,0.0,0,0
prior250_k0,37,robust,1.0,0.03666666666666667,0,11,10,1.0,0.0,0.0,0.37294679996557534,0.0,0,0
prior250_k0,38,v1,0.9,0.07,0,13,10,1.0,0.0,0.0,0.4531995999859646,0.0,0,0
prior250_k0,38,joint,0.9,0.07,0,13,10,1.0,0.0,0.0,0.5156316000502557,0.0,274,0
prior250_k0,38,balanced,1.0,0.06,0,60,10,0.95,0.0,0.0,0.32555449998471886,0.0,0,0
prior250_k0,38,robust,0.9,0.09333333333333334,0,17,10,0.9411764705882353,0.0,0.0,0.603972400072962,0.0,0,0
prior250_k0,39,v1,1.0,0.08,0,10,10,1.0,0.0,0.0,0.3208145999815315,0.0,0,0
prior250_k0,39,joint,1.0,0.08,0,10,10,1.0,0.0,0.0,0.3783386000432074,0.0,273,0
prior250_k0,39,balanced,1.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.3166783000342548,0.0,0,0
prior250_k0,39,robust,1.0,0.05,0,18,10,1.0,0.0,0.0,0.8164202999323606,0.0,0,0
prior250_k0,40,v1,0.9,0.043333333333333335,0,11,10,1.0,0.0,0.0,0.4462231999495998,0.0,0,0
prior250_k0,40,joint,0.9,0.043333333333333335,0,11,10,1.0,0.0,0.0,0.49832750007044524,0.0,279,0
prior250_k0,40,balanced,1.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.38017289992421865,0.0,0,0
prior250_k0,40,robust,0.9,0.05,0,18,10,1.0,0.0,0.0,0.8637088000541553,0.0,0,0
prior250_k0,41,v1,1.0,0.05,0,10,10,1.0,0.0,0.0,0.33593289996497333,0.0,0,0
prior250_k0,41,joint,1.0,0.05,0,10,10,1.0,0.0,0.0,0.3842917999718338,0.0,266,0
prior250_k0,41,balanced,1.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.33457730000372976,0.0,0,0
prior250_k0,41,robust,1.0,0.05,0,17,10,1.0,0.0,0.0,0.6731393999652937,0.0,0,0
prior250_k0,42,v1,1.0,0.056666666666666664,0,10,10,1.0,0.0,0.0,0.3691161999013275,0.0,0,0
prior250_k0,42,joint,1.0,0.056666666666666664,0,10,10,1.0,0.0,0.0,0.425357099971734,0.0,260,0
prior250_k0,42,balanced,1.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.3871103000128642,0.0,0,0
prior250_k0,42,robust,1.0,0.03333333333333333,0,21,10,1.0,0.0,0.0,0.9764973999699578,0.0,0,0
prior250_k0,43,v1,0.8,0.04666666666666667,0,15,10,0.9333333333333333,0.0,0.0,0.5632094000466168,0.0,0,0
prior250_k0,43,joint,0.8,0.04666666666666667,0,15,10,0.9333333333333333,0.0,0.0,0.6146198000060394,0.0,276,0
prior250_k0,43,balanced,0.9,0.04,0,60,10,0.9,0.0,0.0,0.4361043000826612,0.0,0,0
prior250_k0,43,robust,0.9,0.03333333333333333,0,16,10,0.9375,0.0,0.0,0.7902866998920217,0.0,0,0
prior250_k0,44,v1,1.0,0.04666666666666667,0,20,10,1.0,0.0,0.0,0.7726520999567583,0.0,0,0
prior250_k0,44,joint,1.0,0.04666666666666667,0,20,10,1.0,0.0,0.0,0.8253431998891756,0.0,270,0
prior250_k0,44,balanced,1.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.4034757000626996,0.0,0,0
prior250_k0,44,robust,1.0,0.03666666666666667,0,24,10,1.0,0.0,0.0,1.139911999925971,0.0,0,0
prior250_k0,45,v1,0.9,0.05,0,15,10,0.9333333333333333,0.0,0.0,0.5915213000262156,0.0,0,0
prior250_k0,45,joint,0.9,0.05,0,15,10,0.9333333333333333,0.0,0.0,0.6434150000568479,0.0,262,0
prior250_k0,45,balanced,1.0,0.04666666666666667,0,60,10,0.9666666666666667,0.0,0.0,0.37644350004848093,0.0,0,0
prior250_k0,45,robust,0.9,0.07333333333333333,0,21,10,0.9523809523809523,0.0,0.0,0.7458321999292821,0.0,0,0
prior250_k0,46,v1,1.0,0.03,0,19,10,1.0,0.0,0.0,0.7254461999982595,0.0,0,0
prior250_k0,46,joint,1.0,0.03,0,19,10,1.0,0.0,0.0,0.7814340000040829,0.0,315,0
prior250_k0,46,balanced,1.0,0.05,0,60,10,1.0,0.0,0.0,0.3143491999944672,0.0,0,0
prior250_k0,46,robust,1.0,0.05333333333333334,0,32,10,1.0,0.0,0.0,1.195194000029005,0.0,0,0
prior250_k0,47,v1,1.0,0.04,0,10,10,1.0,0.0,0.0,0.36933090002276003,0.0,0,0
prior250_k0,47,joint,1.0,0.04,0,10,10,1.0,0.0,0.0,0.42287600005511194,0.0,264,0
prior250_k0,47,balanced,1.0,0.04,0,60,10,1.0,0.0,0.0,0.3832499000709504,0.0,0,0
prior250_k0,47,robust,1.0,0.04,0,11,10,1.0,0.0,0.0,0.513395799905993,0.0,0,0
prior250_k0,48,v1,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.2965517999837175,0.0,0,0
prior250_k0,48,joint,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.34628800011705607,0.0,262,0
prior250_k0,48,balanced,1.0,0.013333333333333334,0,60,10,0.9833333333333333,0.0,0.0,0.25925469992216676,0.0,0,0
prior250_k0,48,robust,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.3974835000699386,0.0,0,0
prior250_k0,49,v1,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.2974197999574244,0.0,0,0
prior250_k0,49,joint,1.0,0.043333333333333335,0,10,10,1.0,0.0,0.0,0.34385239996481687,0.0,262,0
prior250_k0,49,balanced,1.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.24416550004389137,0.0,0,0
prior250_k0,49,robust,1.0,0.043333333333333335,0,18,10,1.0,0.0,0.0,0.751399299944751,0.0,0,0
prior250_k0,50,v1,1.0,0.04666666666666667,0,11,10,1.0,0.0,0.0,0.39886810001917183,0.0,0,0
prior250_k0,50,joint,1.0,0.04666666666666667,0,11,10,1.0,0.0,0.0,0.4564768000273034,0.0,272,0
prior250_k0,50,balanced,1.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.39303559996187687,0.0,0,0
prior250_k0,50,robust,1.0,0.06333333333333334,0,16,10,1.0,0.0,0.0,0.5872417000355199,0.0,0,0
prior250_k0,51,v1,1.0,0.04,0,15,10,1.0,0.0,0.0,0.5867562000639737,0.0,0,0
prior250_k0,51,joint,1.0,0.04,0,15,10,1.0,0.0,0.0,0.640312600065954,0.0,264,0
prior250_k0,51,balanced,1.0,0.03,0,60,10,1.0,0.0,0.0,0.4849981999723241,0.0,0,0
prior250_k0,51,robust,1.0,0.05,0,16,10,1.0,0.0,0.0,0.8544053999939933,0.0,0,0
prior250_k0,52,v1,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.2982869000406936,0.0,0,0
prior250_k0,52,joint,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.35047480009961873,0.0,264,0
prior250_k0,52,balanced,1.0,0.07333333333333333,0,60,10,1.0,0.0,0.0,0.26817519997712225,0.0,0,0
prior250_k0,52,robust,1.0,0.05,0,12,10,1.0,0.0,0.0,0.4328393000178039,0.0,0,0
prior250_k0,53,v1,1.0,0.06666666666666667,0,10,10,1.0,0.0,0.0,0.3423831999534741,0.0,0,0
prior250_k0,53,joint,1.0,0.06666666666666667,0,10,10,1.0,0.0,0.0,0.3915891998913139,0.0,266,0
prior250_k0,53,balanced,1.0,0.03666666666666667,0,60,10,1.0,0.0,0.0,0.3664676999906078,0.0,0,0
prior250_k0,53,robust,1.0,0.06333333333333334,0,11,10,1.0,0.0,0.0,0.5239803000586107,0.0,0,0
prior250_k0,54,v1,1.0,0.056666666666666664,0,10,10,1.0,0.0,0.0,0.3333701000083238,0.0,0,0
prior250_k0,54,joint,1.0,0.056666666666666664,0,10,10,1.0,0.0,0.0,0.3848530000541359,0.0,264,0
prior250_k0,54,balanced,1.0,0.07,0,60,10,1.0,0.0,0.0,0.31615299999248236,0.0,0,0
prior250_k0,54,robust,1.0,0.05333333333333334,0,10,10,1.0,0.0,0.0,0.328808999969624,0.0,0,0
prior250_k0,55,v1,1.0,0.07,0,17,10,1.0,0.0,0.0,0.7307487999787554,0.0,0,0
prior250_k0,55,joint,1.0,0.07,0,17,10,1.0,0.0,0.0,0.7963137999176979,0.0,285,0
prior250_k0,55,balanced,1.0,0.07333333333333333,0,60,10,1.0,0.0,0.0,0.38561089988797903,0.0,0,0
prior250_k0,55,robust,1.0,0.06,0,27,10,1.0,0.0,0.0,1.0588285000994802,0.0,0,0
prior250_k0,56,v1,1.0,0.03333333333333333,0,13,10,1.0,0.0,0.0,0.5994972999906167,0.0,0,0
prior250_k0,56,joint,1.0,0.03333333333333333,0,13,10,1.0,0.0,0.0,0.657348399865441,0.0,277,0
prior250_k0,56,balanced,1.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.45553859998472035,0.0,0,0
prior250_k0,56,robust,1.0,0.04,0,17,10,1.0,0.0,0.0,0.865935800014995,0.0,0,0
prior250_k0,57,v1,0.9,0.03333333333333333,0,16,10,1.0,0.0,0.0,0.5779198000673205,0.0,0,0
prior250_k0,57,joint,0.9,0.03333333333333333,0,16,10,1.0,0.0,0.0,0.6383089000592008,0.0,287,0
prior250_k0,57,balanced,0.9,0.02,0,60,10,1.0,0.0,0.0,0.31122009991668165,0.0,0,0
prior250_k0,57,robust,0.8,0.023333333333333334,0,21,10,1.0,0.0,0.0,0.8366662000771612,0.0,0,0
prior250_k0,58,v1,1.0,0.02666666666666667,0,15,10,1.0,0.0,0.0,0.5746788999531418,0.0,0,0
