scene,realisation,receiver,target,boost_db,arm,conflict_index,direct_inr_db,kappa_db,eta_survive_q,model_rank,cov_rank,cov_trace_over_noise,cov_max_eig_over_noise,transfer_energy,ncp_unit,identifiable_fraction,statistic,residual_power,whitened_residual_power
3,1,0,1,30.0,protected_ls,0.3555847792727416,27.88752725754022,5.2828575233721935,0.9991135890422441,5,50,151.02283575284704,1092065.7080530706,0.6740079289431082,0.6529973147598545,0.9688273486393552,319.5544971242862,1.1492211798326105e-07,104454.38432633769
3,1,0,1,30.0,tp_uic_full,0.3555847792727416,27.88752725754022,8.104915693807277,1.0014032219342062,50,45,40.79852393860871,158769.4687461261,0.726002110476673,0.7082872340812336,0.9755994147402571,261.26743947207393,6.029585593705058e-08,116452.84596567263
3,1,0,1,30.0,perfect_channel,0.3555847792727416,27.88752725754022,inf,1.0,0,30,1.0001524215139008,1.9830564112326856,0.9134064314971801,0.8889082043552312,0.9731792701505358,7.147992868392634,6.239790150822735e-10,16283.927679100188
4,0,0,1,30.0,no_ic,0.8716957304334069,27.896077708586034,0.0,1.0,0,45,780.5352239852086,7571298.718186133,4.9021634694829475,4.897279658668641,0.9990037437868586,7221.301873318395,3.873127348757854e-07,46591.47408123527
4,0,0,1,30.0,plain_ls,0.8716957304334069,27.896077708586034,11.938806809588801,0.9728034903858614,5,47,43.86578365331891,226055.1775169138,4.9021448083256525,4.89726099463508,0.999003739407641,7221.08746767498,2.5444001103242672e-08,46586.69224022328
4,0,0,1,30.0,protected_ls,0.8716957304334069,27.896077708586034,7.71276324738349,0.9733424713235855,5,50,132.48202137784236,1407031.2228556224,1.8897111488217835,1.8709016624185113,0.9900463695655287,3237.246851171408,6.62751411585191e-08,41049.59809139818
4,0,0,1,30.0,tp_uic_full,0.8716957304334069,27.896077708586034,10.134879428797348,1.1567539457222586,50,45,51.21438459335387,226599.51456083418,5.449871342055726,5.444961125745814,0.9990990216095524,8194.861497319485,3.826135070626541e-08,47579.95509925067
4,0,0,1,30.0,perfect_channel,0.8716957304334069,27.896077708586034,inf,1.0,0,30,1.000037426539695,1.2376165016017382,31.98847913248018,31.982873865819542,0.9998247723301436,5.8283647123899245,6.329641149056864e-10,16522.2441930272
4,1,0,1,30.0,no_ic,0.9557672918561124,28.197179013004895,0.0,1.0,0,45,780.5349441852785,7571369.801050657,2.1204524456039247,2.115797642684604,0.997804806738783,309.40161847196356,4.152014692770996e-07,17881.6307175289
4,1,0,1,30.0,plain_ls,0.9557672918561124,28.197179013004895,16.86265871944873,0.9635354861448936,5,47,44.049560836698284,226036.91609873238,2.1204211364573573,2.115766330730537,0.997804773001557,309.2937888046784,9.142939946251189e-09,17876.61410948526
4,1,0,1,30.0,protected_ls,0.9557672918561124,28.197179013004895,8.061351887899153,0.8619462501142336,5,50,141.57148549368998,1540279.821385749,0.9462973255853557,0.9378645266408735,0.9910886370314257,71.14745047410814,6.537181617014873e-08,17611.88896804906
4,1,0,1,30.0,tp_uic_full,0.9557672918561124,28.197179013004895,15.966776686695328,1.7584574331544487,50,45,51.77032969848878,226071.66476595518,2.336355990257986,2.331646781636681,0.9979843788185784,357.4247390573922,1.106032988230331e-08,17925.46690581703
4,1,0,1,30.0,perfect_channel,0.9557672918561124,28.197179013004895,inf,1.0,0,30,1.000037426539695,1.2376165016017382,31.98847913248018,31.982873865819542,0.9998247723301436,8.680101678054074,6.212502784200623e-10,16216.299287595964
5,0,0,1,30.0,no_ic,0.2568918490023656,32.15545827463501,0.0,1.0,0,45,2114.3337350920515,13382484.701192476,5.029005636538617,5.023117013455744,0.9988290681083972,33.93601895980085,1.0317495381830435e-06,27528.64469756075
5,0,0,1,30.0,plain_ls,0.2568918490023656,32.15545827463501,13.265796892831546,0.989507256874372,5,48,119.55337904353586,549614.0911894263,5.0290195263250235,5.023119040578089,0.998826712500111,33.93469973318025,4.931215706089125e-08,27524.194985971968
5,0,0,1,30.0,protected_ls,0.2568918490023656,32.15545827463501,10.836288103939873,0.9997278173208412,5,50,175.34253627010565,701225.6605778548,4.3025067094147875,4.288596637733748,0.9967669843139113,30.88849354849738,8.5766052972116e-08,27256.448436391493
5,0,0,1,30.0,tp_uic_full,0.2568918490023656,32.15545827463501,13.264718867496859,1.0050501278836315,50,45,119.8331054052323,549786.6654172227,5.0414879686281395,5.0356709797968415,0.998846176194906,33.86338347876192,4.93242811556948e-08,27526.591816422188
5,0,0,1,30.0,perfect_channel,0.2568918490023656,32.15545827463501,inf,1.0,0,30,1.000344305259488,3.3756381705081595,5.591528525305746,5.587184811213522,0.9992231615965893,16.842574655561947,6.340732119390223e-10,16549.893078325436
5,1,0,1,30.0,no_ic,0.3540500713248527,32.88465148049363,0.0,1.0,0,45,2114.3308667929014,12964050.226382362,4.808311554422119,4.801561240515933,0.9985961155324934,277.4265631899589,1.2204574972912026e-06,77350.24194348033
5,1,0,1,30.0,plain_ls,0.3540500713248527,32.88465148049363,11.527871011237252,0.972906614520881,5,48,105.98000284211538,404429.51524565823,4.808329148189813,4.801563873773018,0.9985930092952681,277.437710985051,8.642459228911726e-08,77344.68167463737
5,1,0,1,30.0,protected_ls,0.3540500713248527,32.88465148049363,10.08925095610618,0.9988650827465131,5,50,176.87429316082063,918076.4296586813,4.164168218174557,4.148118761642509,0.9961458193590741,267.14004132109375,1.201282591721485e-07,76846.03989879962
5,1,0,1,30.0,tp_uic_full,0.3540500713248527,32.88465148049363,11.515706540779787,0.9891974542520017,50,45,106.362938503693,404640.73485127545,4.816731123331065,4.810060198120557,0.9986150513616598,276.21556052360893,8.666075131974666e-08,77347.73622523328
5,1,0,1,30.0,perfect_channel,0.3540500713248527,32.88465148049363,inf,1.0,0,30,1.000344305259488,3.3756381705081595,5.591528525305746,5.587184811213522,0.9992231615965893,13.380907781402279,6.235642852506384e-10,16272.19501972562
