trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,eta_survive_q,s_q_energy,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,gate_targets,supported_targets,n_candidates,t_h0,thr_h0,det_h0,dof_h0
1,plain_ls,2,5,2.982795285253295e-13,9.322066756468729,20.66856907571369,0,28,38.617793780821586,0.5809208911783819,0.9359324860570833,3.114427934766046e-13,0.00031068978400548153,3.130731373929289e-10,4.271389754665357e-12,0.0024565156848423858,0.0020014467080501416,0.9999999999999979,0,0,0,16.985722490015764,20.66856907571369,0,28
1,ridge_ls,2,5,2.982795285253295e-13,8.722634413585965,20.66856907571369,0,28,38.626584104994144,0.5812178953387014,0.935936857411032,3.114427934766046e-13,0.0003185615584097102,4.726496997814752e-10,4.541744591108236e-12,0.00251877006825792,0.0020432976808513435,0.9999999999999972,0,0,0,16.65326680093929,20.66856907571369,0,28
1,protected_ls,2,5,2.982795285253295e-13,10.674752187186055,20.66856907571369,0,28,10.435284905785027,0.6538766153108587,0.9858519421343448,3.114427934766046e-13,0.0003716255399365537,5.605524358529783e-10,5.345946063201929e-12,0.002482012037142295,0.0018373648140687698,1.0377600774012188,0,0,0,15.864705620386731,20.66856907571369,0,28
1,tp_uic_stage1,2,5,2.982795285253295e-13,10.419246779872477,20.66856907571369,0,28,10.435410890081208,0.6540782960380941,0.9858701529519917,3.114427934766046e-13,0.0003751365274233996,5.894180374165003e-10,5.812514011030557e-12,0.002506053662308466,0.0018461587628897384,1.0371370730475533,0,0,0,15.593756338844733,20.66856907571369,0,28
1,tp_uic_full,2,5,2.982795285253295e-13,8.677222362303715,20.66856907571369,0,28,38.554919656796486,0.5822764306338768,0.9468849373221268,3.114427934766046e-13,0.00031930286936578107,5.06485646618261e-10,4.446960437834823e-12,0.002535030455886178,0.0020534334921501435,1.0000000026244176,9,3,126,16.635993352076103,20.66856907571369,0,28
1,perfect_channel,2,5,2.982795285253295e-13,9.060931088460048,20.66856907571369,0,28,inf,1.0,1.0,3.114427934766046e-13,0.001388561812397,2.1441263589293223e-09,1.1656271037327917e-11,0.011346134403530673,0.009489666548255286,1.0,0,0,0,19.91757916417267,20.66856907571369,0,28
2,no_ic,10,8,3.598890258895591e-13,25.77357681846064,20.66856907571369,1,28,0.0,1.0,1.0,8.631758305261425e-14,0.00011381829665752186,4.362968875820241e-09,9.460784029476918e-11,0.00033070628380603873,0.0003186425097853629,12.695183361267283,0,0,0,15.306599119887942,20.66856907571369,0,28
2,fixed_kappa,10,8,3.598890258895591e-13,21.968603264847854,20.66856907571369,1,28,39.99999999999999,1.0,1.0,8.631758305261425e-14,0.00011884741105625476,7.168396472965499e-09,1.2352179515080884e-10,0.00034955849228918574,0.00033420443904458216,1.0011695183361262,0,0,0,16.622428852017258,20.66856907571369,0,28
2,plain_ls,10,8,3.598890258895591e-13,21.05815105518215,20.66856907571369,1,28,34.31634240894803,0.706830480928013,0.9832689500940687,8.631758305261425e-14,0.00010662164417310282,3.2378225043887518e-09,7.253178485571241e-11,0.0003097720440845803,0.0002994602497050365,0.9999999999999976,0,0,0,17.396906193195196,20.66856907571369,0,28
2,ridge_ls,10,8,3.598890258895591e-13,24.286500211300293,20.66856907571369,1,28,34.42624247454779,0.7068609195025611,0.9832735824859758,8.631758305261425e-14,0.00010807108424436671,3.5610777619044595e-09,8.013835964730202e-11,0.00031398360748533373,0.0003028646532232963,0.9999999999999977,0,0,0,15.528843070348955,20.66856907571369,0,28
2,protected_ls,10,8,3.598890258895591e-13,18.531001946432482,20.66856907571369,0,28,4.803617822769649,0.8561766328479706,0.9999999733222622,8.631758305261425e-14,4.838438041188245e-05,2.0385992166171678e-09,6.452145592242549e-11,0.00013914720728666903,0.0001363317565146973,1.3864445232885922,0,0,0,13.308405113216214,20.66856907571369,0,28
2,tp_uic_stage1,10,8,3.598890258895591e-13,17.877670665071776,20.66856907571369,0,28,4.805492237638696,0.857036452364664,0.9999999737797243,8.631758305261425e-14,5.1961094109959015e-05,2.3845096171737476e-09,7.43597415780128e-11,0.00014943845956510968,0.00014605481382108765,1.3033480813568257,0,0,0,11.718060305213028,20.66856907571369,0,28
2,tp_uic_full,10,8,3.598890258895591e-13,24.515342406130003,20.66856907571369,1,28,34.690430431285364,0.7122608870123271,0.9927573321304604,8.631758305261425e-14,0.0001068475050199951,3.5758019241302678e-09,8.134506409757278e-11,0.0003131507240188412,0.0003019846833353936,1.00000065871437,10,3,126,15.431319902422654,20.66856907571369,0,28
2,perfect_channel,10,8,3.598890258895591e-13,22.67093632989548,20.66856907571369,1,28,inf,1.0,1.0,8.631758305261425e-14,0.00011926799952899405,7.192298947181965e-09,1.240485973294393e-10,0.00035113273468797163,0.00033569089344128724,1.0,0,0,0,17.253800913090753,20.66856907571369,0,28
3,no_ic,5,8,4.1877253711577667e-13,11.327102618290892,20.66856907571369,0,28,0.0,1.0,1.0,2.6991268853017055e-13,4.40589679914419e-05,9.314773145836789e-12,8.178589663125865e-13,0.0002752463970812585,0.00024186929600797518,20.486173705883406,0,0,0,10.153452177742505,20.66856907571369,0,28
3,fixed_kappa,5,8,4.1877253711577667e-13,9.811360189242412,20.66856907571369,0,28,39.99999999999999,1.0,1.0,2.6991268853017055e-13,4.4847332865969996e-05,9.432661387451717e-12,8.56912411631027e-13,0.00029215681221188733,0.0002577399544839938,1.0019486173705892,0,0,0,10.97608558650896,20.66856907571369,0,28
3,plain_ls,5,8,4.1877253711577667e-13,12.810018118923685,20.66856907571369,0,28,33.99853179353216,0.6691311453713316,0.9697057829674679,2.6991268853017055e-13,3.0372872436744125e-05,1.7110688462326332e-12,1.8525490555831679e-13,0.00018967516744134127,0.00016267666198230198,0.9999999999999976,0,0,0,16.185603943980688,20.66856907571369,0,28
3,ridge_ls,5,8,4.1877253711577667e-13,11.260210710451553,20.66856907571369,0,28,34.01022451286594,0.6691544451709285,0.969708003555737,2.6991268853017055e-13,3.880175738165318e-05,6.686140133848984e-12,7.663881434231431e-13,0.00024231367398566174,0.00021022994323685005,0.999999999999999,0,0,0,12.148318106964856,20.66856907571369,0,28
