trial,arm,n_nuisance_targets,rho_weighted,rho_min,ncp_unit,distance_bins
1,no_ic,9,0.00040732310015394055,9.260124060381066e-10,0.0032214810650628214,5.430816950816998
1,plain_ls,0,1.0,1.0,7.906650978903913,0.0
1,plain_ls,1,0.5425521717926589,0.009285090839420172,4.289770660210871,1.7047514339985912
1,plain_ls,2,0.24781419884027142,0.00021292862675750213,1.9593803778467211,1.9425867627028524
1,plain_ls,3,0.035185977052572356,1.476331699482156e-05,0.2782032399064119,2.125602066813139
1,plain_ls,5,0.004363913118806972,4.220202542839197e-07,0.034503937932666776,3.1535590487297247
1,plain_ls,9,0.00031068978400548153,3.130731373929289e-10,0.0024565156848423858,5.430816950816998
1,tp_uic_full,0,1.0,1.0,7.939266129745126,0.0
1,tp_uic_full,1,0.5357029941640206,0.009010514377500065,4.253088637169459,1.7047514339985912
1,tp_uic_full,2,0.24371385496547185,0.0002035179447162369,1.9349091540769865,1.9425867627028524
1,tp_uic_full,3,0.03445732979557368,1.3987435994489696e-05,0.2735659113674556,2.125602066813139
1,tp_uic_full,5,0.0043568680890292985,4.1243040064995545e-07,0.03459033525099768,3.1535590487297247
1,tp_uic_full,9,0.00031930286936578107,5.06485646618261e-10,0.002535030455886178,5.430816950816998
1,perfect_channel,0,1.0,1.0,8.17114103400586,0.0
1,perfect_channel,1,0.5540798753165179,0.009455540800022188,4.52746480531565,1.7047514339985912
1,perfect_channel,2,0.2600852247248613,0.00023758572682505935,2.1251930520879494,1.9425867627028524
1,perfect_channel,3,0.03971171370064667,2.1504029749379192e-05,0.3244900133500467,2.125602066813139
1,perfect_channel,5,0.011434563279828969,6.516612344557115e-07,0.09343342922174712,3.1535590487297247
1,perfect_channel,9,0.001388561812397,2.1441263589293223e-09,0.011346134403530673,5.430816950816998
2,no_ic,0,1.0,1.0,2.905563459635411,0.0
2,no_ic,1,0.2657577383175774,0.010955921066993907,0.7721759735709024,0.1403047671902245
2,no_ic,2,0.04367783409579373,0.0015061959091330597,0.12690871874475596,2.0226776758418397
2,no_ic,3,0.012202391176334834,0.000151738117802143,0.03545482192213605,2.199523603662952
2,no_ic,5,0.003621981362768753,4.566716057794896e-05,0.010523896699141359,3.199041069542175
2,no_ic,9,0.00011381829665752186,4.362968875820241e-09,0.00033070628380603873,4.090148947399262
2,plain_ls,0,1.0,1.0,2.9053392159443527,0.0
2,plain_ls,1,0.2656602714581215,0.010949345989774859,0.7718332047857026,0.1403047671902245
2,plain_ls,2,0.04362824061490475,0.001505831410883403,0.12675483838113893,2.0226776758418397
2,plain_ls,3,0.01214400995713966,0.00015154148578840694,0.03528246836729655,2.199523603662952
2,plain_ls,5,0.003173417057780869,3.297814989218556e-05,0.009219853026517505,3.199041069542175
2,plain_ls,9,0.00010662164417310282,3.2378225043887518e-09,0.0003097720440845803,4.090148947399262
2,tp_uic_full,0,1.0,1.0,2.9308192452433883,0.0
2,tp_uic_full,1,0.2724829247199306,0.011098255835619575,0.798598199769378,0.1403047671902245
2,tp_uic_full,2,0.04367890332168273,0.0015197839390106674,0.1280149704663131,2.0226776758418397
2,tp_uic_full,3,0.012034807475463765,0.00015098178694248566,0.0352718453618882,2.199523603662952
2,tp_uic_full,5,0.0032819521117438875,3.4134230013089686e-05,0.009618808411066165,3.199041069542175
2,tp_uic_full,9,0.0001068475050199951,3.5758019241302678e-09,0.0003131507240188412,4.090148947399262
2,perfect_channel,0,1.0,1.0,2.9440649300285386,0.0
2,perfect_channel,1,0.277077748759576,0.011292221904022634,0.8157348830143262,0.1403047671902245
2,perfect_channel,2,0.047823270295235844,0.001617653254155843,0.1407948129154794,2.0226776758418397
2,perfect_channel,3,0.015488907676932905,0.00018847546188167447,0.04560034989610797,2.199523603662952
2,perfect_channel,5,0.004657768214737195,4.960823559715999e-05,0.01371277205320941,3.199041069542175
2,perfect_channel,9,0.00011926799952899405,7.192298947181965e-09,0.00035113273468797163,4.090148947399262
