area_m,rcs_m2,trial,n_looks,target,n_links,gamma_mean_db,gamma_min_db,d_prime,pd_pred,required_gain_db
600.0,0.1,29,64,5,6,-10.361861879951794,-14.864312670348017,0.2731154646213002,0.60761777028078,1.2807071784992403
600.0,0.1,29,64,6,4,-7.3397074160327325,-10.606224693509706,1.2008407140454145,0.8850935023801746,0.0
600.0,0.1,29,64,7,6,-14.058223800947708,-17.431356466218205,-0.7452171301039726,0.22807023441111357,4.874073960154574
600.0,0.1,29,64,8,1,-1.8520847547084864,-1.8520847547084864,2.164597157370303,0.9847907255528411,0.0
600.0,0.1,29,64,9,1,-3.559454978169539,-3.559454978169539,1.3050217682138234,0.9040572822263088,0.0
600.0,0.1,29,128,0,6,-10.979188528069985,-17.663800293188224,1.1267087923835974,0.8700671881047207,0.0
600.0,0.1,29,128,1,1,-4.365517200455919,-4.365517200455919,1.8270142153656355,0.9661511839646146,0.0
600.0,0.1,29,128,2,1,-3.6507285868098247,-3.6507285868098247,2.2609353723272734,0.9881183703294235,0.0
600.0,0.1,29,128,3,1,-2.9796266661855206,-2.9796266661855206,2.695029533637771,0.9964808803824559,0.0
600.0,0.1,29,128,4,1,2.196472783391417,2.196472783391417,6.43884236653603,0.9999999999398059,0.0
600.0,0.1,29,128,5,6,-10.81799067176647,-14.864312670348017,0.8245751932083596,0.7951935950829994,0.03339579987262573
600.0,0.1,29,128,6,2,-7.733285264160833,-10.606224693509706,1.0966101650588937,0.863594079002906,0.0
600.0,0.1,29,128,7,6,-14.004565954194065,-16.778619973660728,-0.4035664854019106,0.34326576751226423,3.270952231609737
600.0,0.1,29,128,8,1,-1.8520847547084864,-1.8520847547084864,3.4734204872751255,0.9997430652013896,0.0
600.0,0.1,29,128,9,2,-4.914301162537946,-5.141962598890112,2.660279589101302,0.9960962094907335,0.0
600.0,0.1,29,16,0,6,-10.979188528069985,-17.663800293188224,-0.508764962442415,0.30545849069041087,4.39951441357276
600.0,0.1,29,16,1,1,2.571482917431846,2.571482917431846,1.989575069465502,0.9766811176446306,0.0
600.0,0.1,29,16,2,5,-4.904446232244489,-5.88099968403202,0.9660509964217967,0.8329906681940271,0.0
600.0,0.1,29,16,3,2,-0.8482835477089877,-1.4556568644557097,1.651195970600222,0.9506507171835815,0.0
600.0,0.1,29,16,4,1,2.196472783391417,2.196472783391417,1.8764692022751719,0.9697045600800873,0.0
600.0,0.1,29,16,5,6,-10.361861879951794,-14.864312670348017,-0.5999173043931336,0.27428067464444567,4.5286452017187075
600.0,0.1,29,16,6,6,-7.368136034114926,-10.606224693509706,0.1822957822073363,0.5723246957304999,1.6735796595864398
600.0,0.1,29,16,7,6,-14.23316400267019,-17.431356466218205,-1.1585332027508677,0.12332325507055897,8.259091842351978
600.0,0.1,29,16,8,3,-2.7138529744700794,-5.29861223862641,1.3884351666530756,0.9174977129393248,0.0
600.0,0.1,29,16,9,6,-7.1939368016845515,-12.82326328120009,0.38028993149441787,0.6481348956939085,1.1754037235290755
600.0,0.1,30,128,0,6,-14.665496592740988,-16.756295041125323,-0.6545569978343925,0.2563765091426634,4.245769563984113
600.0,0.1,30,128,1,1,-1.4092181488528357,-1.4092181488528357,3.7923418368938577,0.9999253833516593,0.0
600.0,0.1,30,128,2,1,-1.3396705657996832,-1.3396705657996832,3.8429432876901384,0.9999392162160372,0.0
600.0,0.1,30,128,3,1,-3.667932391496916,-3.667932391496916,2.2501351747346128,0.9877798170915743,0.0
600.0,0.1,30,128,4,1,-3.459609010406008,-3.459609010406008,2.382049823642868,0.9913917160512247,0.0
600.0,0.1,30,128,5,3,-9.172170120576405,-10.943354280497356,0.7296020473364139,0.7671832647923187,0.22925618676012294
600.0,0.1,30,128,6,6,-11.594009415844726,-13.768380847279643,0.5595036865104596,0.7120909920078282,0.5947981484705201
600.0,0.1,30,128,7,1,-8.345277002364343,-8.345277002364343,0.009779519280148617,0.5039014015350646,2.100785203012246
600.0,0.1,30,128,8,1,-0.6919808856938416,-0.6919808856938416,4.319330263931833,0.9999921748287656,0.0
600.0,0.1,30,128,9,1,0.5205582949063435,0.5205582949063435,5.222276149467268,0.9999999116314294,0.0
600.0,0.1,30,64,0,6,-14.665496592740988,-16.756295041125323,-0.9275688508937303,0.17681563087164132,5.810702752130815
600.0,0.1,30,64,1,1,-1.4092181488528357,-1.4092181488528357,2.4019652932552287,0.9918463722341551,0.0
600.0,0.1,30,64,2,1,-1.3396705657996832,-1.3396705657996832,2.4396271558522153,0.9926487862877116,0.0
600.0,0.1,30,64,3,1,-0.779808212797164,-0.779808212797164,2.7457812815656886,0.9969816503021485,0.0
600.0,0.1,30,64,4,1,1.2875686546547247,1.2875686546547247,3.8872438610821294,0.9999493055582916,0.0
600.0,0.1,30,64,5,6,-10.19305986957539,-11.785355719231159,0.3206020790569527,0.6257440190689671,1.166065726797362
600.0,0.1,30,64,6,6,-11.594009415844726,-13.768380847279643,-0.03187550159703547,0.48728566780151333,2.191415067441696
600.0,0.1,30,64,7,3,-8.224298784954948,-10.66999591125797,0.4835341286702732,0.6856417334261837,0.8121113230048267
600.0,0.1,30,64,8,1,-0.6919808856938416,-0.6919808856938416,2.7941944767466387,0.9973985410641681,0.0
600.0,0.1,30,64,9,1,0.5205582949063435,0.5205582949063435,3.466242873352073,0.9997361068574685,0.0
600.0,0.1,30,16,0,6,-15.548885513977993,-17.850422813911678,-1.3105352256092009,0.0950074178519364,9.795227149590286
