trial,area_m,rcs_m2,kappa_db,sense_sinr_db,residual_over_echo_db,residual_over_n0_db,echo_over_n0_db
4,600.0,0.1,40.0,-12.015383521021587,11.395532843582966,10.380878977363006,-1.5309186968585011
4,600.0,0.1,45.0,-8.175506687090012,6.766273336778205,5.599600046010993,-1.5309186968585018
4,600.0,0.1,50.0,-5.4095202232662265,2.6095667659120716,1.2266078627122667,-1.5309186968585018
4,600.0,0.1,55.0,-3.8326161914187646,-0.5993344859229482,-2.234866356938479,-1.5309186968585027
4,600.0,0.1,60.0,-3.0235210892072857,-2.551096442756538,-4.349404957685975,-1.5309186968585018
4,600.0,0.1,70.0,-2.5850595277522466,-4.076225972524458,-5.663420227389712,-1.5309186968585018
4,600.0,0.1,80.0,-2.540235611727608,-4.290415575165901,-5.819642944694817,-1.5309186968585018
5,600.0,0.1,0.0,-49.09372048332203,49.09357256894119,50.11479261683719,-0.6141321649036635
5,600.0,0.1,10.0,-39.09539844144543,39.09391972748205,40.114891884384036,-0.6141321649036635
5,600.0,0.1,20.0,-29.10918676331956,29.09738978746457,30.115884435078677,-0.6141321649036635
5,600.0,0.1,30.0,-19.202215854949674,19.117316682299105,20.125797485707174,-0.6141321649036635
5,600.0,0.1,40.0,-9.94921299019582,9.295007890766719,10.22370303138769,-0.6141321649036635
5,600.0,0.1,45.0,-6.187878072299413,4.655983119900162,5.450278119475599,-0.6141321649036635
5,600.0,0.1,50.0,-3.664477038051139,0.5909254694945467,1.097661389063112,-0.6141321649036635
5,600.0,0.1,55.0,-2.4020643243759725,-2.4406647951898512,-2.3249449648481213,-0.6141321649036635
5,600.0,0.1,60.0,-1.8800364577713573,-4.0847729202051335,-4.395524321502647,-0.6141321649036635
5,600.0,0.1,70.0,-1.6556679297699595,-5.092758735194121,-5.669633086615499,-0.6141321649036635
5,600.0,0.1,80.0,-1.6240391277002413,-5.20593498013967,-5.820286573333517,-0.6141321649036635
