trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
12,0,sense_sinr_budgeted,0.5,0.04,0,12,0.0,0.0,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]",1.0,1.1556214999873191
13,0,proposed_c2f_adaptive_pd,1.0,0.056666666666666664,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.097472699941136
13,0,sense_sinr_budgeted,0.4,0.013333333333333334,0,12,0.0,0.0,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",1.0,1.0974912999663502
14,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.169658900005743
14,0,sense_sinr_budgeted,0.6,0.02666666666666667,0,12,0.0,0.0,"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1]",1.0,1.1696699999738485
15,0,proposed_c2f_adaptive_pd,1.0,0.06,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.094965900061652
15,0,sense_sinr_budgeted,0.4,0.03666666666666667,0,12,0.0,0.0,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",1.0,1.0949772000312805
16,0,proposed_c2f_adaptive_pd,1.0,0.06,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0950050000101328
16,0,sense_sinr_budgeted,0.5,0.006666666666666667,0,12,0.0,0.0,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]",1.0,1.0950134000740945
17,0,proposed_c2f_adaptive_pd,1.0,0.05,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1848969999700785
17,0,sense_sinr_budgeted,0.7,0.02,0,12,0.0,0.0,"[1, 0, 1, 1, 1, 0, 0, 1, 1, 1]",1.0,1.1849055999191478
18,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1096189999952912
18,0,sense_sinr_budgeted,0.5,0.03333333333333333,0,12,0.0,0.0,"[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1.0,1.1096275000600144
19,0,proposed_c2f_adaptive_pd,0.9,0.06,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1.0,1.2106895999750122
19,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",1.0,1.2106982000404969
20,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1058190000476316
20,0,sense_sinr_budgeted,0.3,0.013333333333333334,0,12,0.0,0.0,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1.0,1.1058276999974623
21,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0356668999884278
21,0,sense_sinr_budgeted,0.6,0.03333333333333333,0,12,0.0,0.0,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",1.0,1.0356759000569582
22,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1333651999011636
22,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",1.0,1.1333738999674097
23,0,proposed_c2f_adaptive_pd,0.9,0.04,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1.0,1.0830589999677613
23,0,sense_sinr_budgeted,0.5,0.03,0,12,0.0,0.0,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",1.0,1.0830678000347689
24,0,proposed_c2f_adaptive_pd,1.0,0.05,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2138148000231013
24,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",1.0,1.2138232999714091
25,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0297472999664024
25,0,sense_sinr_budgeted,0.6,0.04,0,12,0.0,0.0,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",1.0,1.029756199917756
26,0,proposed_c2f_adaptive_pd,0.9,0.056666666666666664,0,12,0.0,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2123534000711516
26,0,sense_sinr_budgeted,0.4,0.006666666666666667,0,12,0.0,0.0,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",1.0,1.2123689000727609
27,0,proposed_c2f_adaptive_pd,0.9,0.03,0,12,0.0,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9166666666666666,1.1591536999912933
27,0,sense_sinr_budgeted,0.3,0.01,0,12,0.0,0.0,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",0.5833333333333334,1.159168399986811
28,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0184064999921247
28,0,sense_sinr_budgeted,0.7,0.02,0,12,0.0,0.0,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]",1.0,1.0184147999389097
29,0,proposed_c2f_adaptive_pd,0.8,0.06,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1]",1.0,1.162315500085242
29,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",1.0,1.1623244000365958
30,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0727395000867546
30,0,sense_sinr_budgeted,0.4,0.016666666666666666,0,12,0.0,0.0,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",1.0,1.07274990004953
31,0,proposed_c2f_adaptive_pd,1.0,0.04,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1611127000069246
31,0,sense_sinr_budgeted,0.5,0.02666666666666667,0,12,0.0,0.0,"[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1.0,1.1611229000845924
32,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.085297800018452
32,0,sense_sinr_budgeted,0.6,0.02666666666666667,0,12,0.0,0.0,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]",1.0,1.0853096999926493
33,0,proposed_c2f_adaptive_pd,0.8,0.03333333333333333,0,12,0.0,0.0,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1.0,1.1429225000320002
33,0,sense_sinr_budgeted,0.4,0.02666666666666667,0,12,0.0,0.0,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1.0,1.1429308999795467
34,0,proposed_c2f_adaptive_pd,0.9,0.056666666666666664,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1.0,1.0892162999371067
34,0,sense_sinr_budgeted,0.4,0.01,0,12,0.0,0.0,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",1.0,1.0892245998838916
35,0,proposed_c2f_adaptive_pd,0.9,0.056666666666666664,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1.0,1.0700928999576718
35,0,sense_sinr_budgeted,0.4,0.006666666666666667,0,12,0.0,0.0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",1.0,1.0701011999044567
36,0,proposed_c2f_adaptive_pd,1.0,0.04,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0716899000108242
36,0,sense_sinr_budgeted,0.3,0.01,0,12,0.0,0.0,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0.8333333333333334,1.0716985000763088
37,0,proposed_c2f_adaptive_pd,0.8,0.03333333333333333,0,12,0.0,0.0,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",1.0,1.2549261000240222
37,0,sense_sinr_budgeted,0.3,0.02,0,12,0.0,0.0,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1.0,1.2549349999753758
38,0,proposed_c2f_adaptive_pd,1.0,0.04,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0803751000203192
38,0,sense_sinr_budgeted,0.6,0.03666666666666667,0,12,0.0,0.0,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 0]",1.0,1.0803844999754801
