trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
17,0,sense_sinr_budgeted,1.0,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2213019999908283
18,0,proposed_c2f_adaptive_pd,1.0,0.07333333333333333,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.5751756000099704
18,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.575215700082481
19,0,proposed_c2f_adaptive_pd,1.0,0.06,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4030068999854848
19,0,sense_sinr_budgeted,1.0,0.06666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4030258000129834
20,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.220843099988997
20,0,sense_sinr_budgeted,1.0,0.056666666666666664,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2208820999367163
21,0,proposed_c2f_adaptive_pd,1.0,0.06666666666666667,0,16,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.7861830999609083
21,0,sense_sinr_budgeted,1.0,0.04,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.786201999988407
22,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.399201299995184
22,0,sense_sinr_budgeted,1.0,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3992202000226825
23,0,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.492145200027153
23,0,sense_sinr_budgeted,1.0,0.04,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.49216400005389
24,0,proposed_c2f_adaptive_pd,1.0,0.04,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2957816000562161
24,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.295819599996321
25,0,proposed_c2f_adaptive_pd,0.9,0.06,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1.0,1.6883985000895336
25,0,sense_sinr_budgeted,0.9,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1.0,1.6884165999945253
26,0,proposed_c2f_adaptive_pd,0.9,0.06,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1.0,1.3648798000067472
26,0,sense_sinr_budgeted,1.0,0.07,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3649174000602216
27,0,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4251935000065714
27,0,sense_sinr_budgeted,1.0,0.08,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.42521240003407
28,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.5184267000295222
28,0,sense_sinr_budgeted,1.0,0.043333333333333335,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.5184454000554979
29,0,proposed_c2f_adaptive_pd,0.9,0.043333333333333335,0,20,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1.0,1.9423291999846697
29,0,sense_sinr_budgeted,0.9,0.056666666666666664,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1.0,1.9423477000091225
30,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4721677000634372
30,0,sense_sinr_budgeted,1.0,0.043333333333333335,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.472207900020294
31,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3382206000387669
31,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9666666666666667,1.3382390000624582
32,0,proposed_c2f_adaptive_pd,0.8,0.04666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",1.0,1.2865255000069737
32,0,sense_sinr_budgeted,1.0,0.04,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2865440999157727
33,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.6772382999770343
33,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.6772571000037715
34,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,18,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.9026775999227539
34,0,sense_sinr_budgeted,1.0,0.06333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.9027136999648064
35,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.7693659000797197
35,0,sense_sinr_budgeted,1.0,0.06666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.76938389998395
36,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2099833999527618
36,0,sense_sinr_budgeted,1.0,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.2100208000047132
37,0,proposed_c2f_adaptive_pd,0.9,0.03333333333333333,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.9,1.4133059999439865
37,0,sense_sinr_budgeted,0.9,0.023333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.9,1.4133423999883235
38,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1943687999155372
38,0,sense_sinr_budgeted,1.0,0.03666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1944081999827176
