split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,self_fit_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,self_fit_state_error_m,nominal_h0,self_fit_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s
test,27,150.0,3.253052296094374,149.0692203150176,16.684350591879422,267.5318688469506,5935.733070573624,5631.139722845022,5935.733070573624,6077.168465418757,150.0,18.75,150.0,18.75,2.265669503534187,2.265669503534187,3037.979563889951,2819.6753077072563,2.265669503534187,84.8281867144837,119.31962775452914,123.58485669178427,82.32615434512206,77.03492137217258,1187.0053602000698
test,35,150.0,4.019981545621667,95.75880904410076,115.45670396497314,113.12330426434241,242.7807498894269,203.64180394742627,240.56134537453056,240.1205488977438,93.75,131.25,84.375,112.5,15.920537472888784,11.761513792409467,141.9822355342445,95.79747458425213,13.841025632649124,86.97385569129796,108.88018319912385,79.35086898734536,76.69693353143799,94.60048006299235,1189.8561947001144
calibration,4,150.0,3.620224218617158,133.14390102839408,69.08474230205394,86.64853959517427,218.71932833884165,121.21808348416874,217.06727029688972,216.13039708287215,140.625,65.625,140.625,75.0,8.242369721116894,9.537143988431401,71.00942680529387,138.32365313562107,8.889756854774149,85.73647045075015,127.28596793225785,92.33096238532883,86.023707520564,93.55526442638254,1076.1745847999118
calibration,12,150.0,0.14767599154953198,-148.36735543851918,-22.070972796415532,92.66575591279923,423.254573035245,413.5690866060944,423.254573035245,425.23254595239365,-150.0,-18.75,-150.0,-18.75,3.7005930036502104,3.7005930036502104,203.9544015934614,213.76452761963859,3.7005930036502104,82.39760609258971,118.05611682495797,77.98958399551286,84.52726976276873,99.81908777360175,1094.9905187000986
calibration,20,150.0,2.9753470696755264,147.9319500201245,-24.82213051378517,307.3334943873283,8154.949697601367,8028.337019948285,8154.949697601367,8180.110194214918,150.0,-18.75,150.0,-18.75,6.414639482909696,6.414639482909696,4141.64044437817,3106.45234492409,6.414639482909696,66.96607273594358,110.71053304771493,94.59092901718314,75.6524082584431,95.93830087067357,1137.3441248999443
test,28,150.0,4.842901695907496,-19.52137720998323,148.7242946926478,257.67523017117685,5011.782168446898,5006.431227082759,5011.782168446898,5017.660213717792,-18.75,150.0,-18.75,150.0,1.4907873192672756,1.4907873192672756,2238.413849291431,2682.656298968347,1.4907873192672756,102.98757653618313,123.2000867616877,92.07938371165258,78.09051873893344,85.53848307624821,1186.7783390998375
test,36,150.0,5.6377574716422565,-119.82637196383614,90.23104001386876,287.3763636240149,1943.3715862367246,1885.546998261445,1947.7643601307793,1959.2317838908305,-112.5,84.375,-121.875,93.75,9.379175379345257,4.071849237698929,1053.2936720955493,855.442933355954,6.725512308522093,97.88168020316388,109.21236172627434,81.00780257326319,86.05908831183834,61.815391791140115,1183.1259882999584
calibration,5,150.0,0.7985468585560118,-104.66225898844232,-107.4514380705825,121.15126563207235,242.07174822021318,214.6121169754672,241.00791994291777,242.38411746912567,-103.125,-112.5,-103.125,-103.125,5.277418190053776,4.5914302320880696,111.5902199355278,119.47206577067612,4.934424211070922,71.23883867450081,107.06631367424367,66.80180874149244,68.25322817732638,74.14218671995783,1080.081720800139
calibration,13,150.0,1.6724835679360497,15.226812856737297,-149.22514590452207,371.1607163518381,1388.5733949783187,1336.0859345626998,1388.5733949783187,1412.082698819057,18.75,-159.375,18.75,-159.375,10.743946472592919,10.743946472592919,837.6173306363553,554.4448601124211,10.743946472592919,76.23472083160314,121.61849735939674,70.85280528662865,77.11738831335722,74.64945930430068,1091.6141656001564
test,21,150.0,4.49660290978988,32.117300208385984,146.52125793660252,332.7540584085204,3667.165807039748,3576.958553499495,3667.165807039748,3762.870402675646,28.125,150.0,28.125,150.0,5.295291049369213,5.295291049369213,1730.4004688258017,1848.3514733467837,5.295291049369213,77.2269608059504,138.3861895956931,177.0608930549132,110.30202760332163,73.78836772519193,1136.221936200047
