trial,delta,numerator,p_d,p_fa,n_selected,kappa_db,eta_median
12,0.001,fixed,1.0,0.07777777777777778,3,53.37791461793819,0.9716981296539242
12,0.001,own,1.0,0.07777777777777778,3,53.37791461793819,0.9781958438123701
12,0.00189,fixed,1.0,0.07777777777777778,3,50.96088069647495,0.9716981296539242
12,0.00189,own,1.0,0.07777777777777778,3,50.96088069647495,0.9814466826321178
12,0.003,fixed,1.0,0.07777777777777778,3,43.916455709763355,0.9716981296539242
12,0.003,own,1.0,0.07777777777777778,3,43.916455709763355,0.9746609355590106
13,0.0,fixed,0.6666666666666666,0.05555555555555555,5,72.24700884366732,0.999882211023845
13,0.0,own,0.6666666666666666,0.05555555555555555,5,72.24700884366732,0.9996770321349746
13,0.001,fixed,0.6666666666666666,0.044444444444444446,6,56.91546318796443,0.999882211023845
13,0.001,own,0.6666666666666666,0.044444444444444446,6,56.91546318796443,0.9999903929414655
13,0.00189,fixed,0.6666666666666666,0.05555555555555555,7,51.70455179321374,0.999882211023845
13,0.00189,own,0.6666666666666666,0.05555555555555555,7,51.70455179321374,0.9997683296667197
13,0.003,fixed,0.6666666666666666,0.044444444444444446,8,44.989580914973715,0.999882211023845
13,0.003,own,0.6666666666666666,0.044444444444444446,8,44.989580914973715,0.9999981364990796
14,0.0,fixed,0.6666666666666666,0.03333333333333333,10,68.22505574058249,0.9996408371296903
14,0.0,own,0.6666666666666666,0.03333333333333333,10,68.22505574058249,0.9996909216847322
14,0.001,fixed,1.0,0.03333333333333333,10,55.426784107435296,0.9996408371296903
14,0.001,own,1.0,0.03333333333333333,10,55.426784107435296,0.9999035994246885
14,0.00189,fixed,0.6666666666666666,0.03333333333333333,11,48.888456773685945,0.9996408371296903
14,0.00189,own,0.6666666666666666,0.03333333333333333,11,48.888456773685945,0.9995624755703276
14,0.003,fixed,0.6666666666666666,0.022222222222222223,11,48.07255941039708,0.9996408371296903
14,0.003,own,0.6666666666666666,0.022222222222222223,11,48.07255941039708,0.999810790946134
15,0.0,fixed,0.6666666666666666,0.03333333333333333,13,65.11641292195294,0.9983896817619551
15,0.0,own,0.6666666666666666,0.03333333333333333,13,65.11641292195294,0.9974982492043739
15,0.001,fixed,0.6666666666666666,0.03333333333333333,13,55.17267191226508,0.9983896817619551
15,0.001,own,0.6666666666666666,0.03333333333333333,13,55.17267191226508,0.9967001291863021
15,0.00189,fixed,0.6666666666666666,0.05555555555555555,13,49.49473385380527,0.9983896817619551
15,0.00189,own,0.6666666666666666,0.05555555555555555,13,49.49473385380527,0.9972857071291212
15,0.003,fixed,0.6666666666666666,0.03333333333333333,13,46.97816739362909,0.9983896817619551
15,0.003,own,0.6666666666666666,0.03333333333333333,13,46.97816739362909,0.9970598771982658
16,0.0,fixed,0.6666666666666666,0.07777777777777778,8,64.87468831522787,0.9978366518266173
16,0.0,own,1.0,0.1,8,64.87468831522787,0.9973808357295679
16,0.001,fixed,0.6666666666666666,0.07777777777777778,8,56.80588413459752,0.9978366518266173
16,0.001,own,0.6666666666666666,0.07777777777777778,8,56.80588413459752,0.9991480633316192
16,0.00189,fixed,0.6666666666666666,0.06666666666666667,8,51.75340571528123,0.9978366518266173
16,0.00189,own,0.6666666666666666,0.06666666666666667,8,51.75340571528123,0.9980501382707436
16,0.003,fixed,0.6666666666666666,0.06666666666666667,8,44.22195146963699,0.9978366518266173
16,0.003,own,0.6666666666666666,0.06666666666666667,8,44.22195146963699,0.999547444374502
17,0.0,fixed,1.0,0.011111111111111112,8,65.44396068003678,0.9838775117338686
17,0.0,own,1.0,0.011111111111111112,8,65.44396068003678,0.9890935224035156
17,0.001,fixed,1.0,0.0,8,54.10041125305399,0.9838775117338686
17,0.001,own,1.0,0.0,8,54.10041125305399,0.9695513674304708
17,0.00189,fixed,1.0,0.011111111111111112,8,51.966822896506855,0.9838775117338686
17,0.00189,own,1.0,0.011111111111111112,8,51.966822896506855,0.9784338974993845
17,0.003,fixed,1.0,0.0,8,47.414453610100395,0.9838775117338686
17,0.003,own,1.0,0.0,8,47.414453610100395,0.970488880877707
18,0.0,fixed,1.0,0.03333333333333333,3,76.5438418701332,0.9998253778916888
18,0.0,own,1.0,0.03333333333333333,3,76.5438418701332,0.9997622146649544
18,0.001,fixed,1.0,0.03333333333333333,3,57.1569812883336,0.9998253778916888
18,0.001,own,1.0,0.03333333333333333,3,57.1569812883336,0.9996941910028587
18,0.00189,fixed,1.0,0.044444444444444446,4,50.267784416464664,0.9998253778916888
18,0.00189,own,1.0,0.044444444444444446,4,50.267784416464664,0.9999618125117227
18,0.003,fixed,1.0,0.022222222222222223,7,44.77867051803781,0.9998253778916888
18,0.003,own,1.0,0.022222222222222223,7,44.77867051803781,0.9997625215832063
19,0.0,fixed,1.0,0.05555555555555555,8,67.17708400430759,0.9997709864874189
19,0.0,own,1.0,0.05555555555555555,8,67.17708400430759,0.9998241473145387
19,0.001,fixed,1.0,0.06666666666666667,9,54.737766956642965,0.9997709864874189
19,0.001,own,1.0,0.06666666666666667,9,54.737766956642965,0.9995225768348666
19,0.00189,fixed,0.6666666666666666,0.044444444444444446,9,53.04186135072905,0.9997709864874189
19,0.00189,own,0.6666666666666666,0.044444444444444446,9,53.04186135072905,0.9997844382983359
19,0.003,fixed,1.0,0.06666666666666667,11,47.85778553818913,0.9997709864874189
19,0.003,own,1.0,0.06666666666666667,11,47.85778553818913,0.9998406981108421
