trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets
40,1,1.2420354621193657,1.2420354621193657,1.2420354621193657,0.0,0.0,0.0,10752,736164,0.825222564884208,0.8251987176320756,1,1,"[2, 0]","[[[0, 2], [2, 3], [3, 2]], [[1, 0]]]","[2, 1]","[[[3, 2], [2, 3], [0, 2]], [[0, 1]]]"
40,2,1.2420354621193657,1.2420354621193657,1.2420354621193657,0.0,0.0,0.0,46056,736164,0.825222564884208,0.8251987176320756,1,1,"[2, 0]","[[[0, 2], [2, 3], [3, 2]], [[1, 0]]]","[2, 1]","[[[3, 2], [2, 3], [0, 2]], [[0, 1]]]"
40,4,1.2420354621193657,1.2420354621193657,1.2420354621193657,0.0,0.0,0.0,118436,736164,0.825222564884208,0.8251987176320756,1,1,"[2, 0]","[[[0, 2], [2, 3], [3, 2]], [[1, 0]]]","[2, 1]","[[[3, 2], [2, 3], [0, 2]], [[0, 1]]]"
41,0,1.4976293789951252,1.4976293789951252,1.4976293789951252,0.0,0.0,0.0,912,186624,0.8822623343679556,0.8851428453860716,0,0,"[0, 3]","[[[1, 0]], [[0, 3], [1, 3], [2, 3]]]","[3, 3]","[[[0, 3]], [[1, 3], [0, 3], [2, 3]]]"
41,1,1.7065052152214217,1.7065052152214217,1.7065052152214217,0.0,0.0,0.0,7800,186624,0.9489884157914095,0.9518689268095253,1,1,"[0, 3]","[[[1, 0]], [[0, 3], [1, 3], [3, 1]]]","[3, 3]","[[[0, 3]], [[1, 3], [3, 1], [0, 3]]]"
41,2,1.7065052152214217,1.7065052152214217,1.7065052152214217,0.0,0.0,0.0,24798,186624,0.9489884157914095,0.9518689268095253,1,1,"[0, 3]","[[[1, 0]], [[0, 3], [1, 3], [3, 1]]]","[3, 3]","[[[0, 3]], [[1, 3], [3, 1], [0, 3]]]"
41,4,1.7065052152214217,1.7065052152214217,1.7065052152214217,0.0,0.0,0.0,45728,186624,0.9489884157914095,0.9518689268095253,1,1,"[0, 3]","[[[1, 0]], [[0, 3], [1, 3], [3, 1]]]","[3, 3]","[[[0, 3]], [[1, 3], [3, 1], [0, 3]]]"
42,0,0.8856125315136011,0.8856125315136011,0.8856125315136011,0.0,0.0,0.0,912,158404,0.7470598716955674,0.747077067921541,0,0,"[2, 0]","[[[0, 2], [1, 2], [3, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2], [0, 2]], [[0, 3]]]"
42,1,0.8856125315136011,0.8856125315136011,0.8856125315136011,0.0,0.0,0.0,6816,158404,0.7470598716955674,0.747077067921541,0,0,"[2, 0]","[[[0, 2], [1, 2], [3, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2], [0, 2]], [[0, 3]]]"
42,2,0.8856125315136011,0.8856125315136011,0.8856125315136011,0.0,0.0,0.0,20784,158404,0.7470598716955674,0.747077067921541,0,0,"[2, 0]","[[[0, 2], [1, 2], [3, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2], [0, 2]], [[0, 3]]]"
42,4,0.8856125315136011,0.8856125315136011,0.8856125315136011,0.0,0.0,0.0,38229,158404,0.7470598716955674,0.747077067921541,0,0,"[2, 0]","[[[0, 2], [1, 2], [3, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2], [0, 2]], [[0, 3]]]"
43,0,-0.05371062851305847,-0.05371062851305847,-0.0537106285130588,0.0,3.3306690738754696e-16,3.3306690738754696e-16,912,736164,0.5717565310678454,0.5717565310678453,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[1, 0]]]","[1, 0]","[[[3, 1], [0, 1], [2, 1]], [[1, 0]]]"
43,1,0.03639262227804598,0.03639262227804598,-0.012607918270672402,0.0,0.049000540548718385,0.049000540548718385,10752,736164,0.588619187324409,0.5799346922083282,1,1,"[1, 0]","[[[0, 1], [1, 3], [3, 1]], [[1, 0]]]","[1, 0]","[[[3, 1], [0, 1], [1, 0]], [[1, 0]]]"
43,2,0.03639262227804598,0.03639262227804598,0.03639262227804587,0.0,1.1102230246251565e-16,1.1102230246251565e-16,46056,736164,0.588619187324409,0.588619187324409,1,1,"[1, 0]","[[[0, 1], [1, 3], [3, 1]], [[1, 0]]]","[1, 0]","[[[3, 1], [1, 3], [0, 1]], [[1, 0]]]"
43,4,0.03639262227804598,0.03639262227804598,0.03639262227804587,0.0,1.1102230246251565e-16,1.1102230246251565e-16,118436,736164,0.588619187324409,0.588619187324409,1,1,"[1, 0]","[[[0, 1], [1, 3], [3, 1]], [[1, 0]]]","[1, 0]","[[[3, 1], [1, 3], [0, 1]], [[1, 0]]]"
44,0,1.5906256109138663,1.5906256109138663,1.5906256109138661,0.0,2.220446049250313e-16,2.220446049250313e-16,912,10000,0.9112158964133421,0.9112272398770711,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[2, 0]]]","[1, 2]","[[[3, 1], [2, 1], [0, 1]], [[0, 2]]]"
44,1,1.5906256109138663,1.5906256109138663,1.5906256109138661,0.0,2.220446049250313e-16,2.220446049250313e-16,2880,10000,0.9112158964133421,0.9112272398770711,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[2, 0]]]","[1, 2]","[[[3, 1], [2, 1], [0, 1]], [[0, 2]]]"
44,2,1.5906256109138663,1.5906256109138663,1.5906256109138661,0.0,2.220446049250313e-16,2.220446049250313e-16,4584,10000,0.9112158964133421,0.9112272398770711,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[2, 0]]]","[1, 2]","[[[3, 1], [2, 1], [0, 1]], [[0, 2]]]"
44,4,1.5906256109138663,1.5906256109138663,1.5906256109138661,0.0,2.220446049250313e-16,2.220446049250313e-16,5212,10000,0.9112158964133421,0.9112272398770711,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[2, 0]]]","[1, 2]","[[[3, 1], [2, 1], [0, 1]], [[0, 2]]]"
45,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,361201,0.9773419548083667,0.9778768030018061,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[3, 0]]]","[3, 3]","[[[1, 3], [0, 3]], [[0, 3]]]"
45,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,8784,361201,0.9773419548083667,0.9778768030018061,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[3, 0]]]","[3, 3]","[[[1, 3], [0, 3]], [[0, 3]]]"
45,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,31944,361201,0.9773419548083667,0.9778768030018061,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[3, 0]]]","[3, 3]","[[[1, 3], [0, 3]], [[0, 3]]]"
45,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,69889,361201,0.9773419548083667,0.9778768030018061,0,0,"[3, 0]","[[[0, 3], [1, 3]], [[3, 0]]]","[3, 3]","[[[1, 3], [0, 3]], [[0, 3]]]"
46,0,0.06664415353492709,0.06664415353492709,0.06664415353492675,0.0,3.3306690738754696e-16,3.3306690738754696e-16,912,361201,0.5920396612084338,0.5920649100983953,0,0,"[1, 1]","[[[2, 1]], [[0, 1], [2, 1], [3, 1]]]","[2, 1]","[[[1, 2]], [[2, 1], [3, 1], [0, 1]]]"
46,1,0.08876136505566987,0.08876136505566987,0.02031341192443755,0.0,0.06844795313123231,0.06844795313123231,8784,361201,0.596946281103898,0.5847706626317867,1,1,"[1, 1]","[[[2, 1]], [[1, 2], [2, 1], [3, 1]]]","[2, 1]","[[[1, 2]], [[3, 1], [0, 1], [1, 3]]]"
46,2,0.08876136505566987,0.08876136505566987,0.02031341192443755,0.0,0.06844795313123231,0.06844795313123231,31944,361201,0.596946281103898,0.5847706626317867,1,1,"[1, 1]","[[[2, 1]], [[1, 2], [2, 1], [3, 1]]]","[2, 1]","[[[1, 2]], [[3, 1], [0, 1], [1, 3]]]"
46,4,0.08876136505566987,0.08876136505566987,0.02031341192443755,0.0,0.06844795313123231,0.06844795313123231,69889,361201,0.596946281103898,0.5847706626317867,1,1,"[1, 1]","[[[2, 1]], [[1, 2], [2, 1], [3, 1]]]","[2, 1]","[[[1, 2]], [[3, 1], [0, 1], [1, 3]]]"
47,0,-0.16212368041882708,-0.16212368041882708,-0.16212368041882708,0.0,0.0,0.0,912,118336,0.46540944151961117,0.46540944151961117,0,0,"[2, 0]","[[[1, 2]], [[1, 0], [2, 0], [3, 0]]]","[2, 0]","[[[1, 2]], [[3, 0], [1, 0], [2, 0]]]"
