trial,m_rx,coll_mean,coll_max,coll_frac_gt1,rinr_median,gamma_mean,p_d,p_fa,n_selected
0,8,1.0271522067564833,2.875923346662139,0.14761904761904762,8.383940019267344,0.127180433009952,0.5,0.02666666666666667,34
1,8,1.0277067713522294,2.036715930408889,0.13238095238095238,7.127663230445735,0.12676138760247344,0.6,0.056666666666666664,33
2,8,1.0168532626935434,1.9998703723330697,0.11238095238095239,9.125736245862612,0.08430336805713481,0.6,0.04,31
3,8,1.0349065411311862,1.9963831742533062,0.17809523809523808,6.717314752121419,0.15130853845752737,0.6,0.04,25
4,8,1.0340625715830578,1.9981996750179465,0.1,7.400221246660456,0.10530672053576356,0.6,0.06333333333333334,29
5,8,1.038904322048263,2.3875500762943487,0.1961904761904762,6.087506019246576,0.09018056013180861,0.4,0.056666666666666664,37
6,8,1.019377928432464,2.479985860412167,0.10285714285714286,8.423467775980335,0.43104277078890146,0.5,0.043333333333333335,37
7,8,1.0210384305732458,1.999503350073046,0.10285714285714286,8.544170674804636,0.048811690523114036,0.3,0.06,41
8,8,1.013248653784495,2.585188113817979,0.08952380952380952,5.6871300403346625,0.07413652428782555,0.5,0.04666666666666667,34
9,8,1.0332129205167042,2.4607853555936363,0.17904761904761904,5.60801721749811,0.33890312503531245,1.0,0.05333333333333334,24
10,8,1.0353448643516148,2.2883140329129934,0.13523809523809524,10.388355708726415,0.10558251312039951,0.6,0.043333333333333335,35
11,8,1.0307800435389929,1.9959401155771617,0.1438095238095238,6.292981686985669,0.21717433258518085,0.7,0.06666666666666667,27
12,8,1.0130495974367149,1.996746082169899,0.13428571428571429,9.075234754491728,0.16199517182009415,0.6,0.04666666666666667,23
13,8,1.033544096056321,1.9999291333479223,0.11047619047619048,8.268381568331055,0.1408291540883152,0.8,0.06666666666666667,25
14,8,1.0646712868067663,2.927058410293197,0.16095238095238096,6.85725521089944,0.3757626613641947,0.5,0.05,43
15,8,1.0373932392135954,1.999062274231844,0.12380952380952381,4.558343117870085,0.09305293517794902,0.8,0.056666666666666664,31
16,8,1.0331812892298222,2.626302252038898,0.1361904761904762,6.440916603885829,0.11473804639139368,0.6,0.04666666666666667,36
17,8,1.0480437309600092,2.019043709475495,0.18285714285714286,5.932272734053594,0.1186200210009446,0.6,0.06333333333333334,33
18,8,1.0094568068523861,1.9473149110846177,0.10666666666666667,9.407070388663842,0.14636098129389125,0.7,0.05,37
19,8,1.0286819181103999,2.807006108090144,0.1819047619047619,6.554165014993076,0.6087192305958415,0.4,0.043333333333333335,41
0,16,1.012006759254588,2.552807294877956,0.14761904761904762,8.383940019267344,0.129556730714292,0.5,0.02666666666666667,34
1,16,1.0173744560435398,1.9867932055579172,0.13238095238095238,7.127663230445735,0.12706060291351604,0.6,0.056666666666666664,33
2,16,1.00568593943048,1.999475399494879,0.11238095238095239,9.125736245862612,0.08454103241481886,0.6,0.04,31
3,16,1.0166808994191454,1.985424948173364,0.17809523809523808,6.717314752121419,0.15207925232067562,0.6,0.04,25
4,16,1.0175145873097264,1.992728954891486,0.1,7.400221246660456,0.10615831654551182,0.6,0.06333333333333334,29
5,16,1.0126450026285634,1.9946306749019787,0.1961904761904762,6.087506019246576,0.09069403501376917,0.4,0.056666666666666664,37
6,16,1.0084115366742796,1.9536648610941882,0.10285714285714286,8.423467775980335,0.43201514458216683,0.5,0.043333333333333335,37
7,16,1.0120979789845652,1.9979909672103986,0.10285714285714286,8.544170674804636,0.049132708516211564,0.3,0.06,41
8,16,1.0077157332239,2.0411898703284725,0.08952380952380952,5.6871300403346625,0.07428972714249808,0.5,0.04666666666666667,34
9,16,1.0148190218312343,1.890835214991374,0.17904761904761904,5.60801721749811,0.3407100900795366,1.0,0.04666666666666667,24
10,16,1.0129344106310811,2.030004164158556,0.13523809523809524,10.388355708726415,0.10587671648939345,0.6,0.04,35
11,16,1.0127826692629893,1.9836483706010557,0.1438095238095238,6.292981686985669,0.21825207402568733,0.7,0.06333333333333334,27
12,16,1.005807717263744,1.9868815758326046,0.13428571428571429,9.075234754491728,0.16245455029281627,0.6,0.04666666666666667,23
13,16,1.0179513923809116,1.9997131835688753,0.11047619047619048,8.268381568331055,0.14178237646506664,0.8,0.06333333333333334,25
14,16,1.0346817305922944,2.730387024127003,0.16095238095238096,6.85725521089944,0.3765799551769079,0.5,0.056666666666666664,43
15,16,1.0209134994297568,1.9962087809942126,0.12380952380952381,4.558343117870085,0.09364878913731606,0.8,0.056666666666666664,31
16,16,1.016163631642487,1.9941317751587981,0.1361904761904762,6.440916603885829,0.11547694737555116,0.6,0.04666666666666667,36
17,16,1.0249800149429864,2.008851224173294,0.18285714285714286,5.932272734053594,0.12029002199389839,0.6,0.06333333333333334,33
