split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,crossfit_map_h1
calibration,17,30.0,11.986038651637077,254.83642435958077,13.668228582046837,161.6636606033959,10.539628090606204,252.4392177916279
calibration,18,30.0,18.15372587711824,109.02455046750163,15.84142862808731,113.1631775357077,16.919593428298903,112.87969991055708
calibration,19,30.0,11.267261889260435,16.918797333418674,13.634392930501349,21.751644198250464,11.501568771125296,15.692228989719595
calibration,20,30.0,11.177025781712363,23.04411072222641,10.807514640286598,21.70165101896488,12.953572292049095,21.665493923706457
calibration,21,30.0,15.90909108168066,27.5975232000377,16.035657935509906,35.95144212164007,14.97538147933841,27.0058232122055
calibration,22,30.0,13.122460833643899,108.29622360950225,13.314107703838207,108.94502531401346,13.51188183786461,108.87637197047432
calibration,23,30.0,9.588323558766277,25.73288859617189,9.443832632160312,27.088315878490953,8.80669337310459,26.037299165591726
calibration,24,30.0,11.075356513434478,9.151565852939127,9.883080029580249,8.881461711609493,10.555492716143032,7.932723413956633
calibration,25,30.0,10.223869419515383,118.51790060731508,11.283717298248508,366.97566404162365,10.419613307562827,116.38416792834062
calibration,26,30.0,18.5988798114914,24.2767304662907,20.289514849290693,27.06765568927366,18.597156580771816,24.019030176401177
calibration,27,30.0,23.43186289961755,22.569113977753577,22.677719047144983,24.862066948095787,23.02255695797659,22.29252682827187
calibration,28,30.0,14.310824531545643,12.44777517710088,10.805624864569433,16.233862597902387,12.607450933051439,13.455712729605082
calibration,29,30.0,7.9395324139395544,9.583139733607627,8.570890173545425,10.297194166322937,8.055806434800107,9.505705998253024
calibration,30,30.0,16.341963213320184,24.293420334636842,16.252248218826683,25.129187735614423,15.786674114192083,24.7305409767049
calibration,31,30.0,10.227709413808306,12.409676378556032,10.685892163799963,12.078252444199746,10.59350930021154,12.206285752367416
calibration,32,30.0,11.138566660068253,12.852657492315034,11.986436669080408,14.502303839187693,11.190097678644747,12.888295783250843
calibration,33,30.0,12.673186005826281,29.43171190489503,13.126221706623149,29.464685356429605,12.720611883352525,29.521393744586746
calibration,34,30.0,13.681533949999338,36.72121083839032,12.385528885191203,30.539863457651343,11.48236899348279,32.53731286981889
calibration,35,30.0,26.327350484303814,14.916531429012064,26.46742381520643,15.415873436228965,26.27907683468913,14.54200033647221
calibration,36,30.0,10.751350488640824,30.1278309045465,10.238995720721947,30.448239935737284,10.375033140928117,30.074828801446614
calibration,37,30.0,9.526783227035398,11.821402500010695,10.727205332537654,13.81962497792113,9.707762567580616,12.470399588303854
calibration,38,30.0,10.454607130512613,20.992969741859532,11.75743614055658,19.28026329365907,10.075607686233731,20.018465191130623
calibration,39,30.0,22.694644896249123,10.615974332796835,22.77304785108944,10.693526577688083,22.858056737119497,10.711291254191122
calibration,40,30.0,9.308008179700787,11.961100151571713,11.067920585781412,68.70857641706597,10.527606717416077,12.334149720757537
test,41,30.0,9.735458456297215,12.034716258887254,9.675468322965846,12.341619799396764,9.816653254226892,11.707994036414338
test,42,30.0,9.472746485932223,20.06677383886597,9.452578962548781,21.193095552352,9.967429584950082,19.52457973288857
test,43,30.0,7.487481991757677,18.601389695209974,7.97520841039346,18.100163376444755,7.559478272489214,18.62064942428144
test,44,30.0,15.084763755243292,20.663798574849096,15.669880233864582,19.40149867506541,15.27069295838497,20.693840861311866
test,45,30.0,12.588923537164344,16.410593171948904,12.547417421625982,16.35460220666198,12.514856895512445,16.45823528811673
test,46,30.0,19.99188506963307,15.811540256831629,19.034891044742757,15.8367910434161,19.046904997926802,16.128651823391273
test,47,30.0,17.493134580956905,25.615004506646535,16.08005414208545,26.703116552270817,16.942888900639115,26.02135643489369
test,48,30.0,14.429207853760246,12.328604573322506,14.989472006000637,12.220458003312453,14.445538204612689,12.272627196788111
test,49,30.0,11.24298207728468,28.094329163446773,10.626945732844984,29.612490028409933,11.236400018535324,27.897750926715062
test,50,30.0,11.234102920481671,12.29722628937089,10.996056975716876,11.6168178737144,11.002517478830892,12.183137583235883
test,51,30.0,10.007113383755726,21.257870965333012,9.234789672933815,20.666604069330813,10.015891292319974,20.50777575632322
