m_rx,delta_bw,delta_u,rho,rho_analytic,kind,q,r,dd_sep_bins,du_x,du_y,rho_weighted_x,rho_weighted_y,rho_median,n_templates
,,,,,pair,4,5,0.24237079998782196,0.10174290972694053,0.11911840521235384,,,,
,,,,,pair,4,6,0.18599495743626737,0.61473757417532,1.2202998206021012,,,,
,,,,,pair,4,7,0.44440847989514776,0.8815372296280316,0.10789394010894549,,,,
,,,,,pair,5,9,0.24639790547325546,0.11691023843385745,0.4547789593914815,,,,
,,,,,pair,7,8,0.45504500823143657,1.5852029967975578,0.06220179636092232,,,,
,,,,,pair,0,2,0.24895793788492604,0.10688846793887252,0.27501618387868,,,,
,,,,,pair,0,4,0.23324496190924915,0.08790975705628423,1.0965026495322665,,,,
,,,,,pair,1,7,0.40624381011328836,0.09058140633248224,0.2828252875247178,,,,
,,,,,pair,1,8,0.230959592449135,0.03555545642042707,0.9430148628039887,,,,
,,,,,pair,3,8,0.46255448966641155,0.4447944949387407,0.9897696128098921,,,,
,,,,,pair,6,8,0.24529080657413238,0.14144501942127624,0.47887096916196403,,,,
,,,,,pair,7,8,0.2755384935094778,0.1261368627529093,0.6601895752792709,,,,
,,,,,pair,3,5,0.3516838707895271,0.68021373855188,0.6461569500469732,,,,
,,,,,pair,3,8,0.1467582602467905,0.24160991828441314,0.2750759354635902,,,,
,,,,,pair,4,7,0.49847291309745423,0.5889100914026602,0.12978141189501946,,,,
,,,,,pair,5,7,0.39684186918258213,0.4529733590000961,0.20923418231923718,,,,
,,,,,pair,5,9,0.4249367996722304,0.030582048395522088,0.22206386666511257,,,,
,,,,,pair,1,8,0.3235502247511852,0.5342653820172891,0.835027056812331,,,,
,,,,,pair,2,4,0.12465541362920884,0.008818648113026684,0.3671283630643758,,,,
,,,,,pair,2,5,0.4177774120188936,0.8440580354791503,0.04092753093292467,,,,
,,,,,pair,3,5,0.36374694384614337,0.06257918248400073,0.7757513873636239,,,,
,,,,,pair,4,6,0.23675211269012664,0.7130596600109522,0.09205410445760358,,,,
,,,,,pair,8,9,0.34546537610556394,0.9424782290736515,0.7544592273798538,,,,
,,,,,pair,0,3,0.32748552919452756,0.18610560908794596,0.16335246222360056,,,,
,,,,,pair,0,7,0.41034544645097726,0.22078680941564421,1.062593911395863,,,,
,,,,,pair,0,8,0.08954988293020483,0.2839517985642698,0.3290928754968045,,,,
,,,,,pair,1,3,0.44584760856476535,0.5614711010160782,0.6890574982829322,,,,
,,,,,pair,1,6,0.3417730730548918,0.15149681771037737,0.17595819422789788,,,,
,,,,,pair,2,4,0.10126839282776334,0.5103556300935312,0.1333014558299062,,,,
,,,,,pair,2,6,0.31423618539853937,0.3517911439535287,0.16377137924995014,,,,
,,,,,pair,4,6,0.4101445579251113,0.15856448614000251,0.2970728350798564,,,,
,,,,,pair,4,8,0.30292536414422866,0.6663849589220272,0.050286055701973975,,,,
,,,,,pair,4,9,0.19422955033500955,0.3943552326896821,0.4193954486120853,,,,
,,,,,pair,5,7,0.22616264555701138,0.35159850587690333,0.13267493411712766,,,,
,,,,,pair,6,7,0.3274680333799376,0.003081864802110701,0.386142145117228,,,,
,,,,,pair,6,9,0.36959388283266736,0.23579074654967958,0.7164682836919416,,,,
,,,,,pair,7,9,0.4065443063738876,0.23270888174756887,1.1026104288091696,,,,
,,,,,pair,0,3,0.16177464121215257,0.0844388411483934,0.2255029506389213,,,,
,,,,,pair,0,7,0.4691504028688871,0.3863391185949878,0.3731053720427696,,,,
,,,,,pair,1,5,0.2479757897057855,0.42775562630569475,0.3252076588879004,,,,
,,,,,pair,3,4,0.4254308810630354,1.7287166003612504,0.34472670647897474,,,,
,,,,,pair,5,7,0.49347638109561753,0.366633167056012,0.8442758623025369,,,,
,,,,,pair,5,8,0.2010397529380616,0.21098070670859254,0.9730302217267447,,,,
,,,,,pair,0,3,0.028384187337148425,1.1148715187117306,0.14617110037686987,,,,
,,,,,pair,1,5,0.19896543585668058,0.424954251155126,0.0077756208794529935,,,,
,,,,,pair,2,4,0.4830912022832554,0.27178678472701856,0.5282099162851752,,,,
,,,,,pair,3,6,0.4595899461575286,1.0829333212908663,0.1835197227335339,,,,
,,,,,pair,4,8,0.08488555593433311,1.2731602623336777,0.4678651761106719,,,,
,,,,,pair,5,8,0.2715275119507874,0.425358004132912,0.9548902496847436,,,,
,,,,,pair,8,9,0.30487152699017983,0.3055637066592841,0.42059563233733166,,,,
,,,,,pair,0,3,0.339948596521783,0.2563471748104402,0.9077489327374948,,,,
,,,,,pair,0,7,0.4142633956092707,0.5420920741101041,0.17444614071111558,,,,
,,,,,pair,0,8,0.3474803962132116,0.07593706501266234,0.10036170471288908,,,,
,,,,,pair,1,8,0.16871152740180761,0.7051985756843241,0.1892535641561337,,,,
,,,,,pair,2,8,0.08925370565929835,0.43034378914840143,0.08739688153808989,,,,
,,,,,pair,2,9,0.3433807545049201,0.5447578071458935,0.24256438167611483,,,,
,,,,,pair,3,4,0.41377056614958774,0.04155060997719334,1.297204496029836,,,,
,,,,,pair,4,7,0.3264908157622477,0.32729550927685713,0.5639017040034566,,,,
,,,,,pair,4,8,0.4633292447503645,0.13885949982058454,0.289093858579452,,,,
,,,,,pair,0,4,0.36739611365564606,0.40448424054923904,0.10469198717888156,,,,
,,,,,pair,1,2,0.39793497096381714,0.165445315397465,0.9344814571920688,,,,
,,,,,pair,1,6,0.1219237077678832,0.2495547950945614,0.9699653024209014,,,,
,,,,,pair,3,4,0.3034211078795328,0.37815345252874566,0.3733088968894721,,,,
,,,,,pair,3,5,0.3183803294658174,0.3737112842103128,0.2628104034754495,,,,
,,,,,pair,1,2,0.45419780455695413,0.45151094682960174,0.47170257740181093,,,,
,,,,,pair,1,4,0.4414469069771192,0.42833266747342624,0.35204105465601354,,,,
,,,,,pair,2,8,0.13725874552246786,0.04716188187167636,0.378366221064981,,,,
,,,,,pair,3,7,0.48123063932111787,0.5843769777528256,0.5049545306337689,,,,
,,,,,pair,4,7,0.39197893322110744,0.18424830628300923,0.97037196639376,,,,
,,,,,pair,5,7,0.24148035082114117,0.062443806282041464,0.8496489520407974,,,,
,,,,,pair,5,9,0.26180121815527313,0.5434935407319071,0.04200933918279737,,,,
,,,,,pair,7,9,0.30953355295606233,0.6059373470139486,0.8916582912235947,,,,
,,,,,pair,0,1,0.17738402722104607,0.20201432889988552,0.03847931411791383,,,,
,,,,,pair,0,2,0.36359955291509194,0.5989940966315006,0.6835513929015675,,,,
,,,,,pair,0,3,0.45168216017979823,0.03451295803820864,0.9686909446172455,,,,
,,,,,pair,1,5,0.4497011018435999,0.33345478617284996,0.853708193060422,,,,
,,,,,pair,2,4,0.18197213754667185,0.5889285348095912,0.37471752907788286,,,,
,,,,,pair,2,5,0.38812979133391945,0.06352498155876518,0.13167748604094054,,,,
,,,,,pair,2,6,0.4366245659551615,0.44428586763654654,0.6512071640259409,,,,
,,,,,pair,3,6,0.33754214857822795,0.12019527095674548,0.9363467157416189,,,,
,,,,,pair,4,6,0.2078113214944599,0.14464266717304458,1.025924693103824,,,,
,,,,,pair,4,9,0.17133986854911232,0.5125774715619948,0.9391177653306326,,,,
,,,,,pair,5,6,0.4217008746840465,0.38076088607778136,0.7828846500668816,,,,
,,,,,pair,0,6,0.2912352684095445,0.1512259691405733,0.026962390439369807,,,,
,,,,,pair,1,6,0.1499938564248593,0.21302225626105575,0.5825415167905914,,,,
,,,,,pair,1,8,0.2903380341984234,0.02763101532667178,0.015229800883644673,,,,
,,,,,pair,2,5,0.31350844389315746,0.2253755495209125,0.438994947672373,,,,
,,,,,pair,3,6,0.2918364281801604,0.151116440776222,0.039086978829279605,,,,
,,,,,pair,4,5,0.43807229679608595,0.8293732872284523,0.17672279385795286,,,,
,,,,,pair,4,7,0.08771305852404265,0.4775147133164649,0.8324464804157795,,,,
,,,,,pair,4,8,0.26125979105990504,0.7150952847458087,0.1681376436404859,,,,
,,,,,pair,5,6,0.3587740127427712,0.126375269105084,0.5587265656894798,,,,
,,,,,pair,5,8,0.34595448171029375,0.11427800248264353,0.008585150217466975,,,,
,,,,,pair,5,9,0.24784838206776438,0.3349381604197026,0.5225939060161245,,,,
,,,,,pair,6,8,0.3511244867059906,0.24065327158772754,0.5673117159069467,,,,
,,,,,pair,1,8,0.15800047031195663,0.7769346021730209,0.5078603473450536,,,,
,,,,,pair,2,8,0.31921284344951584,0.3161287128948438,0.955154035804006,,,,
,,,,,pair,3,7,0.08904371322297688,0.23285527234900555,0.025073214489887308,,,,
,,,,,pair,3,9,0.4908559968901931,0.5304950531500876,0.7465571020337307,,,,
,,,,,pair,4,5,0.24270357444944324,0.40808379027556163,0.4120930130129766,,,,
,,,,,pair,5,9,0.35980880413836314,0.0325982332854462,0.1615867025856123,,,,
,,,,,pair,0,2,0.3073165175499888,1.675553363788929,0.7715434712642949,,,,
,,,,,pair,0,3,0.2219849458845351,1.0684037114775289,0.14595231820562418,,,,
,,,,,pair,1,6,0.3057788741591996,0.061817735178162636,0.13998444775031305,,,,
,,,,,pair,2,4,0.4949946886826684,1.45755310993819,0.7349097745943138,,,,
,,,,,pair,1,9,0.39376916614070523,0.3120093789219794,1.3259746319727816,,,,
,,,,,pair,5,9,0.46769395328546404,0.6446312047531111,0.46669732076736925,,,,
,,,,,pair,7,8,0.17561530602223896,0.027823071479751715,0.04376021153000137,,,,
,,,,,pair,1,3,0.3878594151221302,0.03837894620067439,0.18637848041369784,,,,
,,,,,pair,1,6,0.27176070086762394,0.8552480040144179,0.34144913739858107,,,,
,,,,,pair,2,9,0.4721392938041582,0.582848347884016,0.8314709447267356,,,,
,,,,,pair,3,6,0.3257598202946621,0.8168690578137435,0.5278276178122789,,,,
,,,,,pair,4,6,0.48091671445769313,0.3702569127952644,0.8976565251515483,,,,
