experiment,frac_l,frac_k,eta_c_analytic,eta_c_psf,eta_loc_analytic,eta_loc_psf
waveform_check,-0.23844695368820001,0.20084088950085544,0.7223890803720427,0.7228154214029757,0.8950258204515478,0.895025820451547
waveform_check,-0.2721080210926423,-0.006889677015119222,0.7788224826947402,0.7790233726291662,0.9235687271242421,0.9235687271242399
waveform_check,0.08002845302055617,-0.31109363524554157,0.7044728504600803,0.7046862887578482,0.8996088038020837,0.8996088038020847
waveform_check,0.23124065835844465,0.04848306462463026,0.8295611503392953,0.8300406043586401,0.9385722091977805,0.938572209197781
waveform_check,0.12150325962593767,-0.1278556832031701,0.9022365830184926,0.9017859724704779,0.9619145175612798,0.9619145175612793
waveform_check,-0.07980674007936617,-0.005170322082943768,0.9791351680998087,0.979045899450397,0.9918805266695252,0.991880526669525
waveform_check,-0.03002908759383016,0.17563922284962308,0.8998677334855718,0.8995125745942999,0.9624758205940975,0.9624758205940986
waveform_check,0.0771775044961992,-0.0837293570075337,0.9581493629929844,0.9581022034606378,0.9836646460802349,0.9836646460802351
waveform_check,-0.498197646393181,0.2940310607755042,0.3045389732331255,0.3048798269660887,0.7824724364749589,0.7824724364749592
waveform_check,0.01938422114433558,-0.17345533618873,0.9037374500020832,0.9042820193196647,0.9642626385888055,0.9642626385888061
waveform_check,-4.4977588806061064e-05,-0.40655406650538195,0.5616743809838818,0.5609925932130746,0.8723052376038447,0.8723052376038435
waveform_check,0.40470407255335283,0.48973616758450345,0.23835718497481673,0.2379788025711023,0.747687464701556,0.7476874647015558
waveform_check,-0.44126478248441703,-0.1417687814086186,0.47045890409496316,0.4708556048797178,0.842753875829589,0.842753875829589
waveform_check,0.23006457781908352,-0.1857618687821173,0.7466856005324799,0.7465911582894612,0.903884081051547,0.9038840810515469
waveform_check,0.06704975836444893,-0.08342903768497012,0.9629405758938909,0.9631978460970051,0.985652148671232,0.9856521486712323
waveform_check,0.2742121576308749,0.45846440096403385,0.36766331576768035,0.3685001894164863,0.7941994179368352,0.7941994179368352
waveform_check,0.3883954263166767,0.1209354652000495,0.5644618294024091,0.5651439075717921,0.8621812942781999,0.8621812942782019
waveform_check,-0.3397256873319302,0.44706208331166275,0.33207832187046826,0.3320118541354948,0.7722706023628539,0.772270602362855
waveform_check,-0.47636757132822394,-0.20229054357913856,0.38738645955956513,0.3881552947873602,0.8180836800898218,0.818083680089821
waveform_check,-0.2183865068994042,0.1718259817227047,0.7729564265074023,0.7732921513484419,0.9137725827471177,0.913772582747118
waveform_check,-0.012636933927488547,-0.40711145124255277,0.5604343749685937,0.5606808336875002,0.8721155343120821,0.8721155343120818
waveform_check,-0.48714211225506965,0.10431574677363786,0.4112221152379473,0.41161888281355286,0.8452899117278275,0.8452899117278287
waveform_check,-0.008516667659073884,0.10138212134040114,0.9664090567327821,0.9666376926290744,0.9871487170740094,0.9871487170740093
waveform_check,0.06402386386553449,0.39045910829968,0.5810370196130327,0.581881506717141,0.8728316403041402,0.8728316403041396
waveform_check,0.41839685787059677,-0.311742838897635,0.389115259117382,0.38946417178840315,0.788053874206476,0.7880538742064754
waveform_check,0.4421208694705342,0.28772662632278356,0.37887547179694575,0.3789066113258115,0.7917491204270752,0.7917491204270748
waveform_check,0.13902625222296638,0.15960726749094933,0.8619841976357208,0.8616742398763927,0.946636130146659,0.9466361301466595
waveform_check,0.04606022990064251,0.4172632996428407,0.5397202550703782,0.5402501795964849,0.8672187851878719,0.8672187851878722
waveform_check,-0.26673679379986126,0.09931599226958088,0.7615784348128121,0.7614164295627858,0.9144455343037776,0.9144455343037767
waveform_check,0.3142430618716505,-0.36523854837887004,0.4511103302750802,0.4517220643597416,0.8022951528430501,0.8022951528430506
waveform_check,0.11550827435886701,-0.09716652447042606,0.9275152519081429,0.9272811261879222,0.9717539229057872,0.971753922905788
waveform_check,0.26603634146628286,-0.4322856393794594,0.4081015855664983,0.4085944519339008,0.802000757528931,0.80200075752893
waveform_check,0.10681438103420338,0.3570786899866468,0.6210759116615412,0.6211892642539013,0.8760695370964748,0.8760695370964745
waveform_check,0.1283478623630906,-0.17866230454647924,0.8516070834308578,0.8515470569252086,0.9431042299373291,0.9431042299373307
waveform_check,0.15579605592188916,-0.16184715726398924,0.845834058601397,0.8455484528092586,0.9404540279405447,0.9404540279405467
waveform_check,0.16859278841009007,-0.3716555985579465,0.5646973313301881,0.5639875799486757,0.8535010731977455,0.8535010731977448
waveform_check,-0.22000825580410732,-0.46728162180308463,0.3905284001941978,0.39101639836473034,0.8128594173563735,0.812859417356373
waveform_check,-0.41609061103730915,0.05476961981650652,0.5401310213143594,0.540314646755502,0.8664791251643602,0.8664791251643595
waveform_check,-0.2683017786076928,0.01608258763773185,0.7838396625761017,0.7843305649815011,0.9250592298985266,0.9250592298985268
waveform_check,0.15956953307284105,0.3811861793495235,0.5556072923332324,0.5557158476834722,0.8534026989341109,0.8534026989341097
waveform_check,-0.14493898541146133,-0.18132103356125484,0.8361460769579945,0.8364600043520084,0.9372173874933262,0.9372173874933268
waveform_check,-0.18633325843619197,-0.3821503554756047,0.5371589485535874,0.5376872078845953,0.8445856733541743,0.8445856733541754
waveform_check,0.16318336465726446,0.31965458143721037,0.6462139671948562,0.6459056941505132,0.8746375321321491,0.8746375321321478
