trial,arm,receiver,weak_target,kappa_db,kappa_pred_db,cal_err_db,eta_protect,eta_survive,noise_enh_db,protect_dim,candidates,i_in,i_res,i_res_structural,i_res_estimate,i_res_pred,i_res_retained,i_res_pred_estimate,stat_h1,stat_h0,echo_to_direct_db,gate
25,tp_uic_stage1,5,5,12.875306255513001,12.386578674549849,0.4887275809631536,0.27418126704793405,0.660200384062924,-23.782469804524524,114,0,2.760155367253167e-08,1.423648921146448e-09,1.4229921788679928e-09,6.567422784552179e-13,1.5932196767386051e-09,1.5926864530378734e-09,5.332237007315922e-13,9.985614377569145e-12,9.929275629749504e-12,-17.122505459492015,1.2800125437260899e-12
25,tp_uic_full,5,5,36.04169588849799,12.386578674549849,23.65511721394814,0.27418126704793405,1.168311459045502,-18.123980167104833,114,378,2.760155367253167e-08,6.866950867184561e-12,4.450132910253127e-12,2.4168179569314345e-12,1.5932196767386051e-09,1.5926864530378734e-09,5.332237007315922e-13,1.7125706137606327e-12,1.5768487713910328e-12,-17.122505459492015,1.2800125437260899e-12
25,perfect_channel,5,5,inf,inf,nan,0.27418126704793405,1.0,-inf,0,0,2.760155367253167e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2831217593101356e-12,1.1967943339225087e-12,-17.122505459492015,1.2800125437260899e-12
26,no_ic,11,9,0.0,0.0,0.0,0.14289906216571135,1.0,-inf,0,0,6.48933273042696e-09,6.48933273042696e-09,6.48933273042696e-09,0.0,6.48933273042696e-09,0.0,0.0,4.0300597259459514e-12,4.1871382275154195e-12,-13.448930436839037,9.791751529801055e-13
26,fixed_kappa,11,9,39.99999999999997,39.99999999999997,0.0,0.14289906216571135,1.0,-inf,0,0,6.48933273042696e-09,6.489332730427003e-13,6.489332730427003e-13,0.0,6.489332730427003e-13,0.0,0.0,2.4980744247097663e-13,2.416036702234174e-13,-13.448930436839037,9.791751529801055e-13
26,plain_ls,11,9,40.397252951205274,40.834532141407465,0.43727919020219075,0.14289906216571135,0.9371644536610303,-24.2774957451326,0,0,6.48933273042696e-09,5.922086511322574e-13,1.5736436808323272e-37,5.922086511322574e-13,5.354844062813205e-13,0.0,5.354844062813205e-13,1.8897590921492498e-13,1.7597909998043267e-13,-13.448930436839037,9.791751529801055e-13
26,ridge_ls,11,9,40.398848689399045,40.834532141407465,0.4356834520084135,0.14289906216571135,0.9371661054391633,-24.283125155677357,0,0,6.48933273042696e-09,5.919910945179464e-13,5.49578598821624e-16,5.914415159191248e-13,5.354844062813205e-13,0.0,5.354844062813205e-13,1.8917691151978286e-13,1.762773546061457e-13,-13.448930436839037,9.791751529801055e-13
26,protected_ls,11,9,9.71161122247997,7.396225385219678,2.315385837260292,0.14289906216571135,0.9488417612566632,-24.917849436029158,93,0,6.48933273042696e-09,6.934879516791179e-10,6.929769299368672e-10,5.110217422507051e-13,1.181891213453168e-09,1.1813871118621245e-09,5.041015910434894e-13,4.046120054325841e-12,4.2085107288603774e-12,-13.448930436839037,9.791751529801055e-13
26,tp_uic_stage1,11,9,9.711804163274305,7.396225385219678,2.315578778054626,0.14289906216571135,0.9513488310312284,-25.2979367591667,93,0,6.48933273042696e-09,6.934571432876431e-10,6.929889441106217e-10,4.681991770213799e-13,1.181891213453168e-09,1.1813871118621245e-09,5.041015910434894e-13,4.0468922001515825e-12,4.209267484643487e-12,-13.448930436839037,9.791751529801055e-13
26,tp_uic_full,11,9,31.150112627631067,7.396225385219678,23.75388724241139,0.14289906216571135,0.9702603870091406,-16.78036200890247,93,420,6.48933273042696e-09,4.979534890689464e-12,1.6514980821199859e-12,3.3280368085694783e-12,1.181891213453168e-09,1.1813871118621245e-09,5.041015910434894e-13,2.091571747255877e-13,1.8591457214281987e-13,-13.448930436839037,9.791751529801055e-13
26,perfect_channel,11,9,inf,inf,nan,0.14289906216571135,1.0,-inf,0,0,6.48933273042696e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.503763081475978e-13,2.4050301798269503e-13,-13.448930436839037,9.791751529801055e-13
27,no_ic,4,1,0.0,0.0,0.0,0.5175699904884766,1.0,-inf,0,0,6.491733808764751e-09,6.491733808764751e-09,6.491733808764751e-09,0.0,6.491733808764751e-09,0.0,0.0,2.9809367659669342e-12,3.1455352597015753e-12,-12.401357024351867,6.032101697374254e-13
27,fixed_kappa,4,1,39.999999999999986,39.999999999999986,0.0,0.5175699904884766,1.0,-inf,0,0,6.491733808764751e-09,6.491733808764769e-13,6.491733808764769e-13,0.0,6.491733808764769e-13,0.0,0.0,6.798211000345896e-13,6.972725907280338e-13,-12.401357024351867,6.032101697374254e-13
27,plain_ls,4,1,40.425019409990746,40.843748429797174,0.41872901980642496,0.5175699904884766,0.6527842887676926,-24.236984651740375,0,0,6.491733808764751e-09,5.886521877482138e-13,4.1371151072932995e-37,5.886521877482138e-13,5.345469555906284e-13,0.0,5.345469555906284e-13,6.900138025004177e-13,6.67797033743517e-13,-12.401357024351867,6.032101697374254e-13
27,ridge_ls,4,1,40.414753030538165,40.843748429797174,0.42899539925900165,0.5175699904884766,0.652801004644521,-24.251037669556453,0,0,6.491733808764751e-09,5.900453611784793e-13,3.2948715914502974e-15,5.86750489587029e-13,5.345469555906284e-13,0.0,5.345469555906284e-13,6.89416199805795e-13,6.676353897300766e-13,-12.401357024351867,6.032101697374254e-13
27,protected_ls,4,1,9.048522101842462,9.876867046349563,0.8283449445071012,0.5175699904884766,0.7077072449309628,-24.66618851409606,75,0,6.491733808764751e-09,8.081807340780646e-10,8.076474748542603e-10,5.33259223804243e-13,6.6784241645066e-10,6.673093236439566e-10,5.330928067033636e-13,2.9710178309357297e-12,3.1395877411191024e-12,-12.401357024351867,6.032101697374254e-13
27,tp_uic_stage1,4,1,9.048503404848656,9.876867046349563,0.8283636415009066,0.5175699904884766,0.7077809588362068,-24.681465955395886,75,0,6.491733808764751e-09,8.08184213418313e-10,8.076528267773539e-10,5.31386640959084e-13,6.6784241645066e-10,6.673093236439566e-10,5.330928067033636e-13,2.9712393453358413e-12,3.139799619402332e-12,-12.401357024351867,6.032101697374254e-13
27,tp_uic_full,4,1,34.10360634348137,9.876867046349563,24.226739297131804,0.5175699904884766,0.839876234025935,-18.811597708523863,75,420,6.491733808764751e-09,2.523481173874487e-12,4.704409573300077e-13,2.0530402165444794e-12,6.6784241645066e-10,6.673093236439566e-10,5.330928067033636e-13,6.622174802142101e-13,6.684053621121425e-13,-12.401357024351867,6.032101697374254e-13
27,perfect_channel,4,1,inf,inf,nan,0.5175699904884766,1.0,-inf,0,0,6.491733808764751e-09,0.0,0.0,0.0,0.0,0.0,0.0,6.854866710669747e-13,7.014518283963659e-13,-12.401357024351867,6.032101697374254e-13
28,no_ic,2,5,0.0,0.0,0.0,0.9112896086787776,1.0,-inf,0,0,1.5473652352088586e-08,1.5473652352088586e-08,1.5473652352088586e-08,0.0,1.5473652352088586e-08,0.0,0.0,6.12262436763191e-13,5.877655660491455e-13,-11.447332390805752,6.376721846604917e-12
28,fixed_kappa,2,5,39.99999999999999,39.99999999999999,0.0,0.9112896086787776,1.0,-inf,0,0,1.5473652352088586e-08,1.5473652352088622e-12,1.5473652352088622e-12,0.0,1.5473652352088622e-12,0.0,0.0,3.198751703182207e-13,2.632070158717186e-13,-11.447332390805752,6.376721846604917e-12
28,plain_ls,2,5,43.77017237133332,44.60891129302186,0.8387389216885416,0.9112896086787776,0.6816587932331993,-23.77028470646071,0,0,1.5473652352088586e-08,6.494946800607623e-13,5.453431028246733e-37,6.494946800607623e-13,5.354287733666621e-13,0.0,5.354287733666621e-13,3.926296643139126e-13,2.7762615553650427e-13,-11.447332390805752,6.376721846604917e-12
28,ridge_ls,2,5,43.77516027300644,44.60891129302186,0.833751020015424,0.9112896086787776,0.6816600749949451,-23.780214338201414,0,0,1.5473652352088586e-08,6.487491592015299e-13,7.377758800818087e-16,6.480113833214481e-13,5.354287733666621e-13,0.0,5.354287733666621e-13,3.9245041224328214e-13,2.775950234249243e-13,-11.447332390805752,6.376721846604917e-12
28,protected_ls,2,5,2.5179726197662786,2.5702571916696564,0.05228457190337813,0.9112896086787776,0.9610366157476649,-25.58637378836862,123,0,1.5473652352088586e-08,8.665538843191676e-09,8.665111313097984e-09,4.275300936916289e-13,8.561840166921884e-09,8.561504130696548e-09,3.3603622533543723e-13,6.355628356795831e-13,6.074792755963422e-13,-11.447332390805752,6.376721846604917e-12
28,tp_uic_stage1,2,5,2.5180383364556933,2.5702571916696564,0.05221885521396377,0.9112896086787776,0.9716545487932702,-27.30070736296073,123,0,1.5473652352088586e-08,8.665407718749631e-09,8.665119625334058e-09,2.8809341557323845e-13,8.561840166921884e-09,8.561504130696548e-09,3.3603622533543723e-13,6.328807691053387e-13,6.057890716485108e-13,-11.447332390805752,6.376721846604917e-12
28,tp_uic_full,2,5,31.090626024553924,2.5702571916696564,28.52036883288427,0.9112896086787776,3.925406235752202,-13.329812319189042,123,336,1.5473652352088586e-08,1.2037331831886749e-11,4.849087395291748e-12,7.188244436595001e-12,8.561840166921884e-09,8.561504130696548e-09,3.3603622533543723e-13,5.416365831331785e-13,5.427570392513091e-13,-11.447332390805752,6.376721846604917e-12
28,perfect_channel,2,5,inf,inf,nan,0.9112896086787776,1.0,-inf,0,0,1.5473652352088586e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.222183713020715e-13,2.652252543936257e-13,-11.447332390805752,6.376721846604917e-12
29,no_ic,7,2,0.0,0.0,0.0,0.4400835814176405,1.0,-inf,0,0,1.571842378722524e-08,1.571842378722524e-08,1.571842378722524e-08,0.0,1.571842378722524e-08,0.0,0.0,3.710480849720602e-12,3.6219145785823703e-12,-18.50313713137676,3.7299171539273465e-13
29,fixed_kappa,7,2,39.999999999999964,39.999999999999964,0.0,0.4400835814176405,1.0,-inf,0,0,1.571842378722524e-08,1.571842378722537e-12,1.571842378722537e-12,0.0,1.571842378722537e-12,0.0,0.0,2.1811700198616263e-13,1.1631678713631941e-13,-18.50313713137676,3.7299171539273465e-13
29,plain_ls,7,2,42.826402222159984,44.720920841760176,1.8945186196001915,0.4400835814176405,0.9404902612549549,-22.751491260559963,0,0,1.571842378722524e-08,8.199148862531077e-13,3.173619016119197e-37,8.199148862531077e-13,5.300500862446922e-13,0.0,5.300500862446922e-13,1.8119020583981715e-13,1.018081913466709e-13,-18.50313713137676,3.7299171539273465e-13
29,ridge_ls,7,2,42.86516306199488,44.720920841760176,1.855757779765291,0.4400835814176405,0.9405971768055479,-22.813410381747342,0,0,1.571842378722524e-08,8.126296936498016e-13,4.321726733221928e-15,8.083079669165797e-13,5.300500862446922e-13,0.0,5.300500862446922e-13,1.8140229076781144e-13,1.011221092105968e-13,-18.50313713137676,3.7299171539273465e-13
29,protected_ls,7,2,17.33546253970832,16.485485465661824,0.8499770740464964,0.4400835814176405,0.962646788184685,-22.650835934399396,110,0,1.571842378722524e-08,2.9031049730085844e-10,2.8947135753152885e-10,8.391397693295677e-13,3.530696988348919e-10,3.5254034896787186e-10,5.293498670200426e-13,3.7108963383304435e-12,3.622248965128647e-12,-18.50313713137676,3.7299171539273465e-13
29,tp_uic_stage1,7,2,17.335699636641863,16.485485465661824,0.8502141709800369,0.4400835814176405,0.9627639026155842,-22.758455000609526,110,0,1.571842378722524e-08,2.902946486422405e-10,2.894760474035689e-10,8.18601238671601e-13,3.530696988348919e-10,3.5254034896787186e-10,5.293498670200426e-13,3.710900178304336e-12,3.622253425378633e-12,-18.50313713137676,3.7299171539273465e-13
29,tp_uic_full,7,2,39.989967521845564,16.485485465661824,23.50448205618374,0.4400835814176405,1.093440458500554,-19.998030948339512,110,420,1.571842378722524e-08,1.5754776315892579e-12,2.981466091277165e-14,1.5456629706764863e-12,3.530696988348919e-10,3.5254034896787186e-10,5.293498670200426e-13,2.4247470856617364e-13,1.323450288641237e-13,-18.50313713137676,3.7299171539273465e-13
29,perfect_channel,7,2,inf,inf,nan,0.4400835814176405,1.0,-inf,0,0,1.571842378722524e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.1667870822789974e-13,1.147448171789494e-13,-18.50313713137676,3.7299171539273465e-13
