experiment,variant,use_otfs_bin_validity,enable_dd_fractional_penalty,enable_dd_collision_penalty,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
dd_ablation,w/o_dd_fractional_loss,True,False,True,single_best,0.6528,0.6434117623166296,0.662070883470165,0.009329560576767704,0.04203,0.04203,6400.0,8.338027554360337,10.0,1.0,1.0,430.98,0.3195214631023853,1.3628261113538938,0.3766833174839404,0.48231782474028717,0.8191348592168649,0.6416705830464243,0.6946154446544144,-3.41813080933542,1.0,1.0,59.15203760896707,8.471263107647214,0.22798033363412526,146.39194438809332,0.014,43.532285873559836,0.638,0.6528,0.632,0.681,0.10200000000000001,0.07829189766332938,9.242505876401104,7.0942482767442705
dd_ablation,w/o_dd_fractional_loss,True,False,True,all_neighbor,0.7631,0.7546664177708489,0.7713315148633504,0.008332548546250762,0.04596666666666667,0.04596666666666667,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,119.49923343327032,18.097127657496696,0.5945541333130672,290.89104565425083,0.079,88.28908600504799,0.747,0.7631,0.755,0.777,0.002766587196621653,0.0011298694007897652,0.4332394826662139,0.17693425144029015
dd_ablation,w/o_dd_collision_penalty,True,True,False,proposed_lagrangian,0.6155,0.6059224275739811,0.624988865543655,0.009533218984836944,0.04404416424830715,0.044013333333333335,17612.8,28.457862308629068,27.52,0.9993,1.0,430.98,0.3195214631023853,1.1455532952697653,0.24167569322839666,0.30751002826000373,0.774620245259169,0.5440785225406531,0.6012996574403628,-4.656876095919703,1.0,1.0,42.46150407818076,5.338058382859449,0.2073090201799903,96.35325835631001,0.018,29.946459297789005,0.618,0.6154999999999999,0.59,0.651,0.03494617550872093,0.021628469254817026,2.4108321265318837,1.4920834044975146
dd_ablation,w/o_dd_collision_penalty,True,True,False,sense_sinr,0.5909,0.5812301923435863,0.6004999941879556,0.009634900922184664,0.04551519396911171,0.045483333333333334,17612.8,40.12831779943272,27.52,0.9993,1.0,430.98,0.3195214631023853,0.8556346567956784,0.21668773166476807,0.248462105298358,0.7213859835831522,0.5193896520713174,0.5534541180142565,-6.199713681686425,1.0,1.0,39.159985488244416,4.604222715272737,0.20324870817633173,85.52173339849934,0.011,26.809372307148394,0.588,0.5909,0.572,0.626,0.03354946402616279,0.014725262169059908,2.2233821702537027,0.9758691028109333
dd_ablation,w/o_dd_collision_penalty,True,True,False,single_best,0.5673,0.557565166132226,0.5769831457882667,0.009708989828020376,0.04235,0.04235,6400.0,8.660667275829434,10.0,1.0,1.0,430.98,0.3195214631023853,1.3357548964124428,0.35937914192092707,0.4608243450954935,0.8135065787067011,0.6307284443183304,0.6837423524253852,-3.5742343618965453,1.0,1.0,40.93820126112467,3.838283497710016,0.0880005796104201,92.83947844887174,0.002,28.63646797016509,0.515,0.5673,0.546,0.591,0.088640625,0.06550303595927827,6.396593947050729,4.726910751481792
dd_ablation,w/o_dd_collision_penalty,True,True,False,all_neighbor,0.6646,0.6552846024404319,0.6737889806518874,0.009252189105727782,0.04606,0.04606,275827.2,675.3877921347389,430.98,1.0,1.0,430.98,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,78.29258584584689,8.033727419283808,0.22853043033211287,171.1134552720132,0.018,54.5261908613356,0.635,0.6646000000000001,0.65,0.673,0.002409479558216158,0.0009840272621738672,0.2838465018890337,0.1159224178429148
dd_ablation,w/o_all_dd_effects,False,False,False,proposed_lagrangian,0.6952,0.6861041375097979,0.7041459440188821,0.009020903254542079,0.04415883176635327,0.04415,15487.36,24.481647034999707,24.199,0.9997999999999999,1.0,431.01,0.3195214631023853,1.1888143903680315,0.25489810433695614,0.32751752171034754,0.7817641116757436,0.5539899392855476,0.6133855323497656,-4.440206481430783,1.0,1.0,61.613730203085495,10.042328594452755,0.5542255547053123,150.83082278238854,0.07,45.88619392731254,0.735,0.6952,0.675,0.706,0.04488821852142651,0.028396782251052022,3.978323626692057,2.5167314157826324
dd_ablation,w/o_all_dd_effects,False,False,False,sense_sinr,0.6635,0.6541775409651356,0.6726968869546346,0.009259672994749502,0.044762285790491435,0.04475333333333333,15487.36,35.01901879065131,24.199,0.9997999999999999,1.0,431.01,0.3195214631023853,0.868498771065083,0.22095569870029663,0.256003011446762,0.7238156579938871,0.5224161003125296,0.558434407411221,-6.13004048148003,1.0,1.0,56.085414778574616,8.283731687026012,0.5336614118921759,137.5381623896421,0.026,40.37993086658737,0.705,0.6635,0.638,0.686,0.04284138807388735,0.018946847253673717,3.62136702308041,1.601570138611285
dd_ablation,w/o_all_dd_effects,False,False,False,single_best,0.6539,0.644518283035176,0.6631635179241676,0.009322617444495807,0.04199,0.04199,6400.0,8.339587222135599,10.0,1.0,1.0,431.01,0.3195214631023853,1.3622734484783783,0.37612916366093213,0.48203472417369986,0.8190672490969367,0.6413514003308493,0.6944613736382652,-3.4203308608170624,1.0,1.0,59.26299407164983,8.525705838794508,0.22873723632941922,146.39194438809332,0.014,43.569179353823586,0.639,0.6538999999999999,0.633,0.681,0.102171875,0.07840915654246848,9.259842823695285,7.106226302705877
dd_ablation,w/o_all_dd_effects,False,False,False,all_neighbor,0.7635,0.7550711174757624,0.7717265079484544,0.008327695236346022,0.04601333333333334,0.04601333333333334,275846.4,675.4001601722117,431.01,1.0,1.0,431.01,0.3195214631023853,0.7912703927233438,0.20561045501010447,0.23232913808656708,0.7085402099145541,0.507049543039826,0.5381725249515497,-6.557076813237027,1.0,1.0,119.842940762418,18.28448522501135,0.6056105666668892,292.71511515298255,0.082,88.53000099925637,0.747,0.7635,0.754,0.778,0.002767844713579731,0.0011304409519318514,0.4344553373269254,0.177439905746929
