trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets
89,1,0.6199082856361182,0.614170941847238,0.614170941847238,0.005737343788880245,0.0,0.005737343788880245,504,1156,1,1,"[1, 0]","[[[0, 1], [1, 2], [2, 1]], [[1, 0]]]","[2, 0]","[[[1, 2], [2, 1], [0, 2]], [[1, 0]]]"
89,2,0.6199082856361182,0.6145749523027848,0.6145749523027848,0.005333333333333412,0.0,0.005333333333333412,800,1156,2,1,"[1, 0]","[[[0, 1], [1, 2], [2, 1]], [[1, 0]]]","[2, 0]","[[[1, 2], [2, 1], [0, 1]], [[1, 0]]]"
89,4,0.6199082856361182,0.6145749523027848,0.6145749523027848,0.005333333333333412,0.0,0.005333333333333412,884,1156,2,1,"[1, 0]","[[[0, 1], [1, 2], [2, 1]], [[1, 0]]]","[2, 0]","[[[1, 2], [2, 1], [0, 1]], [[1, 0]]]"
90,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,144,15876,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[0, 1]]]"
90,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,1224,15876,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[0, 1]]]"
90,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,3888,15876,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[0, 1]]]"
90,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,6876,15876,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[0, 1]]]"
91,0,0.9028536219313784,0.9028536219313784,0.9028536219313784,0.0,0.0,0.0,144,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0]]]"
91,1,0.9028536219313784,0.9028536219313784,0.9028536219313784,0.0,0.0,0.0,504,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0]]]"
91,2,0.9028536219313784,0.9028536219313784,0.9028536219313784,0.0,0.0,0.0,800,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0]]]"
91,4,0.9028536219313784,0.9028536219313784,0.9028536219313784,0.0,0.0,0.0,884,1156,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[1, 0]]]","[2, 0]","[[[1, 2], [0, 2]], [[1, 0]]]"
92,0,-0.7981103217225689,-0.7981103217225689,-0.7981103217225689,0.0,0.0,0.0,144,5184,0,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[2, 2]","[[[1, 2], [0, 2]], [[1, 2], [0, 2]]]"
92,1,-0.7981103217225689,-0.7981103217225689,-0.7981103217225689,0.0,0.0,0.0,864,5184,0,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[2, 2]","[[[1, 2], [0, 2]], [[1, 2], [0, 2]]]"
92,2,-0.7981103217225689,-0.7981103217225689,-0.7981103217225689,0.0,0.0,0.0,2048,5184,0,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[2, 2]","[[[1, 2], [0, 2]], [[1, 2], [0, 2]]]"
92,4,-0.7981103217225689,-0.7981103217225689,-0.7981103217225689,0.0,0.0,0.0,2888,5184,0,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[2, 2]","[[[1, 2], [0, 2]], [[1, 2], [0, 2]]]"
93,0,0.7771281100073669,0.7771281100073669,0.7771281100073669,0.0,0.0,0.0,144,1156,0,0,"[2, 1]","[[[0, 2], [1, 2]], [[0, 1], [2, 1]]]","[2, 1]","[[[1, 2], [0, 2]], [[0, 1], [2, 1]]]"
93,1,0.9692844681482675,0.9692844681482675,0.9692844681482675,0.0,0.0,0.0,504,1156,1,1,"[2, 0]","[[[0, 2], [1, 2]], [[0, 1], [1, 0]]]","[2, 1]","[[[1, 2], [0, 2]], [[0, 1], [1, 0]]]"
93,2,0.9692844681482675,0.9692844681482675,0.9692844681482675,0.0,0.0,0.0,800,1156,1,1,"[2, 0]","[[[0, 2], [1, 2]], [[0, 1], [1, 0]]]","[2, 1]","[[[1, 2], [0, 2]], [[0, 1], [1, 0]]]"
93,4,0.9692844681482675,0.9692844681482675,0.9692844681482675,0.0,0.0,0.0,884,1156,1,1,"[2, 0]","[[[0, 2], [1, 2]], [[0, 1], [1, 0]]]","[2, 1]","[[[1, 2], [0, 2]], [[0, 1], [1, 0]]]"
94,0,-0.7820536344381097,-0.8396878425484775,-0.8396878425484775,0.05763420811036779,0.0,0.05763420811036779,144,5184,0,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[0, 2]","[[[2, 0], [1, 0]], [[0, 2], [1, 2]]]"
94,1,-0.7820536344381097,-0.8288378749844533,-0.8288378749844533,0.04678424054634356,0.0,0.04678424054634356,864,5184,1,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[0, 2]","[[[2, 1], [2, 0]], [[0, 2], [1, 2]]]"
94,2,-0.7820536344381097,-0.8230408928667234,-0.8230408928667234,0.040987258428613726,0.0,0.040987258428613726,2048,5184,2,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[0, 2]","[[[2, 1], [0, 1]], [[0, 2], [1, 2]]]"
94,4,-0.7820536344381097,-0.8230408928667234,-0.8230408928667234,0.040987258428613726,0.0,0.040987258428613726,2888,5184,2,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[0, 2]","[[[2, 1], [0, 1]], [[0, 2], [1, 2]]]"
95,0,-0.19171473015272628,-0.19171473015272628,-0.19171473015272628,0.0,0.0,0.0,144,15876,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[2, 1], [0, 1]], [[0, 1], [2, 1]]]"
95,1,-0.1502295151206676,-0.1502295151206676,-0.1502295151206676,0.0,0.0,0.0,1224,15876,1,1,"[1, 1]","[[[2, 1]], [[0, 1], [1, 0], [2, 1]]]","[1, 1]","[[[2, 1]], [[0, 1], [1, 0], [2, 1]]]"
95,2,-0.1502295151206676,-0.1502295151206676,-0.1502295151206676,0.0,0.0,0.0,3888,15876,1,1,"[1, 1]","[[[2, 1]], [[0, 1], [1, 0], [2, 1]]]","[1, 1]","[[[2, 1]], [[0, 1], [1, 0], [2, 1]]]"
95,4,-0.1502295151206676,-0.1502295151206676,-0.1502295151206676,0.0,0.0,0.0,6876,15876,1,1,"[1, 1]","[[[2, 1]], [[0, 1], [1, 0], [2, 1]]]","[1, 1]","[[[2, 1]], [[0, 1], [1, 0], [2, 1]]]"
96,0,0.3741600177442627,0.12628094885447677,0.12628094885447677,0.24787906888978595,0.0,0.24787906888978595,144,5184,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[2, 0]]]","[0, 0]","[[[2, 0], [1, 0]], [[2, 0]]]"
96,1,0.5551022638778524,0.5156891592704848,0.5156891592704852,0.03941310460736769,-4.440892098500626e-16,0.039413104607367244,864,5184,1,1,"[2, 0]","[[[0, 2], [1, 2], [2, 0]], [[2, 0]]]","[0, 0]","[[[0, 2], [2, 0], [1, 0]], [[2, 0]]]"
96,2,0.5876028148150222,0.549768930544519,0.549768930544519,0.03783388427050316,0.0,0.03783388427050316,2048,5184,2,2,"[1, 0]","[[[0, 2], [2, 0], [2, 1]], [[2, 0]]]","[0, 0]","[[[0, 2], [2, 0], [1, 2]], [[2, 0]]]"
96,4,0.5876028148150222,0.549768930544519,0.549768930544519,0.03783388427050316,0.0,0.03783388427050316,2888,5184,2,2,"[1, 0]","[[[0, 2], [2, 0], [2, 1]], [[2, 0]]]","[0, 0]","[[[0, 2], [2, 0], [1, 2]], [[2, 0]]]"
97,0,1.2148977363902054,1.2148977363902054,1.2148977363902054,0.0,0.0,0.0,144,1156,0,0,"[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [2, 1]]]","[0, 1]","[[[1, 0], [2, 0]], [[0, 1], [2, 1]]]"
97,1,1.5432570099475518,1.5431071258095923,1.5431071258095923,0.0001498841379594662,0.0,0.0001498841379594662,504,1156,1,1,"[1, 1]","[[[0, 1]], [[0, 1], [1, 0], [2, 1]]]","[0, 1]","[[[1, 0]], [[0, 1], [1, 0], [2, 1]]]"
97,2,1.5432570099475518,1.5431071258095923,1.5431071258095923,0.0001498841379594662,0.0,0.0001498841379594662,800,1156,1,1,"[1, 1]","[[[0, 1]], [[0, 1], [1, 0], [2, 1]]]","[0, 1]","[[[1, 0]], [[0, 1], [1, 0], [2, 1]]]"
97,4,1.5432570099475518,1.5431071258095923,1.5431071258095923,0.0001498841379594662,0.0,0.0001498841379594662,884,1156,1,1,"[1, 1]","[[[0, 1]], [[0, 1], [1, 0], [2, 1]]]","[0, 1]","[[[1, 0]], [[0, 1], [1, 0], [2, 1]]]"
98,0,1.4873290676367428,1.4873290676367428,1.4873290676367428,0.0,0.0,0.0,144,5184,0,0,"[2, 1]","[[[0, 2], [1, 2]], [[2, 1]]]","[2, 2]","[[[1, 2], [0, 2]], [[1, 2]]]"
98,1,1.724181910554846,1.724181910554846,1.724181910554846,0.0,0.0,0.0,864,5184,1,1,"[2, 1]","[[[0, 2], [1, 2], [2, 1]], [[2, 1]]]","[2, 2]","[[[1, 2], [2, 1], [0, 2]], [[1, 2]]]"
98,2,1.724181910554846,1.724181910554846,1.724181910554846,0.0,0.0,0.0,2048,5184,1,1,"[2, 1]","[[[0, 2], [1, 2], [2, 1]], [[2, 1]]]","[2, 2]","[[[1, 2], [2, 1], [0, 2]], [[1, 2]]]"
98,4,1.724181910554846,1.724181910554846,1.724181910554846,0.0,0.0,0.0,2888,5184,1,1,"[2, 1]","[[[0, 2], [1, 2], [2, 1]], [[2, 1]]]","[2, 2]","[[[1, 2], [2, 1], [0, 2]], [[1, 2]]]"
99,0,1.4189495434946375,1.4189495434946375,1.4189495434946375,0.0,0.0,0.0,144,1156,0,0,"[1, 0]","[[[0, 1], [2, 1]], [[1, 0]]]","[1, 0]","[[[0, 1], [2, 1]], [[1, 0]]]"
99,1,1.5895260010189238,1.5895260010189238,1.5895260010189238,0.0,0.0,0.0,504,1156,1,1,"[1, 0]","[[[0, 1], [1, 2], [2, 1]], [[1, 0]]]","[1, 0]","[[[0, 1], [2, 1], [1, 2]], [[1, 0]]]"
99,2,1.5895260010189238,1.5895260010189238,1.5895260010189238,0.0,0.0,0.0,800,1156,1,1,"[1, 0]","[[[0, 1], [1, 2], [2, 1]], [[1, 0]]]","[1, 0]","[[[0, 1], [2, 1], [1, 2]], [[1, 0]]]"
99,4,1.5895260010189238,1.5895260010189238,1.5895260010189238,0.0,0.0,0.0,884,1156,1,1,"[1, 0]","[[[0, 1], [1, 2], [2, 1]], [[1, 0]]]","[1, 0]","[[[0, 1], [2, 1], [1, 2]], [[1, 0]]]"
