trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets,M,polished_F,polished_gap,accepted
1,1,-0.11280214434152788,-0.11280214434152788,-0.16011444584129275,0.0,0.04731230149976487,0.04731230149976487,8784,361201,0.4358761011550475,0.4875558320157029,0,1,"[3, 2]","[[[0, 3]], [[0, 2], [2, 3], [3, 2]]]","[3, 2]","[[[0, 3], [1, 3]], [[3, 2], [0, 2]]]",4,-0.1370284779749015,0.02422633363337362,1
1,2,-0.11280214434152788,-0.11280214434152788,-0.12567616526155528,0.0,0.012874020920027401,0.012874020920027401,31944,361201,0.4358761011550475,0.434555952029596,2,1,"[3, 2]","[[[0, 3]], [[0, 2], [2, 3], [3, 2]]]","[3, 2]","[[[0, 3]], [[3, 2], [2, 3], [0, 3]]]",4,-0.11280214434152788,0.0,1
1,4,-0.11280214434152788,-0.11280214434152788,-0.12567616526155528,0.0,0.012874020920027401,0.012874020920027401,69889,361201,0.4358761011550475,0.434555952029596,2,1,"[3, 2]","[[[0, 3]], [[0, 2], [2, 3], [3, 2]]]","[3, 2]","[[[0, 3]], [[3, 2], [2, 3], [0, 3]]]",4,-0.11280214434152788,0.0,1
2,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,736164,0.9969036106368501,0.9969036106368501,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 0]","[[[2, 1]], [[1, 0]]]",4,1.7613705638880106,0.0,0
2,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,10752,736164,0.9969036106368501,0.9969036106368501,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 0]","[[[2, 1]], [[1, 0]]]",4,1.7613705638880106,0.0,0
2,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,46056,736164,0.9969036106368501,0.9969036106368501,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 0]","[[[2, 1]], [[1, 0]]]",4,1.7613705638880106,0.0,0
2,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,118436,736164,0.9969036106368501,0.9969036106368501,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 0]","[[[2, 1]], [[1, 0]]]",4,1.7613705638880106,0.0,0
3,0,-0.3649431063075571,-0.3649431063075571,-0.3649431063075571,0.0,0.0,0.0,912,1054729,0.2957015526514257,0.2957015526514257,0,0,"[2, 1]","[[[0, 2], [1, 2]], [[0, 1], [2, 1]]]","[2, 1]","[[[1, 2], [0, 2]], [[2, 1], [0, 1]]]",4,-0.3649431063075571,0.0,0
3,1,-0.33221674161365466,-0.36126125112074653,-0.3649431063075571,0.029044509507091865,0.0036818551868105787,0.03272636469390244,11736,1054729,0.3411866294122235,0.2957015526514257,0,1,"[1, 1]","[[[1, 2], [2, 1]], [[0, 1], [2, 1]]]","[2, 1]","[[[1, 2], [0, 2]], [[2, 1], [0, 1]]]",4,-0.33221674161365466,0.0,1
3,2,-0.32849372988994374,-0.36126125112074653,-0.36126125112074653,0.03276752123080279,0.0,0.03276752123080279,54390,1054729,0.34274003187269064,0.2972549551118929,1,2,"[1, 1]","[[[1, 2], [2, 1]], [[1, 2], [2, 1]]]","[2, 1]","[[[1, 2], [0, 2]], [[2, 1], [1, 2]]]",4,-0.32849372988994374,0.0,1
3,4,-0.32849372988994374,-0.36126125112074653,-0.36126125112074653,0.03276752123080279,0.0,0.03276752123080279,153001,1054729,0.34274003187269064,0.2972549551118929,1,2,"[1, 1]","[[[1, 2], [2, 1]], [[1, 2], [2, 1]]]","[2, 1]","[[[1, 2], [0, 2]], [[2, 1], [1, 2]]]",4,-0.32849372988994374,0.0,1
4,0,1.327494952459314,1.327494952459314,1.327494952459314,0.0,0.0,0.0,912,361201,0.8430861234220153,0.843052785262566,0,0,"[2, 0]","[[[3, 2]], [[1, 0], [2, 0], [3, 0]]]","[3, 0]","[[[2, 3]], [[3, 0], [2, 0], [1, 0]]]",4,1.327494952459314,0.0,0
4,1,1.4700489308443128,1.4700489308443128,1.4183692902052116,0.0,0.05167964063910113,0.05167964063910113,8784,361201,0.8792768607147659,0.8661774734268575,1,1,"[2, 0]","[[[3, 2]], [[0, 3], [2, 0], [3, 0]]]","[3, 0]","[[[2, 3]], [[3, 0], [0, 2], [2, 0]]]",4,1.4700489308443128,0.0,1
