trial,arm,p_d,p_fa,n_selected
18,score_first_order,0.6666666666666666,0.06666666666666667,15
18,rcs_iid,0.6666666666666666,0.06666666666666667,15
18,soft_gaussian,0.6666666666666666,0.06666666666666667,14
18,no_target_priority,0.6666666666666666,0.07777777777777778,18
18,corr_on,0.3333333333333333,0.05555555555555555,13
19,baseline,0.6666666666666666,0.1,14
19,links3,0.6666666666666666,0.07777777777777778,9
19,links2,0.6666666666666666,0.07777777777777778,6
19,links1,0.3333333333333333,0.044444444444444446,3
19,score_first_order,0.6666666666666666,0.1,15
19,rcs_iid,0.6666666666666666,0.1,14
19,soft_gaussian,1.0,0.08888888888888889,10
19,no_target_priority,0.6666666666666666,0.06666666666666667,18
19,corr_on,0.3333333333333333,0.022222222222222223,14
